"","date","LTC"
"1",2018-12-26,0.211
"2",2018-12-27,0.2711
"3",2018-12-28,0.192
"4",2018-12-29,0.1753
"5",2018-12-30,0.1742
"6",2018-12-31,0.1665
"7",2019-01-01,0.1593
"8",2019-01-02,0.1974
"9",2019-01-03,0.1811
"10",2019-01-04,0.2024
"11",2019-01-05,0.2027
"12",2019-01-06,0.2512
"13",2019-01-07,0.2353
"14",2019-01-08,0.2474
"15",2019-01-09,0.2208
"16",2019-01-10,0.2474
"17",2019-01-11,0.2065
"18",2019-01-12,0.2219
"19",2019-01-13,0.204
"20",2019-01-14,0.2055
"21",2019-01-15,0.1953
"22",2019-01-16,0.2276
"23",2019-01-17,0.1503
"24",2019-01-18,0.1855
"25",2019-01-19,0.1737
"26",2019-01-20,0.1777
"27",2019-01-21,0.1728
"28",2019-01-22,0.1832
"29",2019-01-23,0.1891
"30",2019-01-24,0.16
"31",2019-01-25,0.1431
"32",2019-01-26,0.1655
"33",2019-01-27,0.1201
"34",2019-01-28,0.121
"35",2019-01-29,0.1123
"36",2019-01-30,0.165
"37",2019-01-31,0.1716
"38",2019-02-01,0.2001
"39",2019-02-02,0.1703
"40",2019-02-03,0.198
"41",2019-02-04,0.2239
"42",2019-02-05,0.2594
"43",2019-02-06,0.1739
"44",2019-02-07,0.1417
"45",2019-02-08,0.0863
"46",2019-02-09,0.1061
"47",2019-02-10,0.1105
"48",2019-02-11,0.1491
"49",2019-02-12,0.1707
"50",2019-02-13,0.1699
"51",2019-02-14,0.1169
"52",2019-02-15,0.1317
"53",2019-02-16,0.086
"54",2019-02-17,0.1054
"55",2019-02-18,0.0996
"56",2019-02-19,0.0824
"57",2019-02-20,0.0837
"58",2019-02-21,0.1015
"59",2019-02-22,0.099
"60",2019-02-23,0.1498
"61",2019-02-24,0.1555
"62",2019-02-25,0.1841
"63",2019-02-26,0.1043
"64",2019-02-27,0.1362
"65",2019-02-28,0.1265
"66",2019-03-01,0.1317
"67",2019-03-02,0.145
"68",2019-03-03,0.1874
"69",2019-03-04,0.148
"70",2019-03-05,0.156
