"","date","BRENT"
"1",2022-04-18,0.2218
"2",2022-04-19,0.2211
"3",2022-04-20,0.2237
"4",2022-04-21,0.2279
"5",2022-04-22,0.2218
"6",2022-04-25,0.2112
"7",2022-04-26,0.2103
"8",2022-04-27,0.2118
"9",2022-04-28,0.2249
"10",2022-04-29,0.2292
"11",2022-05-02,0.2325
"12",2022-05-03,0.2431
"13",2022-05-04,0.2539
"14",2022-05-05,0.2497
"15",2022-05-06,0.2475
"16",2022-05-09,0.2495
"17",2022-05-10,0.2581
"18",2022-05-11,0.2656
"19",2022-05-12,0.2709
"20",2022-05-13,0.2643
"21",2022-05-16,0.2648
"22",2022-05-17,0.266
"23",2022-05-18,0.2693
"24",2022-05-19,0.2775
"25",2022-05-20,0.2736
"26",2022-05-23,0.2638
"27",2022-05-24,0.2655
"28",2022-05-25,0.275
"29",2022-05-26,0.2879
"30",2022-05-27,0.2898
"31",2022-05-31,0.286
"32",2022-06-01,0.2788
"33",2022-06-02,0.2767
"34",2022-06-03,0.2796
"35",2022-06-06,0.292
"36",2022-06-07,0.2951
"37",2022-06-08,0.2884
"38",2022-06-09,0.2773
"39",2022-06-10,0.2901
"40",2022-06-13,0.3051
"41",2022-06-14,0.2992
"42",2022-06-15,0.3005
"43",2022-06-16,0.3032
"44",2022-06-17,0.2954
"45",2022-06-21,0.2921
"46",2022-06-22,0.2923
"47",2022-06-23,0.2944
"48",2022-06-24,0.2903
"49",2022-06-27,0.2916
"50",2022-06-28,0.2896
"51",2022-06-29,0.291
"52",2022-06-30,0.2897
"53",2022-07-01,0.2865
"54",2022-07-05,0.2868
"55",2022-07-06,0.2856
"56",2022-07-07,0.2838
"57",2022-07-08,0.2894
"58",2022-07-11,0.2936
"59",2022-07-12,0.2973
"60",2022-07-13,0.2907
"61",2022-07-14,0.2952
"62",2022-07-15,0.2877
"63",2022-07-18,0.292
"64",2022-07-19,0.2984
"65",2022-07-20,0.2963
"66",2022-07-21,0.3035
"67",2022-07-22,0.2978
"68",2022-07-25,0.3004
"69",2022-07-26,0.3098
"70",2022-07-27,0.3034
"71",2022-07-28,0.2919
"72",2022-07-29,0.2811
"73",2022-08-01,0.283
"74",2022-08-02,0.2866
"75",2022-08-03,0.2962
"76",2022-08-04,0.3024
"77",2022-08-05,0.3039
"78",2022-08-08,0.3057
"79",2022-08-09,0.3117
"80",2022-08-10,0.3016
"81",2022-08-11,0.2981
"82",2022-08-12,0.2982
"83",2022-08-15,0.2988
"84",2022-08-16,0.3059
"85",2022-08-17,0.3137
"86",2022-08-18,0.3025
"87",2022-08-19,0.3014
"88",2022-08-22,0.3096
"89",2022-08-23,0.3115
"90",2022-08-24,0.3047
"91",2022-08-25,0.2945
"92",2022-08-26,0.2964
"93",2022-08-29,0.2963
"94",2022-08-30,0.3049
"95",2022-08-31,0.3171
"96",2022-09-01,0.3191
"97",2022-09-02,0.3076
"98",2022-09-06,0.2956
"99",2022-09-07,0.304
"100",2022-09-08,0.3093
"101",2022-09-09,0.3019
"102",2022-09-12,0.296
"103",2022-09-13,0.2989
"104",2022-09-14,0.2943
"105",2022-09-15,0.2996
"106",2022-09-16,0.306
"107",2022-09-19,0.3089
"108",2022-09-20,0.311
"109",2022-09-21,0.3129
"110",2022-09-22,0.305
"111",2022-09-23,0.3079
"112",2022-09-26,0.3119
"113",2022-09-27,0.3093
"114",2022-09-28,0.3077
"115",2022-09-29,0.2949
"116",2022-09-30,0.2838
"117",2022-10-03,0.2903
"118",2022-10-04,0.2887
"119",2022-10-05,0.2971
"120",2022-10-06,0.3063
"121",2022-10-07,0.31
"122",2022-10-10,0.3076
"123",2022-10-11,0.3078
"124",2022-10-12,0.3076
"125",2022-10-13,0.3048
"126",2022-10-14,0.3018
"127",2022-10-17,0.2979
"128",2022-10-18,0.297
"129",2022-10-19,0.2998
"130",2022-10-20,0.3041
"131",2022-10-21,0.3079
"132",2022-10-24,0.3023
"133",2022-10-25,0.3026
"134",2022-10-26,0.302
"135",2022-10-27,0.2992
"136",2022-10-28,0.3004
"137",2022-10-31,0.2953
"138",2022-11-01,0.299
"139",2022-11-02,0.3128
"140",2022-11-03,0.3059
"141",2022-11-04,0.3019
"142",2022-11-07,0.3022
"143",2022-11-08,0.3027
"144",2022-11-09,0.303
"145",2022-11-10,0.3001
"146",2022-11-11,0.2918
"147",2022-11-14,0.2925
"148",2022-11-15,0.2942
"149",2022-11-16,0.2998
"150",2022-11-17,0.3031
"151",2022-11-18,0.3014
"152",2022-11-21,0.2996
"153",2022-11-22,0.3001
"154",2022-11-23,0.3076
"155",2022-11-25,0.3109
"156",2022-11-28,0.3081
"157",2022-11-29,0.2995
