"","date","WTI"
"1",2019-06-10,0.2426
"2",2019-06-11,0.2413
"3",2019-06-12,0.2251
"4",2019-06-13,0.2204
"5",2019-06-14,0.2262
"6",2019-06-17,0.2262
"7",2019-06-18,0.222
"8",2019-06-19,0.2263
"9",2019-06-20,0.2187
"10",2019-06-21,0.2203
"11",2019-06-24,0.2098
"12",2019-06-25,0.216
"13",2019-06-26,0.2084
"14",2019-06-27,0.214
"15",2019-06-28,0.2098
"16",2019-07-01,0.2277
"17",2019-07-02,0.2453
"18",2019-07-03,0.2663
"19",2019-07-05,0.2705
"20",2019-07-08,0.2749
"21",2019-07-09,0.2705
"22",2019-07-10,0.2572
"23",2019-07-11,0.2451
"24",2019-07-12,0.2628
"25",2019-07-15,0.2761
"26",2019-07-16,0.2937
"27",2019-07-17,0.2804
"28",2019-07-18,0.2692
"29",2019-07-19,0.2697
"30",2019-07-22,0.2892
"31",2019-07-23,0.2843
"32",2019-07-24,0.2907
"33",2019-07-25,0.2863
"34",2019-07-26,0.2786
"35",2019-07-29,0.2723
"36",2019-07-30,0.2866
"37",2019-07-31,0.2851
"38",2019-08-01,0.2968
"39",2019-08-02,0.2933
"40",2019-08-05,0.2814
"41",2019-08-06,0.266
"42",2019-08-07,0.2697
"43",2019-08-08,0.2649
"44",2019-08-09,0.2869
"45",2019-08-12,0.2831
"46",2019-08-13,0.2873
"47",2019-08-14,0.2759
"48",2019-08-15,0.2759
"49",2019-08-16,0.2582
"50",2019-08-19,0.2538
"51",2019-08-20,0.2437
"52",2019-08-21,0.2491
"53",2019-08-22,0.2601
"54",2019-08-23,0.2576
"55",2019-08-26,0.2353
"56",2019-08-27,0.2272
"57",2019-08-28,0.2231
"58",2019-08-29,0.2364
"59",2019-08-30,0.2388
"60",2019-09-03,0.2391
"61",2019-09-04,0.2056
"62",2019-09-05,0.1844
"63",2019-09-06,0.1777
"64",2019-09-09,0.1822
"65",2019-09-10,0.1865
"66",2019-09-11,0.1929
"67",2019-09-12,0.1802
"68",2019-09-13,0.1845
"69",2019-09-16,0.1791
"70",2019-09-17,0.1879
"71",2019-09-18,0.1689
"72",2019-09-19,0.1807
"73",2019-09-20,0.1649
"74",2019-09-23,0.1607
"75",2019-09-24,0.1582
"76",2019-09-25,0.1591
"77",2019-09-26,0.1855
"78",2019-09-27,0.1911
"79",2019-09-30,0.1751
"80",2019-10-01,0.1697
"81",2019-10-02,0.1545
"82",2019-10-03,0.147
"83",2019-10-04,0.1336
"84",2019-10-07,0.1563
"85",2019-10-08,0.1679
"86",2019-10-09,0.1801
"87",2019-10-10,0.1669
"88",2019-10-11,0.1491
"89",2019-10-14,0.1529
"90",2019-10-15,0.15
"91",2019-10-16,0.1291
"92",2019-10-17,0.1212
"93",2019-10-18,0.1263
"94",2019-10-21,0.1322
"95",2019-10-22,0.1354
"96",2019-10-23,0.1592
"97",2019-10-24,0.1449
"98",2019-10-25,0.16
"99",2019-10-28,0.1796
"100",2019-10-29,0.183
"101",2019-10-30,0.1587
"102",2019-10-31,0.1653
"103",2019-11-01,0.16
"104",2019-11-04,0.157
"105",2019-11-05,0.1454
"106",2019-11-06,0.1422
"107",2019-11-07,0.1429
"108",2019-11-08,0.1548
"109",2019-11-11,0.1648
"110",2019-11-12,0.1721
"111",2019-11-13,0.1466
"112",2019-11-14,0.14
"113",2019-11-15,0.1424
"114",2019-11-18,0.1557
"115",2019-11-19,0.1492
"116",2019-11-20,0.1564
"117",2019-11-21,0.1582
"118",2019-11-22,0.1589
"119",2019-11-25,0.1555
"120",2019-11-26,0.1614
"121",2019-11-27,0.159
"122",2019-11-29,0.1593
"123",2019-12-02,0.1617
"124",2019-12-03,0.17
"125",2019-12-04,0.1541
"126",2019-12-05,0.15
"127",2019-12-06,0.1244
"128",2019-12-09,0.131
