"","date","BRENT"
"1",2019-06-10,0.1619
"2",2019-06-11,0.1736
"3",2019-06-12,0.1543
"4",2019-06-13,0.1281
"5",2019-06-14,0.1442
"6",2019-06-17,0.1401
"7",2019-06-18,0.1487
"8",2019-06-19,0.1136
"9",2019-06-20,0.1091
"10",2019-06-21,0.0958
"11",2019-06-24,0.0901000000000001
"12",2019-06-25,0.1018
"13",2019-06-26,0.1205
"14",2019-06-27,0.1304
"15",2019-06-28,0.1414
"16",2019-07-01,0.1339
"17",2019-07-02,0.1416
"18",2019-07-03,0.147
"19",2019-07-05,0.1297
"20",2019-07-08,0.1164
"21",2019-07-09,0.0945999999999999
"22",2019-07-10,0.0808
"23",2019-07-11,0.0641
"24",2019-07-12,0.0732
"25",2019-07-15,0.0644
"26",2019-07-16,0.0659
"27",2019-07-17,0.0734999999999999
"28",2019-07-18,0.0627000000000001
"29",2019-07-19,0.0648
"30",2019-07-22,0.0832000000000001
"31",2019-07-23,0.0883
"32",2019-07-24,0.0836
"33",2019-07-25,0.1082
"34",2019-07-26,0.1097
"35",2019-07-29,0.1323
"36",2019-07-30,0.1403
"37",2019-07-31,0.1388
"38",2019-08-01,0.1433
"39",2019-08-02,0.1572
"40",2019-08-05,0.1679
"41",2019-08-06,0.1501
"42",2019-08-07,0.159
"43",2019-08-08,0.1661
"44",2019-08-09,0.1719
"45",2019-08-12,0.1848
"46",2019-08-13,0.2075
"47",2019-08-14,0.2144
"48",2019-08-15,0.194
"49",2019-08-16,0.2104
"50",2019-08-19,0.231
"51",2019-08-20,0.2227
"52",2019-08-21,0.2123
"53",2019-08-22,0.2157
"54",2019-08-23,0.2196
"55",2019-08-26,0.2031
"56",2019-08-27,0.2087
"57",2019-08-28,0.2226
"58",2019-08-29,0.2232
"59",2019-08-30,0.2285
"60",2019-09-03,0.2259
"61",2019-09-04,0.2098
"62",2019-09-05,0.2008
"63",2019-09-06,0.2133
"64",2019-09-09,0.2079
"65",2019-09-10,0.2009
"66",2019-09-11,0.2278
"67",2019-09-12,0.2016
"68",2019-09-13,0.1745
"69",2019-09-16,0.1777
"70",2019-09-17,0.1701
"71",2019-09-18,0.1762
"72",2019-09-19,0.1723
"73",2019-09-20,0.153
"74",2019-09-23,0.1481
"75",2019-09-24,0.1321
"76",2019-09-25,0.1211
"77",2019-09-26,0.1308
"78",2019-09-27,0.1337
"79",2019-09-30,0.1401
"80",2019-10-01,0.1211
"81",2019-10-02,0.1179
"82",2019-10-03,0.1396
"83",2019-10-04,0.1312
"84",2019-10-07,0.146
"85",2019-10-08,0.1482
"86",2019-10-09,0.1567
"87",2019-10-10,0.1448
"88",2019-10-11,0.1317
"89",2019-10-14,0.1409
"90",2019-10-15,0.1458
"91",2019-10-16,0.1339
"92",2019-10-17,0.1313
"93",2019-10-18,0.1329
"94",2019-10-21,0.1578
"95",2019-10-22,0.1985
"96",2019-10-23,0.2225
"97",2019-10-24,0.2079
"98",2019-10-25,0.1957
"99",2019-10-28,0.1943
"100",2019-10-29,0.1998
"101",2019-10-30,0.2019
"102",2019-10-31,0.2032
"103",2019-11-01,0.1931
"104",2019-11-04,0.1925
"105",2019-11-05,0.2142
"106",2019-11-06,0.2205
"107",2019-11-07,0.2185
"108",2019-11-08,0.2216
"109",2019-11-11,0.2112
"110",2019-11-12,0.2335
"111",2019-11-13,0.2311
"112",2019-11-14,0.2267
"113",2019-11-15,0.2114
"114",2019-11-18,0.2328
"115",2019-11-19,0.2152
"116",2019-11-20,0.2096
"117",2019-11-21,0.2308
"118",2019-11-22,0.2132
"119",2019-11-25,0.2246
"120",2019-11-26,0.2155
"121",2019-11-27,0.2243
"122",2019-11-29,0.2401
"123",2019-12-02,0.245
"124",2019-12-03,0.247
"125",2019-12-04,0.2328
"126",2019-12-05,0.2494
"127",2019-12-06,0.2386
"128",2019-12-09,0.2114
"129",2019-12-10,0.2205
"130",2019-12-11,0.2365
"131",2019-12-12,0.227
"132",2019-12-13,0.2289
"133",2019-12-16,0.2383
"134",2019-12-17,0.2863
"135",2019-12-18,0.2882
"136",2019-12-19,0.2954
"137",2019-12-20,0.3052
"138",2019-12-23,0.2901
"139",2019-12-24,0.2731
"140",2019-12-26,0.2638
"141",2019-12-27,0.2769
"142",2019-12-30,0.2703
"143",2019-12-31,0.2836
"144",2020-01-02,0.2733
"145",2020-01-03,0.2522
"146",2020-01-06,0.2521
"147",2020-01-07,0.2303
"148",2020-01-08,0.2193
"149",2020-01-09,0.2246
"150",2020-01-10,0.2321
"151",2020-01-13,0.2254
"152",2020-01-14,0.2144
"153",2020-01-15,0.2049
"154",2020-01-16,0.2005
"155",2020-01-17,0.2041
"156",2020-01-21,0.2095
"157",2020-01-22,0.202
"158",2020-01-23,0.175
"159",2020-01-24,0.1967
"160",2020-01-27,0.2009
"161",2020-01-28,0.2345
"162",2020-01-29,0.2465
"163",2020-01-30,0.2348
"164",2020-01-31,0.194
"165",2020-02-03,0.1952
"166",2020-02-04,0.2147
"167",2020-02-05,0.2021
"168",2020-02-06,0.1721
"169",2020-02-07,0.1919
