"","date","IRON.USD"
"1",2022-06-12,0.2773
"2",2022-06-13,0.2867
"3",2022-06-14,0.2969
"4",2022-06-15,0.332
"5",2022-06-16,0.3035
"6",2022-06-17,0.3035
"7",2022-06-18,0.3083
"8",2022-06-19,0.3219
"9",2022-06-20,0.3417
"10",2022-06-21,0.3371
"11",2022-06-22,0.3298
"12",2022-06-23,0.3469
"13",2022-06-24,0.376
"14",2022-06-25,0.3901
"15",2022-06-26,0.3761
"16",2022-06-27,0.3886
"17",2022-06-28,0.3762
"18",2022-06-29,0.3815
"19",2022-06-30,0.3834
"20",2022-07-01,0.3763
"21",2022-07-02,0.369
"22",2022-07-03,0.375
"23",2022-07-04,0.3676
"24",2022-07-05,0.3692
"25",2022-07-06,0.3628
"26",2022-07-07,0.3519
"27",2022-07-08,0.3524
"28",2022-07-09,0.3742
"29",2022-07-10,0.3775
"30",2022-07-11,0.3858
"31",2022-07-12,0.3933
"32",2022-07-13,0.3882
"33",2022-07-14,0.3856
"34",2022-07-15,0.3954
"35",2022-07-16,0.3854
"36",2022-07-17,0.3855
"37",2022-07-18,0.3882
"38",2022-07-19,0.3998
"39",2022-07-20,0.3944
"40",2022-07-21,0.3998
"41",2022-07-22,0.4118
"42",2022-07-23,0.4241
"43",2022-07-24,0.421
"44",2022-07-25,0.4259
"45",2022-07-26,0.4246
"46",2022-07-27,0.4247
"47",2022-07-28,0.4401
"48",2022-07-29,0.4347
"49",2022-07-30,0.4403
"50",2022-07-31,0.4445
"51",2022-08-01,0.4391
"52",2022-08-02,0.4369
"53",2022-08-03,0.4334
"54",2022-08-04,0.406
"55",2022-08-05,0.3807
"56",2022-08-06,0.3554
"57",2022-08-07,0.3501
"58",2022-08-08,0.334
"59",2022-08-09,0.3208
"60",2022-08-10,0.3002
"61",2022-08-11,0.3355
"62",2022-08-12,0.362
"63",2022-08-13,0.3682
"64",2022-08-14,0.2909
"65",2022-08-15,0.3239
"66",2022-08-16,0.3844
"67",2022-08-17,0.4301
"68",2022-08-18,0.4297
"69",2022-08-19,0.1463
"70",2022-08-20,0.103
"71",2022-08-21,0.0965
"72",2022-08-22,0.1128
"73",2022-08-23,0.0925
"74",2022-08-24,0.084
"75",2022-08-25,0.0949
"76",2022-08-26,0.1354
"77",2022-08-27,0.17
"78",2022-08-28,0.2002
"79",2022-08-29,0.2518
"80",2022-08-30,0.2784
"81",2022-08-31,0.2808
"82",2022-09-01,0.255
"83",2022-09-02,0.1875
"84",2022-09-03,0.2234
"85",2022-09-04,0.1982
"86",2022-09-05,0.1997
"87",2022-09-06,0.2114
"88",2022-09-07,0.2146
"89",2022-09-08,0.2023
"90",2022-09-09,0.1928
"91",2022-09-10,0.194
"92",2022-09-11,0.1964
"93",2022-09-12,0.1962
"94",2022-09-13,0.2077
"95",2022-09-14,0.2211
"96",2022-09-15,0.2498
"97",2022-09-16,0.2312
"98",2022-09-17,0.2126
"99",2022-09-18,0.233
"100",2022-09-19,0.229
"101",2022-09-20,0.2114
"102",2022-09-21,0.2026
"103",2022-09-22,0.2082
"104",2022-09-23,0.2214
"105",2022-09-24,0.225
"106",2022-09-25,0.2438
"107",2022-09-26,0.2278
"108",2022-09-27,0.2453
"109",2022-09-28,0.2226
"110",2022-09-29,0.224
"111",2022-09-30,0.2188
"112",2022-10-01,0.2133
"113",2022-10-02,0.2225
"114",2022-10-03,0.2298
"115",2022-10-04,0.2332
"116",2022-10-05,0.2364
"117",2022-10-06,0.2098
"118",2022-10-07,0.209
"119",2022-10-08,0.2321
"120",2022-10-09,0.2551
"121",2022-10-10,0.2745
"122",2022-10-11,0.2715
"123",2022-10-12,0.2988
"124",2022-10-13,0.3172
"125",2022-10-14,0.3135
"126",2022-10-15,0.3172
"127",2022-10-16,0.3252
"128",2022-10-17,0.3322
"129",2022-10-18,0.3328
"130",2022-10-19,0.3283
"131",2022-10-20,0.3185
"132",2022-10-21,0.3501
"133",2022-10-22,0.3734
"134",2022-10-23,0.404
"135",2022-10-24,0.4026
"136",2022-10-25,0.4123
"137",2022-10-26,0.3912
"138",2022-10-27,0.379
"139",2022-10-28,0.3809
"140",2022-10-29,0.3613
"141",2022-10-30,0.3309
"142",2022-10-31,0.3262
"143",2022-11-01,0.3495
"144",2022-11-02,0.3737
"145",2022-11-03,0.3736
"146",2022-11-04,0.3737
"147",2022-11-05,0.3836
"148",2022-11-06,0.3775
"149",2022-11-07,0.3773
"150",2022-11-08,0.3697
"151",2022-11-09,0.3814
"152",2022-11-10,0.4005
"153",2022-11-11,0.4086
"154",2022-11-12,0.4552
"155",2022-11-13,0.4436
"156",2022-11-14,0.4758
"157",2022-11-15,0.4601
"158",2022-11-16,0.4269
"159",2022-11-17,0.4464
"160",2022-11-18,0.4413
"161",2022-11-19,0.4378
"162",2022-11-20,0.4571
"163",2022-11-21,0.5052
"164",2022-11-22,0.5423
"165",2022-11-23,0.5165
"166",2022-11-24,0.5479
"167",2022-11-25,0.5538
"168",2022-11-26,0.557
"169",2022-11-27,0.539
"170",2022-11-28,0.5236
"171",2022-11-29,0.5145
"172",2022-11-30,0.5096
"173",2022-12-01,0.5286
"174",2022-12-02,0.5327
"175",2022-12-03,0.5426
"176",2022-12-04,0.5659
"177",2022-12-05,0.5542
"178",2022-12-06,0.528
"179",2022-12-07,0.5291
"180",2022-12-08,0.5231
"181",2022-12-09,0.5154
"182",2022-12-10,0.5093
"183",2022-12-11,0.5131
"184",2022-12-12,0.5461
"185",2022-12-13,0.5227
"186",2022-12-14,0.5342
"187",2022-12-15,0.5522
"188",2022-12-16,0.5876
"189",2022-12-17,0.6062
"190",2022-12-18,0.5906
"191",2022-12-19,0.563
"192",2022-12-20,0.5616
"193",2022-12-21,0.548
"194",2022-12-22,1.346
"195",2022-12-23,1.3661
"196",2022-12-24,1.4
"197",2022-12-25,1.6194
"198",2022-12-26,1.5474
"199",2022-12-27,1.511
"200",2022-12-28,1.423
"201",2022-12-29,1.3771
"202",2022-12-30,1.7693
"203",2022-12-31,1.911
"204",2023-01-01,2.2371
"205",2023-01-02,2.1238
"206",2023-01-03,2.1496
"207",2023-01-04,2.1298
"208",2023-01-05,2.014
"209",2023-01-06,2.0982
"210",2023-01-07,2.0001
"211",2023-01-08,1.9052
"212",2023-01-09,1.9487
"213",2023-01-10,1.8346
"214",2023-01-11,1.9709
"215",2023-01-12,1.8741
"216",2023-01-13,2.0133
"217",2023-01-14,1.619
"218",2023-01-15,1.8475
"219",2023-01-16,1.8079
"220",2023-01-17,1.7846
"221",2023-01-18,1.7887
"222",2023-01-19,1.6953
"223",2023-01-20,1.3
