"","date","HAS"
"1",2022-01-19,0.1472
"2",2022-01-20,0.1386
"3",2022-01-21,0.1411
"4",2022-01-24,0.1315
"5",2022-01-25,0.1397
"6",2022-01-26,0.1439
"7",2022-01-27,0.1372
"8",2022-01-28,0.153
"9",2022-01-31,0.1719
"10",2022-02-01,0.1822
"11",2022-02-02,0.1837
"12",2022-02-03,0.1532
"13",2022-02-04,0.1451
"14",2022-02-07,0.1379
"15",2022-02-08,0.1418
"16",2022-02-09,0.1366
"17",2022-02-10,0.1322
"18",2022-02-11,0.1271
"19",2022-02-14,0.1193
"20",2022-02-15,0.1206
"21",2022-02-16,0.1416
"22",2022-02-17,0.1541
"23",2022-02-18,0.1622
"24",2022-02-22,0.1533
"25",2022-02-23,0.1486
"26",2022-02-24,0.1411
"27",2022-02-25,0.1509
"28",2022-02-28,0.1425
"29",2022-03-01,0.1417
"30",2022-03-02,0.1469
"31",2022-03-03,0.1483
"32",2022-03-04,0.1419
"33",2022-03-07,0.14
"34",2022-03-08,0.1295
"35",2022-03-09,0.1266
"36",2022-03-10,0.13
"37",2022-03-11,0.1477
"38",2022-03-14,0.1518
"39",2022-03-15,0.1523
"40",2022-03-16,0.167
"41",2022-03-17,0.1839
"42",2022-03-18,0.1763
"43",2022-03-21,0.1534
"44",2022-03-22,0.1325
"45",2022-03-23,0.1434
"46",2022-03-24,0.1527
"47",2022-03-25,0.1581
"48",2022-03-28,0.1475
"49",2022-03-29,0.1342
"50",2022-03-30,0.1274
"51",2022-03-31,0.1408
"52",2022-04-01,0.1557
"53",2022-04-04,0.1743
"54",2022-04-05,0.1687
"55",2022-04-06,0.1654
"56",2022-04-07,0.157
"57",2022-04-08,0.1822
"58",2022-04-11,0.187
"59",2022-04-12,0.1733
"60",2022-04-13,0.1716
"61",2022-04-14,0.1783
"62",2022-04-18,0.1721
"63",2022-04-19,0.1811
"64",2022-04-20,0.1697
"65",2022-04-21,0.1889
"66",2022-04-22,0.2061
"67",2022-04-25,0.2095
"68",2022-04-26,0.2065
"69",2022-04-27,0.2115
"70",2022-04-28,0.2172
"71",2022-04-29,0.2191
"72",2022-05-02,0.1981
"73",2022-05-03,0.2018
"74",2022-05-04,0.2043
"75",2022-05-05,0.2145
