"","date","ALLE"
"1",2020-08-14,0.1812
"2",2020-08-17,0.1776
"3",2020-08-18,0.1871
"4",2020-08-19,0.1776
"5",2020-08-20,0.1742
"6",2020-08-21,0.161
"7",2020-08-24,0.175
"8",2020-08-25,0.1752
"9",2020-08-26,0.173
"10",2020-08-27,0.184
"11",2020-08-28,0.1948
"12",2020-08-31,0.2184
"13",2020-09-01,0.2322
"14",2020-09-02,0.2442
"15",2020-09-03,0.2543
"16",2020-09-04,0.2299
"17",2020-09-08,0.2282
"18",2020-09-09,0.2457
"19",2020-09-10,0.2438
"20",2020-09-11,0.2215
"21",2020-09-14,0.2171
"22",2020-09-15,0.2372
"23",2020-09-16,0.2657
"24",2020-09-17,0.2979
"25",2020-09-18,0.3116
"26",2020-09-21,0.287
"27",2020-09-22,0.282
"28",2020-09-23,0.2687
"29",2020-09-24,0.2863
"30",2020-09-25,0.2757
"31",2020-09-28,0.289
"32",2020-09-29,0.3041
"33",2020-09-30,0.2942
"34",2020-10-01,0.3082
"35",2020-10-02,0.308
"36",2020-10-05,0.2952
"37",2020-10-06,0.2931
"38",2020-10-07,0.3049
"39",2020-10-08,0.3067
"40",2020-10-09,0.2967
"41",2020-10-12,0.2937
"42",2020-10-13,0.325
"43",2020-10-14,0.3348
"44",2020-10-15,0.3434
"45",2020-10-16,0.3344
"46",2020-10-19,0.3101
"47",2020-10-20,0.3047
"48",2020-10-21,0.29
"49",2020-10-22,0.3027
"50",2020-10-23,0.2971
"51",2020-10-26,0.3139
"52",2020-10-27,0.2984
"53",2020-10-28,0.3
"54",2020-10-29,0.3163
"55",2020-10-30,0.3286
"56",2020-11-02,0.3142
"57",2020-11-03,0.3217
"58",2020-11-04,0.3345
"59",2020-11-05,0.3277
"60",2020-11-06,0.3259
"61",2020-11-09,0.3339
"62",2020-11-10,0.3546
"63",2020-11-11,0.3353
"64",2020-11-12,0.3325
"65",2020-11-13,0.3186
"66",2020-11-16,0.3075
"67",2020-11-17,0.3191
"68",2020-11-18,0.3194
"69",2020-11-19,0.3088
"70",2020-11-20,0.3112
"71",2020-11-23,0.3253
"72",2020-11-24,0.3399
"73",2020-11-25,0.3701
"74",2020-11-27,0.3834
"75",2020-11-30,0.3947
"76",2020-12-01,0.3495
"77",2020-12-02,0.349
"78",2020-12-03,0.3288
"79",2020-12-04,0.3415
"80",2020-12-07,0.325
"81",2020-12-08,0.3293
"82",2020-12-09,0.342
"83",2020-12-10,0.3662
"84",2020-12-11,0.4104
"85",2020-12-14,0.3996
"86",2020-12-15,0.3732
"87",2020-12-16,0.3641
"88",2020-12-17,0.3433
"89",2020-12-18,0.3207
"90",2020-12-21,0.3238
"91",2020-12-22,0.3033
"92",2020-12-23,0.3033
"93",2020-12-24,0.3153
"94",2020-12-28,0.3418
"95",2020-12-29,0.3577
"96",2020-12-30,0.3234
"97",2020-12-31,0.3208
"98",2021-01-04,0.3105
"99",2021-01-05,0.3084
"100",2021-01-06,0.2726
"101",2021-01-07,0.262
"102",2021-01-08,0.2528
"103",2021-01-11,0.253
"104",2021-01-12,0.2464
"105",2021-01-13,0.2386
"106",2021-01-14,0.2342
"107",2021-01-15,0.2316
"108",2021-01-19,0.2345
"109",2021-01-20,0.249
"110",2021-01-21,0.2348
"111",2021-01-22,0.2337
"112",2021-01-25,0.2362
"113",2021-01-26,0.2377
"114",2021-01-27,0.2759
"115",2021-01-28,0.2806
"116",2021-01-29,0.2573
"117",2021-02-01,0.2529
"118",2021-02-02,0.2352
"119",2021-02-03,0.2547
"120",2021-02-04,0.2696
"121",2021-02-05,0.2898
"122",2021-02-08,0.3146
"123",2021-02-09,0.32
"124",2021-02-10,0.308
"125",2021-02-11,0.2954
"126",2021-02-12,0.3087
"127",2021-02-16,0.3323
"128",2021-02-17,0.3275
"129",2021-02-18,0.3132
"130",2021-02-19,0.2957
"131",2021-02-22,0.2976
"132",2021-02-23,0.3093
"133",2021-02-24,0.3234
"134",2021-02-25,0.3468
"135",2021-02-26,0.34
