"","date","NCLH"
"1",2022-01-19,0.1155
"2",2022-01-20,0.1191
"3",2022-01-21,0.1198
"4",2022-01-24,0.1144
"5",2022-01-25,0.1168
"6",2022-01-26,0.1173
"7",2022-01-27,0.1174
"8",2022-01-28,0.1233
"9",2022-01-31,0.1241
"10",2022-02-01,0.1247
"11",2022-02-02,0.1159
"12",2022-02-03,0.1137
"13",2022-02-04,0.1307
"14",2022-02-07,0.1343
"15",2022-02-08,0.1507
"16",2022-02-09,0.1536
"17",2022-02-10,0.1454
"18",2022-02-11,0.1274
"19",2022-02-14,0.1209
"20",2022-02-15,0.1254
"21",2022-02-16,0.1519
"22",2022-02-17,0.173
"23",2022-02-18,0.1743
"24",2022-02-22,0.16
"25",2022-02-23,0.1734
"26",2022-02-24,0.1745
"27",2022-02-25,0.1711
"28",2022-02-28,0.1778
"29",2022-03-01,0.1769
"30",2022-03-02,0.1678
"31",2022-03-03,0.1629
"32",2022-03-04,0.1631
"33",2022-03-07,0.1728
"34",2022-03-08,0.1715
"35",2022-03-09,0.1665
"36",2022-03-10,0.1718
"37",2022-03-11,0.1898
"38",2022-03-14,0.1871
"39",2022-03-15,0.171
"40",2022-03-16,0.1622
"41",2022-03-17,0.1622
"42",2022-03-18,0.1483
"43",2022-03-21,0.1507
"44",2022-03-22,0.142
"45",2022-03-23,0.1525
"46",2022-03-24,0.1533
"47",2022-03-25,0.1433
"48",2022-03-28,0.1342
"49",2022-03-29,0.1181
"50",2022-03-30,0.1024
"51",2022-03-31,0.0995999999999999
"52",2022-04-01,0.109
"53",2022-04-04,0.1227
"54",2022-04-05,0.1123
"55",2022-04-06,0.1064
"56",2022-04-07,0.0967
"57",2022-04-08,0.1012
"58",2022-04-11,0.1037
"59",2022-04-12,0.0962000000000001
"60",2022-04-13,0.0896
"61",2022-04-14,0.1036
"62",2022-04-18,0.1027
"63",2022-04-19,0.1179
"64",2022-04-20,0.1196
"65",2022-04-21,0.1384
"66",2022-04-22,0.141
"67",2022-04-25,0.1449
"68",2022-04-26,0.1471
"69",2022-04-27,0.1492
"70",2022-04-28,0.1633
"71",2022-04-29,0.1725
"72",2022-05-02,0.1781
"73",2022-05-03,0.1985
"74",2022-05-04,0.2086
"75",2022-05-05,0.2176
"76",2022-05-06,0.2166
"77",2022-05-09,0.229
"78",2022-05-10,0.2193
"79",2022-05-11,0.2138
"80",2022-05-12,0.2211
"81",2022-05-13,0.2448
"82",2022-05-16,0.258
"83",2022-05-17,0.2539
"84",2022-05-18,0.243
"85",2022-05-19,0.2701
"86",2022-05-20,0.2778
"87",2022-05-23,0.282
"88",2022-05-24,0.2832
"89",2022-05-25,0.277
"90",2022-05-26,0.2664
"91",2022-05-27,0.2783
"92",2022-05-31,0.2991
"93",2022-06-01,0.3249
"94",2022-06-02,0.3227
"95",2022-06-03,0.3191
"96",2022-06-06,0.319
"97",2022-06-07,0.3237
"98",2022-06-08,0.3213
"99",2022-06-09,0.3183
"100",2022-06-10,0.3211
"101",2022-06-13,0.3375
"102",2022-06-14,0.3392
"103",2022-06-15,0.3476
"104",2022-06-16,0.3371
"105",2022-06-17,0.3442
"106",2022-06-21,0.3455
"107",2022-06-22,0.345
"108",2022-06-23,0.3417
"109",2022-06-24,0.3457
"110",2022-06-27,0.3497
"111",2022-06-28,0.351
"112",2022-06-29,0.3556
"113",2022-06-30,0.3685
"114",2022-07-01,0.3559
"115",2022-07-05,0.3519
"116",2022-07-06,0.3406
"117",2022-07-07,0.3529
"118",2022-07-08,0.3655
"119",2022-07-11,0.3572
"120",2022-07-12,0.3455
"121",2022-07-13,0.352
"122",2022-07-14,0.3518
"123",2022-07-15,0.347
"124",2022-07-18,0.3407
"125",2022-07-19,0.3558
"126",2022-07-20,0.3463
"127",2022-07-21,0.3411
"128",2022-07-22,0.3337
"129",2022-07-25,0.331
"130",2022-07-26,0.3278
"131",2022-07-27,0.3142
"132",2022-07-28,0.3038
"133",2022-07-29,0.3155
"134",2022-08-01,0.3103
"135",2022-08-02,0.3189
"136",2022-08-03,0.3299
"137",2022-08-04,0.34
"138",2022-08-05,0.3389
"139",2022-08-08,0.3251
"140",2022-08-09,0.3444
"141",2022-08-10,0.384
"142",2022-08-11,0.4035
"143",2022-08-12,0.4028
"144",2022-08-15,0.3838
"145",2022-08-16,0.3869
"146",2022-08-17,0.3924
"147",2022-08-18,0.4186
"148",2022-08-19,0.4355
"149",2022-08-22,0.4301
"150",2022-08-23,0.4193
"151",2022-08-24,0.4135
"152",2022-08-25,0.411
"153",2022-08-26,0.4095
"154",2022-08-29,0.3943
"155",2022-08-30,0.3791
"156",2022-08-31,0.3809
"157",2022-09-01,0.3862
"158",2022-09-02,0.3799
"159",2022-09-06,0.36
"160",2022-09-07,0.3453
"161",2022-09-08,0.3645
"162",2022-09-09,0.3552
"163",2022-09-12,0.3543
"164",2022-09-13,0.3291
"165",2022-09-14,0.3313
"166",2022-09-15,0.3377
"167",2022-09-16,0.3121
"168",2022-09-19,0.2939
"169",2022-09-20,0.2833
"170",2022-09-21,0.2691
"171",2022-09-22,0.279
"172",2022-09-23,0.2683
"173",2022-09-26,0.2574
"174",2022-09-27,0.2243
"175",2022-09-28,0.2083
"176",2022-09-29,0.1976
"177",2022-09-30,0.1935
"178",2022-10-03,0.1874
"179",2022-10-04,0.1706
"180",2022-10-05,0.1548
"181",2022-10-06,0.1494
"182",2022-10-07,0.1561
"183",2022-10-10,0.1517
"184",2022-10-11,0.1367
"185",2022-10-12,0.1351
"186",2022-10-13,0.1213
"187",2022-10-14,0.0997
"188",2022-10-17,0.0855
"189",2022-10-18,0.0812
"190",2022-10-19,0.0815
"191",2022-10-20,0.0685
"192",2022-10-21,0.0706
"193",2022-10-24,0.0747
"194",2022-10-25,0.082
"195",2022-10-26,0.0829
"196",2022-10-27,0.0784
"197",2022-10-28,0.1031
"198",2022-10-31,0.1054
"199",2022-11-01,0.0931000000000001
"200",2022-11-02,0.0853
"201",2022-11-03,0.0851999999999999
"202",2022-11-04,0.0842000000000001
"203",2022-11-07,0.0926
"204",2022-11-08,0.0972000000000001
"205",2022-11-09,0.0995
"206",2022-11-10,0.0997
"207",2022-11-11,0.1045
"208",2022-11-14,0.1052
"209",2022-11-15,0.1079
"210",2022-11-16,0.1114
"211",2022-11-17,0.1144
"212",2022-11-18,0.1179
"213",2022-11-21,0.1157
"214",2022-11-22,0.1139
"215",2022-11-23,0.1183
"216",2022-11-25,0.1174
"217",2022-11-28,0.1145
"218",2022-11-29,0.1111
"219",2022-11-30,0.1089
"220",2022-12-01,0.1058
"221",2022-12-02,0.1039
"222",2022-12-05,0.1001
"223",2022-12-06,0.0983000000000001
"224",2022-12-07,0.0958
"225",2022-12-08,0.0917
"226",2022-12-09,0.0838
"227",2022-12-12,0.0794
"228",2022-12-13,0.0705
"229",2022-12-14,0.0629999999999999
"230",2022-12-15,0.0639000000000001
"231",2022-12-16,0.0673
"232",2022-12-19,0.074
"233",2022-12-20,0.0927
"234",2022-12-21,0.1172
"235",2022-12-22,0.13
"236",2022-12-23,0.1553
"237",2022-12-27,0.1823
"238",2022-12-28,0.2038
"239",2022-12-29,0.2348
"240",2022-12-30,0.2673
"241",2023-01-03,0.3066
"242",2023-01-04,0.323
"243",2023-01-05,0.3455
"244",2023-01-06,0.3705
"245",2023-01-09,0.3987
"246",2023-01-10,0.4284
"247",2023-01-11,0.4282
"248",2023-01-12,0.4328
"249",2023-01-13,0.4083
"250",2023-01-17,0.3995
"251",2023-01-18,0.3447
"252",2023-01-19,0.314
"253",2023-01-20,0.3186
"254",2023-01-23,0.3282
"255",2023-01-24,0.3306
"256",2023-01-25,0.3405
"257",2023-01-26,0.337
"258",2023-01-27,0.3304
"259",2023-01-30,0.3076
"260",2023-01-31,0.2996
"261",2023-02-01,0.3087
"262",2023-02-02,0.2709
"263",2023-02-03,0.2273
"264",2023-02-06,0.2208
"265",2023-02-07,0.2269
"266",2023-02-08,0.2289
"267",2023-02-09,0.2268
