"","date","RL"
"1",2020-08-14,0.3833
"2",2020-08-17,0.3768
"3",2020-08-18,0.3543
"4",2020-08-19,0.3589
"5",2020-08-20,0.3338
"6",2020-08-21,0.3315
"7",2020-08-24,0.3157
"8",2020-08-25,0.3189
"9",2020-08-26,0.3221
"10",2020-08-27,0.3295
"11",2020-08-28,0.3778
"12",2020-08-31,0.3523
"13",2020-09-01,0.3512
"14",2020-09-02,0.3385
"15",2020-09-03,0.3471
"16",2020-09-04,0.3596
"17",2020-09-08,0.3533
"18",2020-09-09,0.3206
"19",2020-09-10,0.3058
"20",2020-09-11,0.3012
"21",2020-09-14,0.3109
"22",2020-09-15,0.3192
"23",2020-09-16,0.328
"24",2020-09-17,0.3532
"25",2020-09-18,0.3573
"26",2020-09-21,0.3661
"27",2020-09-22,0.3447
"28",2020-09-23,0.3323
"29",2020-09-24,0.3157
"30",2020-09-25,0.3228
"31",2020-09-28,0.3582
"32",2020-09-29,0.3638
"33",2020-09-30,0.3564
"34",2020-10-01,0.3251
"35",2020-10-02,0.323
"36",2020-10-05,0.3221
"37",2020-10-06,0.3465
"38",2020-10-07,0.3416
"39",2020-10-08,0.3343
"40",2020-10-09,0.3161
"41",2020-10-12,0.3259
"42",2020-10-13,0.3163
"43",2020-10-14,0.2884
"44",2020-10-15,0.2894
"45",2020-10-16,0.2695
"46",2020-10-19,0.2803
"47",2020-10-20,0.3003
"48",2020-10-21,0.3017
"49",2020-10-22,0.2798
"50",2020-10-23,0.2711
"51",2020-10-26,0.2796
"52",2020-10-27,0.2951
"53",2020-10-28,0.2731
"54",2020-10-29,0.2397
"55",2020-10-30,0.2504
"56",2020-11-02,0.2617
"57",2020-11-03,0.2764
"58",2020-11-04,0.2659
"59",2020-11-05,0.2573
"60",2020-11-06,0.2519
"61",2020-11-09,0.284
"62",2020-11-10,0.2649
"63",2020-11-11,0.2717
"64",2020-11-12,0.2629
"65",2020-11-13,0.2801
"66",2020-11-16,0.3003
"67",2020-11-17,0.2654
"68",2020-11-18,0.2627
"69",2020-11-19,0.2589
"70",2020-11-20,0.2701
"71",2020-11-23,0.3148
"72",2020-11-24,0.3276
"73",2020-11-25,0.3087
"74",2020-11-27,0.2999
"75",2020-11-30,0.2938
"76",2020-12-01,0.3118
"77",2020-12-02,0.3055
"78",2020-12-03,0.2717
"79",2020-12-04,0.295
"80",2020-12-07,0.2927
"81",2020-12-08,0.3288
"82",2020-12-09,0.3185
"83",2020-12-10,0.3207
"84",2020-12-11,0.3131
"85",2020-12-14,0.3215
"86",2020-12-15,0.3465
"87",2020-12-16,0.3422
"88",2020-12-17,0.3261
"89",2020-12-18,0.3005
"90",2020-12-21,0.272
"91",2020-12-22,0.2952
"92",2020-12-23,0.3154
"93",2020-12-24,0.32
"94",2020-12-28,0.328
"95",2020-12-29,0.3372
"96",2020-12-30,0.3582
"97",2020-12-31,0.3463
"98",2021-01-04,0.3263
"99",2021-01-05,0.3103
"100",2021-01-06,0.2917
"101",2021-01-07,0.3206
"102",2021-01-08,0.3097
"103",2021-01-11,0.3147
"104",2021-01-12,0.2997
"105",2021-01-13,0.2978
"106",2021-01-14,0.2972
"107",2021-01-15,0.3254
"108",2021-01-19,0.3246
"109",2021-01-20,0.3091
"110",2021-01-21,0.3025
"111",2021-01-22,0.3262
"112",2021-01-25,0.3312
"113",2021-01-26,0.3319
"114",2021-01-27,0.3281
"115",2021-01-28,0.3214
"116",2021-01-29,0.3366
"117",2021-02-01,0.3293
"118",2021-02-02,0.33
"119",2021-02-03,0.3419
"120",2021-02-04,0.3406
"121",2021-02-05,0.3719
"122",2021-02-08,0.3714
