"","date","GNRC"
"1",2020-08-14,0.2637
"2",2020-08-17,0.2587
"3",2020-08-18,0.3104
"4",2020-08-19,0.2667
"5",2020-08-20,0.2612
"6",2020-08-21,0.2652
"7",2020-08-24,0.2813
"8",2020-08-25,0.2959
"9",2020-08-26,0.2945
"10",2020-08-27,0.2849
"11",2020-08-28,0.2987
"12",2020-08-31,0.2923
"13",2020-09-01,0.3279
"14",2020-09-02,0.2872
"15",2020-09-03,0.2952
"16",2020-09-04,0.2779
"17",2020-09-08,0.3006
"18",2020-09-09,0.2889
"19",2020-09-10,0.2966
"20",2020-09-11,0.2887
"21",2020-09-14,0.2886
"22",2020-09-15,0.2864
"23",2020-09-16,0.3233
"24",2020-09-17,0.2991
"25",2020-09-18,0.3414
"26",2020-09-21,0.3161
"27",2020-09-22,0.3155
"28",2020-09-23,0.3126
"29",2020-09-24,0.2998
"30",2020-09-25,0.2886
"31",2020-09-28,0.2883
"32",2020-09-29,0.2985
"33",2020-09-30,0.3208
"34",2020-10-01,0.3016
"35",2020-10-02,0.3095
"36",2020-10-05,0.3106
"37",2020-10-06,0.3456
"38",2020-10-07,0.3484
"39",2020-10-08,0.3741
"40",2020-10-09,0.335
"41",2020-10-12,0.3186
"42",2020-10-13,0.3239
"43",2020-10-14,0.3396
"44",2020-10-15,0.3055
"45",2020-10-16,0.3094
"46",2020-10-19,0.3054
"47",2020-10-20,0.3144
"48",2020-10-21,0.2938
"49",2020-10-22,0.3048
"50",2020-10-23,0.3079
"51",2020-10-26,0.2976
"52",2020-10-27,0.2873
"53",2020-10-28,0.3336
"54",2020-10-29,0.2898
"55",2020-10-30,0.2811
"56",2020-11-02,0.2531
"57",2020-11-03,0.2399
"58",2020-11-04,0.2422
"59",2020-11-05,0.2095
"60",2020-11-06,0.1729
"61",2020-11-09,0.161
"62",2020-11-10,0.1403
"63",2020-11-11,0.1741
"64",2020-11-12,0.1322
"65",2020-11-13,0.117
"66",2020-11-16,0.0997
"67",2020-11-17,0.1234
"68",2020-11-18,0.1411
"69",2020-11-19,0.1534
"70",2020-11-20,0.1538
"71",2020-11-23,0.1613
"72",2020-11-24,0.167
"73",2020-11-25,0.221
"74",2020-11-27,0.2076
"75",2020-11-30,0.2151
"76",2020-12-01,0.203
"77",2020-12-02,0.1998
"78",2020-12-03,0.1806
"79",2020-12-04,0.1773
"80",2020-12-07,0.1826
"81",2020-12-08,0.2011
"82",2020-12-09,0.2025
"83",2020-12-10,0.2486
"84",2020-12-11,0.2166
"85",2020-12-14,0.2404
"86",2020-12-15,0.2417
"87",2020-12-16,0.2442
"88",2020-12-17,0.2414
"89",2020-12-18,0.2246
"90",2020-12-21,0.2116
"91",2020-12-22,0.2007
"92",2020-12-23,0.2035
"93",2020-12-24,0.2434
"94",2020-12-28,0.2381
"95",2020-12-29,0.2432
"96",2020-12-30,0.2234
"97",2020-12-31,0.2585
"98",2021-01-04,0.2621
"99",2021-01-05,0.2515
"100",2021-01-06,0.227
"101",2021-01-07,0.2197
"102",2021-01-08,0.2325
"103",2021-01-11,0.2804
"104",2021-01-12,0.2642
"105",2021-01-13,0.2694
"106",2021-01-14,0.2569
"107",2021-01-15,0.2706
"108",2021-01-19,0.2642
"109",2021-01-20,0.2835
"110",2021-01-21,0.2771
"111",2021-01-22,0.2757
"112",2021-01-25,0.2763
"113",2021-01-26,0.3176
"114",2021-01-27,0.2811
"115",2021-01-28,0.2936
"116",2021-01-29,0.3144
"117",2021-02-01,0.3091
"118",2021-02-02,0.323
"119",2021-02-03,0.314
"120",2021-02-04,0.3034
"121",2021-02-05,0.3166
"122",2021-02-08,0.3301
"123",2021-02-09,0.383
"124",2021-02-10,0.3405
"125",2021-02-11,0.3323
"126",2021-02-12,0.3239
"127",2021-02-16,0.345
"128",2021-02-17,0.3597
"129",2021-02-18,0.3486
"130",2021-02-19,0.341
"131",2021-02-22,0.3261
"132",2021-02-23,0.3217
"133",2021-02-24,0.3835
"134",2021-02-25,0.3623
"135",2021-02-26,0.3684
"136",2021-03-01,0.3559
"137",2021-03-02,0.3814
"138",2021-03-03,0.3849
"139",2021-03-04,0.3575
"140",2021-03-05,0.3662
"141",2021-03-08,0.3761
"142",2021-03-09,0.3607
"143",2021-03-10,0.3618
"144",2021-03-11,0.3017
"145",2021-03-12,0.2812
"146",2021-03-15,0.1972
"147",2021-03-16,0.1849
"148",2021-03-17,0.1674
"149",2021-03-18,0.1461
"150",2021-03-19,0.1159
"151",2021-03-22,0.1274
"152",2021-03-23,0.1263
"153",2021-03-24,0.1274
"154",2021-03-25,0.1134
"155",2021-03-26,0.1016
"156",2021-03-29,0.0829
"157",2021-03-30,0.1252
"158",2021-03-31,0.1365
"159",2021-04-01,0.1302
"160",2021-04-05,0.1414
"161",2021-04-06,0.132
"162",2021-04-07,0.1577
"163",2021-04-08,0.2354
"164",2021-04-09,0.2248
"165",2021-04-12,0.2459
"166",2021-04-13,0.2522
"167",2021-04-14,0.2745
"168",2021-04-15,0.2827
"169",2021-04-16,0.2977
"170",2021-04-19,0.325
"171",2021-04-20,0.3458
"172",2021-04-21,0.3383
"173",2021-04-22,0.3782
