"","date","CPB"
"1",2020-08-14,0.4762
"2",2020-08-17,0.4847
"3",2020-08-18,0.4607
"4",2020-08-19,0.4354
"5",2020-08-20,0.4395
"6",2020-08-21,0.4401
"7",2020-08-24,0.4562
"8",2020-08-25,0.4959
"9",2020-08-26,0.4863
"10",2020-08-27,0.4908
"11",2020-08-28,0.489
"12",2020-08-31,0.4878
"13",2020-09-01,0.5011
"14",2020-09-02,0.5133
"15",2020-09-03,0.5423
"16",2020-09-04,0.5163
"17",2020-09-08,0.5216
"18",2020-09-09,0.5112
"19",2020-09-10,0.5111
"20",2020-09-11,0.5374
"21",2020-09-14,0.5479
"22",2020-09-15,0.5304
"23",2020-09-16,0.5101
"24",2020-09-17,0.5134
"25",2020-09-18,0.5067
"26",2020-09-21,0.5378
"27",2020-09-22,0.5347
"28",2020-09-23,0.5428
"29",2020-09-24,0.5233
"30",2020-09-25,0.5244
"31",2020-09-28,0.5247
"32",2020-09-29,0.511
"33",2020-09-30,0.4743
"34",2020-10-01,0.4686
"35",2020-10-02,0.4601
"36",2020-10-05,0.4305
"37",2020-10-06,0.433
"38",2020-10-07,0.4365
"39",2020-10-08,0.4395
"40",2020-10-09,0.4293
"41",2020-10-12,0.4195
"42",2020-10-13,0.3944
"43",2020-10-14,0.4014
"44",2020-10-15,0.419
"45",2020-10-16,0.433
"46",2020-10-19,0.4142
"47",2020-10-20,0.3934
"48",2020-10-21,0.3798
"49",2020-10-22,0.3597
"50",2020-10-23,0.3747
"51",2020-10-26,0.3609
"52",2020-10-27,0.3676
"53",2020-10-28,0.372
"54",2020-10-29,0.364
"55",2020-10-30,0.3518
"56",2020-11-02,0.3384
"57",2020-11-03,0.33
"58",2020-11-04,0.3283
"59",2020-11-05,0.3252
"60",2020-11-06,0.322
"61",2020-11-09,0.3199
"62",2020-11-10,0.3145
"63",2020-11-11,0.297
"64",2020-11-12,0.2793
"65",2020-11-13,0.2872
"66",2020-11-16,0.2717
"67",2020-11-17,0.2755
"68",2020-11-18,0.3003
"69",2020-11-19,0.286
"70",2020-11-20,0.3057
"71",2020-11-23,0.3191
"72",2020-11-24,0.3308
"73",2020-11-25,0.3356
"74",2020-11-27,0.3229
"75",2020-11-30,0.3131
"76",2020-12-01,0.2897
"77",2020-12-02,0.2929
"78",2020-12-03,0.3447
"79",2020-12-04,0.3625
"80",2020-12-07,0.3876
"81",2020-12-08,0.3727
"82",2020-12-09,0.3657
"83",2020-12-10,0.3651
"84",2020-12-11,0.3718
"85",2020-12-14,0.3977
"86",2020-12-15,0.4193
"87",2020-12-16,0.4342
"88",2020-12-17,0.4195
"89",2020-12-18,0.4153
"90",2020-12-21,0.4139
"91",2020-12-22,0.424
"92",2020-12-23,0.4496
"93",2020-12-24,0.449
"94",2020-12-28,0.4431
"95",2020-12-29,0.4526
"96",2020-12-30,0.4614
"97",2020-12-31,0.4729
"98",2021-01-04,0.5105
"99",2021-01-05,0.5208
"100",2021-01-06,0.5288
"101",2021-01-07,0.5287
"102",2021-01-08,0.4898
