"","date","BXP"
"1",2020-08-14,0.1439
"2",2020-08-17,0.1371
"3",2020-08-18,0.1457
"4",2020-08-19,0.153
"5",2020-08-20,0.1409
"6",2020-08-21,0.1353
"7",2020-08-24,0.13
"8",2020-08-25,0.1319
"9",2020-08-26,0.1246
"10",2020-08-27,0.1425
"11",2020-08-28,0.1519
"12",2020-08-31,0.1343
"13",2020-09-01,0.1391
"14",2020-09-02,0.1159
"15",2020-09-03,0.1277
"16",2020-09-04,0.1031
"17",2020-09-08,0.123
"18",2020-09-09,0.1167
"19",2020-09-10,0.1076
"20",2020-09-11,0.0924
"21",2020-09-14,0.1082
"22",2020-09-15,0.1105
"23",2020-09-16,0.1184
"24",2020-09-17,0.1294
"25",2020-09-18,0.1298
"26",2020-09-21,0.1181
"27",2020-09-22,0.1406
"28",2020-09-23,0.1352
"29",2020-09-24,0.1126
"30",2020-09-25,0.1126
"31",2020-09-28,0.1269
"32",2020-09-29,0.1257
"33",2020-09-30,0.1416
"34",2020-10-01,0.1409
"35",2020-10-02,0.1263
"36",2020-10-05,0.1184
"37",2020-10-06,0.1399
"38",2020-10-07,0.1363
"39",2020-10-08,0.1491
"40",2020-10-09,0.1193
"41",2020-10-12,0.1419
"42",2020-10-13,0.1712
"43",2020-10-14,0.1793
"44",2020-10-15,0.1681
"45",2020-10-16,0.1456
"46",2020-10-19,0.1377
"47",2020-10-20,0.1464
"48",2020-10-21,0.137
"49",2020-10-22,0.148
"50",2020-10-23,0.1221
"51",2020-10-26,0.1258
"52",2020-10-27,0.1176
"53",2020-10-28,0.1488
"54",2020-10-29,0.1637
"55",2020-10-30,0.1571
"56",2020-11-02,0.1249
"57",2020-11-03,0.1438
"58",2020-11-04,0.1423
"59",2020-11-05,0.1404
"60",2020-11-06,0.1343
"61",2020-11-09,0.1384
"62",2020-11-10,0.1245
"63",2020-11-11,0.1507
"64",2020-11-12,0.1544
"65",2020-11-13,0.146
"66",2020-11-16,0.1595
"67",2020-11-17,0.1528
"68",2020-11-18,0.1521
"69",2020-11-19,0.1443
"70",2020-11-20,0.1424
"71",2020-11-23,0.161
"72",2020-11-24,0.1543
"73",2020-11-25,0.147
"74",2020-11-27,0.1343
"75",2020-11-30,0.1732
"76",2020-12-01,0.1655
"77",2020-12-02,0.195
"78",2020-12-03,0.1952
"79",2020-12-04,0.1908
"80",2020-12-07,0.1755
"81",2020-12-08,0.236
"82",2020-12-09,0.2635
"83",2020-12-10,0.2641
"84",2020-12-11,0.2544
"85",2020-12-14,0.2487
"86",2020-12-15,0.2458
"87",2020-12-16,0.2544
"88",2020-12-17,0.2566
"89",2020-12-18,0.2227
"90",2020-12-21,0.218
"91",2020-12-22,0.2213
"92",2020-12-23,0.2389
"93",2020-12-24,0.2569
"94",2020-12-28,0.2731
"95",2020-12-29,0.267
"96",2020-12-30,0.2422
"97",2020-12-31,0.248
"98",2021-01-04,0.2292
"99",2021-01-05,0.2305
"100",2021-01-06,0.1857
"101",2021-01-07,0.196
"102",2021-01-08,0.1897
"103",2021-01-11,0.2071
"104",2021-01-12,0.1885
"105",2021-01-13,0.1956
"106",2021-01-14,0.1907
"107",2021-01-15,0.2043
"108",2021-01-19,0.208
"109",2021-01-20,0.2096
"110",2021-01-21,0.1899
"111",2021-01-22,0.2025
"112",2021-01-25,0.2094
"113",2021-01-26,0.2197
"114",2021-01-27,0.2597
"115",2021-01-28,0.2358
"116",2021-01-29,0.2122
"117",2021-02-01,0.2108
"118",2021-02-02,0.2174
"119",2021-02-03,0.2396
"120",2021-02-04,0.2458
"121",2021-02-05,0.2723
"122",2021-02-08,0.2725
"123",2021-02-09,0.3077
"124",2021-02-10,0.2931
"125",2021-02-11,0.2788
"126",2021-02-12,0.262
"127",2021-02-16,0.2607
"128",2021-02-17,0.2363
"129",2021-02-18,0.2574
"130",2021-02-19,0.2639
"131",2021-02-22,0.2913
"132",2021-02-23,0.286
"133",2021-02-24,0.2858
"134",2021-02-25,0.2741
"135",2021-02-26,0.2675
