"","date","MKTX"
"1",2020-08-14,0.3752
"2",2020-08-17,0.3639
"3",2020-08-18,0.3488
"4",2020-08-19,0.3338
"5",2020-08-20,0.3459
"6",2020-08-21,0.3464
"7",2020-08-24,0.3566
"8",2020-08-25,0.3658
"9",2020-08-26,0.3652
"10",2020-08-27,0.3676
"11",2020-08-28,0.3571
"12",2020-08-31,0.3495
"13",2020-09-01,0.3305
"14",2020-09-02,0.3028
"15",2020-09-03,0.2968
"16",2020-09-04,0.315
"17",2020-09-08,0.3758
"18",2020-09-09,0.3809
"19",2020-09-10,0.3573
"20",2020-09-11,0.3113
"21",2020-09-14,0.3171
"22",2020-09-15,0.3177
"23",2020-09-16,0.323
"24",2020-09-17,0.3087
"25",2020-09-18,0.3022
"26",2020-09-21,0.3043
"27",2020-09-22,0.304
"28",2020-09-23,0.2867
"29",2020-09-24,0.2883
"30",2020-09-25,0.274
"31",2020-09-28,0.2922
"32",2020-09-29,0.3102
"33",2020-09-30,0.2933
"34",2020-10-01,0.2917
"35",2020-10-02,0.2834
"36",2020-10-05,0.2773
"37",2020-10-06,0.2911
"38",2020-10-07,0.3108
"39",2020-10-08,0.2956
"40",2020-10-09,0.2675
"41",2020-10-12,0.2741
"42",2020-10-13,0.2884
"43",2020-10-14,0.3124
"44",2020-10-15,0.3137
"45",2020-10-16,0.3248
"46",2020-10-19,0.3187
"47",2020-10-20,0.3254
"48",2020-10-21,0.324
"49",2020-10-22,0.3295
"50",2020-10-23,0.3207
"51",2020-10-26,0.327
"52",2020-10-27,0.3293
"53",2020-10-28,0.3461
"54",2020-10-29,0.3423
"55",2020-10-30,0.3332
"56",2020-11-02,0.3384
"57",2020-11-03,0.3354
"58",2020-11-04,0.3362
"59",2020-11-05,0.3413
"60",2020-11-06,0.3485
"61",2020-11-09,0.377
"62",2020-11-10,0.3796
"63",2020-11-11,0.3772
"64",2020-11-12,0.3458
"65",2020-11-13,0.3454
"66",2020-11-16,0.3534
"67",2020-11-17,0.3576
"68",2020-11-18,0.3474
"69",2020-11-19,0.3328
"70",2020-11-20,0.3439
"71",2020-11-23,0.3665
"72",2020-11-24,0.3827
"73",2020-11-25,0.4003
"74",2020-11-27,0.3839
"75",2020-11-30,0.3742
"76",2020-12-01,0.3558
"77",2020-12-02,0.3733
"78",2020-12-03,0.3577
"79",2020-12-04,0.3449
"80",2020-12-07,0.3289
"81",2020-12-08,0.3354
"82",2020-12-09,0.3606
"83",2020-12-10,0.3446
"84",2020-12-11,0.3392
"85",2020-12-14,0.34
"86",2020-12-15,0.351
