"","date","FMC"
"1",2022-01-19,0.3018
"2",2022-01-20,0.2964
"3",2022-01-21,0.304
"4",2022-01-24,0.3036
"5",2022-01-25,0.305
"6",2022-01-26,0.3028
"7",2022-01-27,0.3001
"8",2022-01-28,0.3081
"9",2022-01-31,0.3181
"10",2022-02-01,0.3339
"11",2022-02-02,0.3403
"12",2022-02-03,0.3385
"13",2022-02-04,0.3436
"14",2022-02-07,0.3197
"15",2022-02-08,0.3222
"16",2022-02-09,0.3242
"17",2022-02-10,0.3257
"18",2022-02-11,0.3242
"19",2022-02-14,0.3267
"20",2022-02-15,0.309
"21",2022-02-16,0.3041
"22",2022-02-17,0.3162
"23",2022-02-18,0.322
"24",2022-02-22,0.32
"25",2022-02-23,0.3254
"26",2022-02-24,0.321
"27",2022-02-25,0.3134
"28",2022-02-28,0.3225
"29",2022-03-01,0.3139
"30",2022-03-02,0.3073
"31",2022-03-03,0.314
"32",2022-03-04,0.3164
"33",2022-03-07,0.3071
"34",2022-03-08,0.2969
"35",2022-03-09,0.2991
"36",2022-03-10,0.2927
"37",2022-03-11,0.3015
"38",2022-03-14,0.3045
"39",2022-03-15,0.3174
"40",2022-03-16,0.325
"41",2022-03-17,0.3298
"42",2022-03-18,0.3458
"43",2022-03-21,0.3441
"44",2022-03-22,0.3207
"45",2022-03-23,0.3026
"46",2022-03-24,0.2936
"47",2022-03-25,0.3086
"48",2022-03-28,0.3154
"49",2022-03-29,0.3208
"50",2022-03-30,0.3103
"51",2022-03-31,0.3004
"52",2022-04-01,0.3048
"53",2022-04-04,0.3159
"54",2022-04-05,0.316
"55",2022-04-06,0.327
"56",2022-04-07,0.3208
"57",2022-04-08,0.3349
"58",2022-04-11,0.3421
"59",2022-04-12,0.3386
"60",2022-04-13,0.336
"61",2022-04-14,0.3431
"62",2022-04-18,0.3323
"63",2022-04-19,0.3344
"64",2022-04-20,0.3343
"65",2022-04-21,0.3383
"66",2022-04-22,0.3461
"67",2022-04-25,0.3469
"68",2022-04-26,0.3581
"69",2022-04-27,0.3542
"70",2022-04-28,0.3675
"71",2022-04-29,0.3718
"72",2022-05-02,0.3649
"73",2022-05-03,0.3695
"74",2022-05-04,0.356
"75",2022-05-05,0.3658
"76",2022-05-06,0.3622
"77",2022-05-09,0.3667
"78",2022-05-10,0.3591
"79",2022-05-11,0.3568
"80",2022-05-12,0.3562
"81",2022-05-13,0.3674
"82",2022-05-16,0.3884
"83",2022-05-17,0.4003
"84",2022-05-18,0.3879
"85",2022-05-19,0.3778
"86",2022-05-20,0.3668
"87",2022-05-23,0.37
"88",2022-05-24,0.3768
"89",2022-05-25,0.3681
"90",2022-05-26,0.3623
"91",2022-05-27,0.3606
"92",2022-05-31,0.3626
"93",2022-06-01,0.3622
"94",2022-06-02,0.3642
"95",2022-06-03,0.3687
"96",2022-06-06,0.3719
"97",2022-06-07,0.3783
"98",2022-06-08,0.3683
"99",2022-06-09,0.3659
"100",2022-06-10,0.3507
"101",2022-06-13,0.3493
"102",2022-06-14,0.3549
"103",2022-06-15,0.3666
"104",2022-06-16,0.3546
"105",2022-06-17,0.3546
"106",2022-06-21,0.3529
"107",2022-06-22,0.3551
"108",2022-06-23,0.3642
"109",2022-06-24,0.3662
"110",2022-06-27,0.3578
"111",2022-06-28,0.34
"112",2022-06-29,0.3524
"113",2022-06-30,0.3627
"114",2022-07-01,0.3519
"115",2022-07-05,0.3473
"116",2022-07-06,0.3357
"117",2022-07-07,0.3353
"118",2022-07-08,0.341
"119",2022-07-11,0.3515
"120",2022-07-12,0.3493
"121",2022-07-13,0.3492
"122",2022-07-14,0.3427
"123",2022-07-15,0.3343
"124",2022-07-18,0.327
"125",2022-07-19,0.3233
"126",2022-07-20,0.3222
"127",2022-07-21,0.3221
"128",2022-07-22,0.3159
"129",2022-07-25,0.3141
"130",2022-07-26,0.3291
"131",2022-07-27,0.3306
"132",2022-07-28,0.329
"133",2022-07-29,0.3228
"134",2022-08-01,0.2997
"135",2022-08-02,0.2937
"136",2022-08-03,0.2927
"137",2022-08-04,0.2979
"138",2022-08-05,0.3106
"139",2022-08-08,0.3034
"140",2022-08-09,0.295
"141",2022-08-10,0.2898
"142",2022-08-11,0.2918
