"","date","HAS"
"188",2021-05-13,0.1298
"189",2021-05-14,0.1328
"190",2021-05-17,0.1568
"191",2021-05-18,0.2012
"192",2021-05-19,0.1814
"193",2021-05-20,0.1802
"194",2021-05-21,0.1386
"195",2021-05-24,0.164
"196",2021-05-25,0.1538
"197",2021-05-26,0.1487
"198",2021-05-27,0.1402
"199",2021-05-28,0.1055
"200",2021-06-01,0.1133
"201",2021-06-02,0.1471
"202",2021-06-03,0.1414
"203",2021-06-04,0.1286
"204",2021-06-07,0.1015
"205",2021-06-08,0.1154
"206",2021-06-09,0.1113
"207",2021-06-10,0.1041
"208",2021-06-11,0.1078
"209",2021-06-14,0.1151
"210",2021-06-15,0.129
"211",2021-06-16,0.1277
"212",2021-06-17,0.1514
"213",2021-06-18,0.1437
"214",2021-06-21,0.1476
"215",2021-06-22,0.1532
"216",2021-06-23,0.1653
"217",2021-06-24,0.1657
"218",2021-06-25,0.1861
"219",2021-06-28,0.1941
"220",2021-06-29,0.2013
"221",2021-06-30,0.1881
"222",2021-07-01,0.2004
"223",2021-07-02,0.2133
"224",2021-07-06,0.2385
"225",2021-07-07,0.2188
"226",2021-07-08,0.2164
"227",2021-07-09,0.2117
"228",2021-07-12,0.2082
"229",2021-07-13,0.1974
"230",2021-07-14,0.1987
"231",2021-07-15,0.1923
"232",2021-07-16,0.2015
"233",2021-07-19,0.1887
"234",2021-07-20,0.1891
"235",2021-07-21,0.1596
"236",2021-07-22,0.1374
"237",2021-07-23,0.108
"238",2021-07-26,0.09
"239",2021-07-27,0.0979
"240",2021-07-28,0.1094
"241",2021-07-29,0.1368
"242",2021-07-30,0.1619
"243",2021-08-02,0.1702
"244",2021-08-03,0.1855
"245",2021-08-04,0.2413
"246",2021-08-05,0.2755
"247",2021-08-06,0.3317
"248",2021-08-09,0.369
"249",2021-08-10,0.3479
"250",2021-08-11,0.3582
"251",2021-08-12,0.3039
"252",2021-08-13,0.2104
"253",2021-08-16,0.1342
"254",2021-08-17,0.0777
"255",2021-08-18,0.0741
"256",2021-08-19,0.1586
"257",2021-08-20,0.241
"258",2021-08-23,0.2855
"259",2021-08-24,0.2319
"260",2021-08-25,0.1817
"261",2021-08-26,0.1883
"262",2021-08-27,0.2024
"263",2021-08-30,0.2262
"264",2021-08-31,0.2103
"265",2021-09-01,0.2296
"266",2021-09-02,0.2234
"267",2021-09-03,0.2345
"268",2021-09-07,0.2163
"269",2021-09-08,0.1717
"270",2021-09-09,0.1609
"271",2021-09-10,0.1673
"272",2021-09-13,0.177
"273",2021-09-14,0.185
"274",2021-09-15,0.2075
"275",2021-09-16,0.2159
"276",2021-09-17,0.2387
"277",2021-09-20,0.2384
"278",2021-09-21,0.2353
"279",2021-09-22,0.2274
"280",2021-09-23,0.2352
"281",2021-09-24,0.2405
"282",2021-09-27,0.2583
"283",2021-09-28,0.2783
"284",2021-09-29,0.2885
"285",2021-09-30,0.2768
"286",2021-10-01,0.2983
"287",2021-10-04,0.2882
"288",2021-10-05,0.26
"289",2021-10-06,0.2434
"290",2021-10-07,0.2555
"291",2021-10-08,0.2679
"292",2021-10-11,0.2623
"293",2021-10-12,0.2395
"294",2021-10-13,0.2389
"295",2021-10-14,0.2501
"296",2021-10-15,0.2778
"297",2021-10-18,0.292
"298",2021-10-19,0.3183
"299",2021-10-20,0.3289
"300",2021-10-21,0.3305
"301",2021-10-22,0.3545
"302",2021-10-25,0.3448
"303",2021-10-26,0.3048
"304",2021-10-27,0.3123
"305",2021-10-28,0.3259
"306",2021-10-29,0.3146
"307",2021-11-01,0.3323
"308",2021-11-02,0.296
"309",2021-11-03,0.2738
"310",2021-11-04,0.2709
"311",2021-11-05,0.2862
"312",2021-11-08,0.3093
"313",2021-11-09,0.2936
"314",2021-11-10,0.2787
"315",2021-11-11,0.289
"316",2021-11-12,0.2905
"317",2021-11-15,0.3032
"318",2021-11-16,0.3071
"319",2021-11-17,0.2765
"320",2021-11-18,0.2676
"321",2021-11-19,0.2459
"322",2021-11-22,0.244
"323",2021-11-23,0.2272
"324",2021-11-24,0.2344
"325",2021-11-26,0.2189
