"","date","ALK"
"188",2021-05-13,0.484
"189",2021-05-14,0.4593
"190",2021-05-17,0.4612
"191",2021-05-18,0.5094
"192",2021-05-19,0.5282
"193",2021-05-20,0.6529
"194",2021-05-21,0.6743
"195",2021-05-24,0.6533
"196",2021-05-25,0.6715
"197",2021-05-26,0.6709
"198",2021-05-27,0.6398
"199",2021-05-28,0.5894
"200",2021-06-01,0.5391
"201",2021-06-02,0.5622
"202",2021-06-03,0.5485
"203",2021-06-04,0.5335
"204",2021-06-07,0.4823
"205",2021-06-08,0.5337
"206",2021-06-09,0.5024
"207",2021-06-10,0.4603
"208",2021-06-11,0.4428
"209",2021-06-14,0.4216
"210",2021-06-15,0.3844
"211",2021-06-16,0.3768
"212",2021-06-17,0.3514
"213",2021-06-18,0.3463
"214",2021-06-21,0.3002
"215",2021-06-22,0.2808
"216",2021-06-23,0.2565
"217",2021-06-24,0.2643
"218",2021-06-25,0.2467
"219",2021-06-28,0.2308
"220",2021-06-29,0.2156
"221",2021-06-30,0.2261
"222",2021-07-01,0.1837
"223",2021-07-02,0.1928
"224",2021-07-06,0.1421
"225",2021-07-07,0.1346
"226",2021-07-08,0.1008
"227",2021-07-09,0.0784
"228",2021-07-12,0.0564
"229",2021-07-13,0.0366
"230",2021-07-14,0.0563
"231",2021-07-15,0.0557
"232",2021-07-16,0.0738
"233",2021-07-19,0.0695
"234",2021-07-20,0.0871999999999999
"235",2021-07-21,0.0846
"236",2021-07-22,0.084
"237",2021-07-23,0.0827
"238",2021-07-26,0.0799
"239",2021-07-27,0.0576
"240",2021-07-28,0.0476
"241",2021-07-29,0.0625
"242",2021-07-30,0.0617
"243",2021-08-02,0.081
"244",2021-08-03,0.0772
"245",2021-08-04,0.1095
"246",2021-08-05,0.1424
"247",2021-08-06,0.2068
"248",2021-08-09,0.2312
"249",2021-08-10,0.2579
"250",2021-08-11,0.304
"251",2021-08-12,0.3505
"252",2021-08-13,0.351
"253",2021-08-16,0.3799
"254",2021-08-17,0.3417
"255",2021-08-18,0.3091
"256",2021-08-19,0.2991
"257",2021-08-20,0.2897
"258",2021-08-23,0.2731
"259",2021-08-24,0.2463
"260",2021-08-25,0.2383
"261",2021-08-26,0.2469
"262",2021-08-27,0.2218
"263",2021-08-30,0.2127
"264",2021-08-31,0.1897
"265",2021-09-01,0.1828
"266",2021-09-02,0.1827
"267",2021-09-03,0.1879
"268",2021-09-07,0.1934
"269",2021-09-08,0.1775
"270",2021-09-09,0.164
"271",2021-09-10,0.1534
"272",2021-09-13,0.1643
"273",2021-09-14,0.1767
"274",2021-09-15,0.1587
"275",2021-09-16,0.1599
"276",2021-09-17,0.1764
"277",2021-09-20,0.1785
"278",2021-09-21,0.2029
"279",2021-09-22,0.1856
"280",2021-09-23,0.1901
"281",2021-09-24,0.1904
"282",2021-09-27,0.1907
"283",2021-09-28,0.1899
"284",2021-09-29,0.1781
"285",2021-09-30,0.1783
"286",2021-10-01,0.1949
"287",2021-10-04,0.181
"288",2021-10-05,0.1776
"289",2021-10-06,0.1712
"290",2021-10-07,0.1659
"291",2021-10-08,0.166
"292",2021-10-11,0.1681
"293",2021-10-12,0.1607
"294",2021-10-13,0.1582
"295",2021-10-14,0.1946
"296",2021-10-15,0.2496
"297",2021-10-18,0.2673
"298",2021-10-19,0.285
"299",2021-10-20,0.2911
"300",2021-10-21,0.3156
"301",2021-10-22,0.3224
"302",2021-10-25,0.3264
"303",2021-10-26,0.3509
"304",2021-10-27,0.347
"305",2021-10-28,0.3893
"306",2021-10-29,0.4004
"307",2021-11-01,0.3549
"308",2021-11-02,0.3196
"309",2021-11-03,0.2655
"310",2021-11-04,0.2205
"311",2021-11-05,0.2271
"312",2021-11-08,0.2338
"313",2021-11-09,0.2122
"314",2021-11-10,0.1797
"315",2021-11-11,0.1697
"316",2021-11-12,0.1597
"317",2021-11-15,0.1621
"318",2021-11-16,0.17
"319",2021-11-17,0.1586
"320",2021-11-18,0.159
"321",2021-11-19,0.1581
"322",2021-11-22,0.1652
"323",2021-11-23,0.1875
"324",2021-11-24,0.1812
"325",2021-11-26,0.1834
"326",2021-11-29,0.1808
"327",2021-11-30,0.1556
"328",2021-12-01,0.1474
"329",2021-12-02,0.1651
"330",2021-12-03,0.1901
"331",2021-12-06,0.203
"332",2021-12-07,0.1887
"333",2021-12-08,0.2081
"334",2021-12-09,0.1787
"335",2021-12-10,0.1808
"336",2021-12-13,0.1743
"337",2021-12-14,0.1966
"338",2021-12-15,0.2087
"339",2021-12-16,0.1966
"340",2021-12-17,0.1867
"341",2021-12-20,0.1799
"342",2021-12-21,0.166
"343",2021-12-22,0.1672
"344",2021-12-23,0.1614
"345",2021-12-27,0.1695
"346",2021-12-28,0.1592
"347",2021-12-29,0.1513
"348",2021-12-30,0.163
"349",2021-12-31,0.1605
"350",2022-01-03,0.1568
"351",2022-01-04,0.1754
"352",2022-01-05,0.1537
"353",2022-01-06,0.1557
"354",2022-01-07,0.1147
"355",2022-01-10,0.1067
"356",2022-01-11,0.1127
"357",2022-01-12,0.1259
"358",2022-01-13,0.1297
"359",2022-01-14,0.1239
"360",2022-01-18,0.1027
"361",2022-01-19,0.1055
"362",2022-01-20,0.1054
"363",2022-01-21,0.1102
"364",2022-01-24,0.1032
"365",2022-01-25,0.1218
"366",2022-01-26,0.1271
"367",2022-01-27,0.0948
"368",2022-01-28,0.0816
"369",2022-01-31,0.0760999999999999
"370",2022-02-01,0.077
"371",2022-02-02,0.0844
"372",2022-02-03,0.0686
"373",2022-02-04,0.0896
"374",2022-02-07,0.0726000000000001
"375",2022-02-08,0.0779000000000001
"376",2022-02-09,0.0746
"377",2022-02-10,0.1075
"378",2022-02-11,0.1203
"379",2022-02-14,0.1354
"380",2022-02-15,0.1463
"381",2022-02-16,0.1597
"382",2022-02-17,0.1556
"383",2022-02-18,0.1751
"384",2022-02-22,0.1746
"385",2022-02-23,0.1903
"386",2022-02-24,0.1827
"387",2022-02-25,0.1692
"388",2022-02-28,0.1606
"389",2022-03-01,0.1637
"390",2022-03-02,0.1836
"391",2022-03-03,0.1958
"392",2022-03-04,0.1877
"393",2022-03-07,0.2055
"394",2022-03-08,0.1846
"395",2022-03-09,0.1927
"396",2022-03-10,0.1912
"397",2022-03-11,0.1929
"398",2022-03-14,0.1943
"399",2022-03-15,0.1925
"400",2022-03-16,0.1928
"401",2022-03-17,0.203
"402",2022-03-18,0.1931
"403",2022-03-21,0.2068
"404",2022-03-22,0.1991
"405",2022-03-23,0.2129
"406",2022-03-24,0.2025
"407",2022-03-25,0.2105
"408",2022-03-28,0.2318
"409",2022-03-29,0.2127
"410",2022-03-30,0.1936
"411",2022-03-31,0.1677
"412",2022-04-01,0.1452
"413",2022-04-04,0.173
"414",2022-04-05,0.1766
"415",2022-04-06,0.1875
"416",2022-04-07,0.2003
"417",2022-04-08,0.2305
"418",2022-04-11,0.2443
"419",2022-04-12,0.2438
"420",2022-04-13,0.2465
"421",2022-04-14,0.2353
"422",2022-04-18,0.2303
"423",2022-04-19,0.2472
"424",2022-04-20,0.2284
"425",2022-04-21,0.2289
"426",2022-04-22,0.2155
"427",2022-04-25,0.1928
"428",2022-04-26,0.2118
"429",2022-04-27,0.2261
"430",2022-04-28,0.2248
"431",2022-04-29,0.2077
"432",2022-05-02,0.1852
"433",2022-05-03,0.1859
"434",2022-05-04,0.1791
"435",2022-05-05,0.1902
"436",2022-05-06,0.1903
"437",2022-05-09,0.2017
"438",2022-05-10,0.224
"439",2022-05-11,0.2301
"440",2022-05-12,0.2407
"441",2022-05-13,0.2432
"442",2022-05-16,0.2226
"443",2022-05-17,0.2206
"444",2022-05-18,0.1802
"445",2022-05-19,0.1832
"446",2022-05-20,0.1878
"447",2022-05-23,0.1884
"448",2022-05-24,0.1848
"449",2022-05-25,0.1891
"450",2022-05-26,0.2034
"451",2022-05-27,0.1667
"452",2022-05-31,0.1701
"453",2022-06-01,0.1805
"454",2022-06-02,0.172
"455",2022-06-03,0.1893
"456",2022-06-06,0.2074
"457",2022-06-07,0.1948
"458",2022-06-08,0.202
"459",2022-06-09,0.188
"460",2022-06-10,0.1865
"461",2022-06-13,0.1951
"462",2022-06-14,0.178
"463",2022-06-15,0.1858
"464",2022-06-16,0.1709
"465",2022-06-17,0.2011
"466",2022-06-21,0.1904
"467",2022-06-22,0.1972
"468",2022-06-23,0.2046
"469",2022-06-24,0.2013
"470",2022-06-27,0.2013
"471",2022-06-28,0.1816
"472",2022-06-29,0.1694
"473",2022-06-30,0.1896
"474",2022-07-01,0.1972
"475",2022-07-05,0.2037
"476",2022-07-06,0.2159
"477",2022-07-07,0.2182
"478",2022-07-08,0.2239
"479",2022-07-11,0.2165
"480",2022-07-12,0.228
"481",2022-07-13,0.2247
"482",2022-07-14,0.2179
"483",2022-07-15,0.2339
"484",2022-07-18,0.2161
"485",2022-07-19,0.233
"486",2022-07-20,0.2102
"487",2022-07-21,0.1938
"488",2022-07-22,0.1954
"489",2022-07-25,0.1939
"490",2022-07-26,0.1942
"491",2022-07-27,0.2025
"492",2022-07-28,0.2025
"493",2022-07-29,0.2064
"494",2022-08-01,0.1966
"495",2022-08-02,0.188
"496",2022-08-03,0.1656
"497",2022-08-04,0.1581
"498",2022-08-05,0.1694
"499",2022-08-08,0.1582
"500",2022-08-09,0.1712
"501",2022-08-10,0.1877
"502",2022-08-11,0.1828
"503",2022-08-12,0.1764
"504",2022-08-15,0.1487
"505",2022-08-16,0.1681
"506",2022-08-17,0.1765
"507",2022-08-18,0.1814
"508",2022-08-19,0.1718
"509",2022-08-22,0.172
"510",2022-08-23,0.1762
"511",2022-08-24,0.1739
"512",2022-08-25,0.1597
"513",2022-08-26,0.1758
"514",2022-08-29,0.143
"515",2022-08-30,0.1421
"516",2022-08-31,0.1441
"517",2022-09-01,0.1513
"518",2022-09-02,0.1631
"519",2022-09-06,0.1725
"520",2022-09-07,0.1888
"521",2022-09-08,0.1878
"522",2022-09-09,0.1968
"523",2022-09-12,0.1909
"524",2022-09-13,0.1877
"525",2022-09-14,0.2119
"526",2022-09-15,0.1993
"527",2022-09-16,0.2012
"528",2022-09-19,0.2
"529",2022-09-20,0.2022
"530",2022-09-21,0.1925
"531",2022-09-22,0.1667
"532",2022-09-23,0.1509
"533",2022-09-26,0.185
"534",2022-09-27,0.1816
"535",2022-09-28,0.2047
"536",2022-09-29,0.2149
"537",2022-09-30,0.216
"538",2022-10-03,0.2169
"539",2022-10-04,0.2144
"540",2022-10-05,0.2188
"541",2022-10-06,0.2072
"542",2022-10-07,0.1791
"543",2022-10-10,0.1899
"544",2022-10-11,0.1762
"545",2022-10-12,0.1831
"546",2022-10-13,0.1842
"547",2022-10-14,0.1859
"548",2022-10-17,0.2114
"549",2022-10-18,0.2387
"550",2022-10-19,0.2496
"551",2022-10-20,0.2613
"552",2022-10-21,0.2538
"553",2022-10-24,0.2517
"554",2022-10-25,0.2457
"555",2022-10-26,0.256
"556",2022-10-27,0.2387
"557",2022-10-28,0.235
"558",2022-10-31,0.2462
"559",2022-11-01,0.2327
"560",2022-11-02,0.2482
"561",2022-11-03,0.2637
"562",2022-11-04,0.2541
"563",2022-11-07,0.2563
"564",2022-11-08,0.248
"565",2022-11-09,0.2562
"566",2022-11-10,0.2443
"567",2022-11-11,0.2352
"568",2022-11-14,0.2235
"569",2022-11-15,0.2308
"570",2022-11-16,0.2269
"571",2022-11-17,0.2138
"572",2022-11-18,0.202
"573",2022-11-21,0.2211
"574",2022-11-22,0.2042
"575",2022-11-23,0.2023
"576",2022-11-25,0.1906
"577",2022-11-28,0.1891
"578",2022-11-29,0.18
"579",2022-11-30,0.1848
"580",2022-12-01,0.1925
"581",2022-12-02,0.189
"582",2022-12-05,0.1955
"583",2022-12-06,0.1785
"584",2022-12-07,0.1685
"585",2022-12-08,0.1933
"586",2022-12-09,0.1856
"587",2022-12-12,0.1819
"588",2022-12-13,0.1904
"589",2022-12-14,0.2076
"590",2022-12-15,0.2251
"591",2022-12-16,0.2469
"592",2022-12-19,0.2314
"593",2022-12-20,0.2276
"594",2022-12-21,0.2017
"595",2022-12-22,0.2188
"596",2022-12-23,0.2096
"597",2022-12-27,0.2173
"598",2022-12-28,0.2035
"599",2022-12-29,0.2233
"600",2022-12-30,0.2511
"601",2023-01-03,0.2665
"602",2023-01-04,0.261
"603",2023-01-05,0.2665
"604",2023-01-06,0.2623
"605",2023-01-09,0.2801
"606",2023-01-10,0.2802
"607",2023-01-11,0.2673
"608",2023-01-12,0.2474
"609",2023-01-13,0.2518
"610",2023-01-17,0.2557
"611",2023-01-18,0.2554
"612",2023-01-19,0.2674
"613",2023-01-20,0.2944
"614",2023-01-23,0.2678
"615",2023-01-24,0.2906
"616",2023-01-25,0.2819
"617",2023-01-26,0.3027
"618",2023-01-27,0.3223
"619",2023-01-30,0.3084
"620",2023-01-31,0.2931
"621",2023-02-01,0.2935
"622",2023-02-02,0.2662
"623",2023-02-03,0.2736
"624",2023-02-06,0.2641
"625",2023-02-07,0.2784
"626",2023-02-08,0.2855
"627",2023-02-09,0.2836
"628",2023-02-10,0.2746
"629",2023-02-13,0.2766
"630",2023-02-14,0.273
"631",2023-02-15,0.2617
"632",2023-02-16,0.2564
"633",2023-02-17,0.2634
"634",2023-02-21,0.2741
"635",2023-02-22,0.2858
"636",2023-02-23,0.2685
"637",2023-02-24,0.278
"638",2023-02-27,0.259
"639",2023-02-28,0.2841
"640",2023-03-01,0.2906
"641",2023-03-02,0.2933
"642",2023-03-03,0.2835
"643",2023-03-06,0.3037
"644",2023-03-07,0.2972
"645",2023-03-08,0.3471
"646",2023-03-09,0.3172
"647",2023-03-10,0.3061
"648",2023-03-13,0.3066
"649",2023-03-14,0.3079
"650",2023-03-15,0.295
"651",2023-03-16,0.2873
"652",2023-03-17,0.2898
"653",2023-03-20,0.3067
"654",2023-03-21,0.2961
"655",2023-03-22,0.299
"656",2023-03-23,0.2861
"657",2023-03-24,0.293
"658",2023-03-27,0.2592
"659",2023-03-28,0.2725
"660",2023-03-29,0.2808
"661",2023-03-30,0.3058
"662",2023-03-31,0.2919
"663",2023-04-03,0.3118
"664",2023-04-04,0.288
"665",2023-04-05,0.276
"666",2023-04-06,0.2549
"667",2023-04-10,0.2621
"668",2023-04-11,0.2692
"669",2023-04-12,0.2865
"670",2023-04-13,0.2993
"671",2023-04-14,0.2893
"672",2023-04-17,0.2803
"673",2023-04-18,0.3006
"674",2023-04-19,0.2847
"675",2023-04-20,0.271
"676",2023-04-21,0.2528
"677",2023-04-24,0.259
"678",2023-04-25,0.2578
"679",2023-04-26,0.2674
"680",2023-04-27,0.2734
"681",2023-04-28,0.295
"682",2023-05-01,0.2755
"683",2023-05-02,0.2889
"684",2023-05-03,0.2864
"685",2023-05-04,0.3006
"686",2023-05-05,0.2781
"687",2023-05-08,0.283
"688",2023-05-09,0.2691
"689",2023-05-10,0.2863
"690",2023-05-11,0.2956
"691",2023-05-12,0.307
"692",2023-05-15,0.3012
"693",2023-05-16,0.3243
"694",2023-05-17,0.3158
"695",2023-05-18,0.3286
"696",2023-05-19,0.3382
"697",2023-05-22,0.3357
"698",2023-05-23,0.3208
"699",2023-05-24,0.3195
"700",2023-05-25,0.3201
"701",2023-05-26,0.337
"702",2023-05-30,0.3229
"703",2023-05-31,0.3424
"704",2023-06-01,0.3476
"705",2023-06-02,0.3575
"706",2023-06-05,0.327
"707",2023-06-06,0.3346
"708",2023-06-07,0.3256
"709",2023-06-08,0.3396
"710",2023-06-09,0.3278
"711",2023-06-12,0.3381
"712",2023-06-13,0.3415
"713",2023-06-14,0.349
"714",2023-06-15,0.338
"715",2023-06-16,0.3348
"716",2023-06-20,0.3254
"717",2023-06-21,0.3494
"718",2023-06-22,0.3326
"719",2023-06-23,0.32
"720",2023-06-26,0.3129
"721",2023-06-27,0.3145
"722",2023-06-28,0.3084
"723",2023-06-29,0.3248
