"","date","JNPR"
"1",2020-08-14,0.3131
"2",2020-08-17,0.2921
"3",2020-08-18,0.3269
"4",2020-08-19,0.3193
"5",2020-08-20,0.3123
"6",2020-08-21,0.3126
"7",2020-08-24,0.3159
"8",2020-08-25,0.3168
"9",2020-08-26,0.3327
"10",2020-08-27,0.3616
"11",2020-08-28,0.3483
"12",2020-08-31,0.3322
"13",2020-09-01,0.3266
"14",2020-09-02,0.3166
"15",2020-09-03,0.3179
"16",2020-09-04,0.3384
"17",2020-09-08,0.3163
"18",2020-09-09,0.3022
"19",2020-09-10,0.2951
"20",2020-09-11,0.2583
"21",2020-09-14,0.2779
"22",2020-09-15,0.3033
"23",2020-09-16,0.3273
"24",2020-09-17,0.3257
"25",2020-09-18,0.3475
"26",2020-09-21,0.2951
"27",2020-09-22,0.2831
"28",2020-09-23,0.2812
"29",2020-09-24,0.2839
"30",2020-09-25,0.2658
"31",2020-09-28,0.2614
"32",2020-09-29,0.2718
"33",2020-09-30,0.2647
"34",2020-10-01,0.2724
"35",2020-10-02,0.2582
"36",2020-10-05,0.269
"37",2020-10-06,0.26
"38",2020-10-07,0.2396
"39",2020-10-08,0.2393
"40",2020-10-09,0.2379
"41",2020-10-12,0.2454
"42",2020-10-13,0.2509
"43",2020-10-14,0.2554
"44",2020-10-15,0.2304
"45",2020-10-16,0.2346
"46",2020-10-19,0.2474
"47",2020-10-20,0.254
"48",2020-10-21,0.2389
"49",2020-10-22,0.2474
"50",2020-10-23,0.2223
"51",2020-10-26,0.228
"52",2020-10-27,0.2392
"53",2020-10-28,0.2484
"54",2020-10-29,0.236
"55",2020-10-30,0.2451
"56",2020-11-02,0.2236
"57",2020-11-03,0.2579
"58",2020-11-04,0.325
"59",2020-11-05,0.3251
"60",2020-11-06,0.3331
"61",2020-11-09,0.3261
"62",2020-11-10,0.2883
"63",2020-11-11,0.2731
"64",2020-11-12,0.2637
"65",2020-11-13,0.2654
"66",2020-11-16,0.2779
"67",2020-11-17,0.2742
"68",2020-11-18,0.2641
"69",2020-11-19,0.2796
"70",2020-11-20,0.2834
"71",2020-11-23,0.2815
"72",2020-11-24,0.2665
"73",2020-11-25,0.2775
"74",2020-11-27,0.262
"75",2020-11-30,0.2557
"76",2020-12-01,0.2467
"77",2020-12-02,0.2493
"78",2020-12-03,0.2391
"79",2020-12-04,0.2596
"80",2020-12-07,0.2704
"81",2020-12-08,0.2821
"82",2020-12-09,0.2948
"83",2020-12-10,0.3114
"84",2020-12-11,0.3333
"85",2020-12-14,0.3501
"86",2020-12-15,0.3236
"87",2020-12-16,0.3072
"88",2020-12-17,0.3236
"89",2020-12-18,0.2949
"90",2020-12-21,0.3072
"91",2020-12-22,0.333
"92",2020-12-23,0.33
