"","date","CTLT"
"209",2021-06-14,0.1302
"210",2021-06-15,0.1009
"211",2021-06-16,0.1225
"212",2021-06-17,0.1292
"213",2021-06-18,0.1306
"214",2021-06-21,0.0827
"215",2021-06-22,0.0499999999999999
"216",2021-06-23,0.0539999999999999
"217",2021-06-24,0.0583
"218",2021-06-25,0.0564
"219",2021-06-28,0.0526
"220",2021-06-29,0.0604
"221",2021-06-30,0.0712999999999999
"222",2021-07-01,0.0757000000000001
"223",2021-07-02,0.0701000000000001
"224",2021-07-06,0.0866
"225",2021-07-07,0.0759
"226",2021-07-08,0.0766
"227",2021-07-09,0.0804
"228",2021-07-12,0.0864999999999999
"229",2021-07-13,0.0983999999999999
"230",2021-07-14,0.0841
"231",2021-07-15,0.0808
"232",2021-07-16,0.0748
"233",2021-07-19,0.0551
"234",2021-07-20,0.0443
"235",2021-07-21,0.0585
"236",2021-07-22,0.0790000000000001
"237",2021-07-23,0.1225
"238",2021-07-26,0.155
"239",2021-07-27,0.2024
"240",2021-07-28,0.2366
"241",2021-07-29,0.2828
"242",2021-07-30,0.3052
"243",2021-08-02,0.3312
"244",2021-08-03,0.3131
"245",2021-08-04,0.3365
"246",2021-08-05,0.3509
"247",2021-08-06,0.3634
"248",2021-08-09,0.3652
"249",2021-08-10,0.3475
"250",2021-08-11,0.3439
"251",2021-08-12,0.3312
"252",2021-08-13,0.3104
"253",2021-08-16,0.2842
"254",2021-08-17,0.1181
"255",2021-08-18,0.1139
"256",2021-08-19,0.0927
"257",2021-08-20,0.1228
"258",2021-08-23,0.1353
"259",2021-08-24,0.1209
"260",2021-08-25,0.0831
"261",2021-08-26,0.0857
"262",2021-08-27,0.0712
"263",2021-08-30,0.0594
"264",2021-08-31,0.073
"265",2021-09-01,0.0989
"266",2021-09-02,0.0841999999999999
"267",2021-09-03,0.0847
"268",2021-09-07,0.0893
"269",2021-09-08,0.0953000000000001
"270",2021-09-09,0.0817
"271",2021-09-10,0.0968
"272",2021-09-13,0.1076
"273",2021-09-14,0.0939
