"","date","HII"
"188",2021-05-13,0.2843
"189",2021-05-14,0.2734
"190",2021-05-17,0.2788
"191",2021-05-18,0.26
"192",2021-05-19,0.2496
"193",2021-05-20,0.2549
"194",2021-05-21,0.2448
"195",2021-05-24,0.2611
"196",2021-05-25,0.239
"197",2021-05-26,0.2223
"198",2021-05-27,0.2187
"199",2021-05-28,0.2317
"200",2021-06-01,0.2208
"201",2021-06-02,0.2153
"202",2021-06-03,0.2344
"203",2021-06-04,0.2453
"204",2021-06-07,0.2406
"205",2021-06-08,0.2744
"206",2021-06-09,0.2528
"207",2021-06-10,0.2738
"208",2021-06-11,0.2726
"209",2021-06-14,0.2691
"210",2021-06-15,0.2412
"211",2021-06-16,0.2331
"212",2021-06-17,0.2073
"213",2021-06-18,0.2022
"214",2021-06-21,0.2018
"215",2021-06-22,0.2149
"216",2021-06-23,0.1734
"217",2021-06-24,0.1634
"218",2021-06-25,0.1258
"219",2021-06-28,0.1285
"220",2021-06-29,0.1253
"221",2021-06-30,0.1023
"222",2021-07-01,0.0845
"223",2021-07-02,0.0859
"224",2021-07-06,0.0655
"225",2021-07-07,0.088
"226",2021-07-08,0.0695
"227",2021-07-09,0.0709
"228",2021-07-12,0.0765
"229",2021-07-13,0.0866
"230",2021-07-14,0.0911000000000001
"231",2021-07-15,0.0959
"232",2021-07-16,0.0952000000000001
"233",2021-07-19,0.1317
"234",2021-07-20,0.1297
"235",2021-07-21,0.1708
"236",2021-07-22,0.1541
"237",2021-07-23,0.1884
"238",2021-07-26,0.2022
"239",2021-07-27,0.2164
"240",2021-07-28,0.2477
"241",2021-07-29,0.2759
"242",2021-07-30,0.2981
"243",2021-08-02,0.3313
"244",2021-08-03,0.338
"245",2021-08-04,0.3675
"246",2021-08-05,0.3702
"247",2021-08-06,0.3914
"248",2021-08-09,0.3984
"249",2021-08-10,0.4138
"250",2021-08-11,0.4356
"251",2021-08-12,0.3848
"252",2021-08-13,0.3046
"253",2021-08-16,0.2814
"254",2021-08-17,0.2279
"255",2021-08-18,0.2507
"256",2021-08-19,0.2532
"257",2021-08-20,0.259
"258",2021-08-23,0.25
"259",2021-08-24,0.262
"260",2021-08-25,0.2224
"261",2021-08-26,0.2068
"262",2021-08-27,0.212
"263",2021-08-30,0.1912
"264",2021-08-31,0.1848
"265",2021-09-01,0.1897
"266",2021-09-02,0.1758
"267",2021-09-03,0.1563
"268",2021-09-07,0.1528
"269",2021-09-08,0.149
"270",2021-09-09,0.1454
"271",2021-09-10,0.1444
"272",2021-09-13,0.1424
"273",2021-09-14,0.1412
"274",2021-09-15,0.1423
"275",2021-09-16,0.1578
"276",2021-09-17,0.1574
"277",2021-09-20,0.1581
"278",2021-09-21,0.1461
"279",2021-09-22,0.1515
"280",2021-09-23,0.1637
"281",2021-09-24,0.1625
"282",2021-09-27,0.1534
"283",2021-09-28,0.1494
"284",2021-09-29,0.1535
"285",2021-09-30,0.184
"286",2021-10-01,0.1417
"287",2021-10-04,0.1275
"288",2021-10-05,0.1211
"289",2021-10-06,0.129
"290",2021-10-07,0.1244
"291",2021-10-08,0.1179
"292",2021-10-11,0.1369
"293",2021-10-12,0.1317
"294",2021-10-13,0.1436
"295",2021-10-14,0.1781
"296",2021-10-15,0.1921
"297",2021-10-18,0.2267
"298",2021-10-19,0.2365
"299",2021-10-20,0.2363
"300",2021-10-21,0.228
"301",2021-10-22,0.2062
"302",2021-10-25,0.1684
"303",2021-10-26,0.139
"304",2021-10-27,0.1378
"305",2021-10-28,0.174
"306",2021-10-29,0.1755
"307",2021-11-01,0.1912
"308",2021-11-02,0.1734
"309",2021-11-03,0.1534
"310",2021-11-04,0.1643
"311",2021-11-05,0.1662
"312",2021-11-08,0.1548
"313",2021-11-09,0.1481
