"","date","EMN"
"180",2021-05-03,0.0658
"181",2021-05-04,0.0712
"182",2021-05-05,0.0733
"183",2021-05-06,0.0801
"184",2021-05-07,0.0653
"185",2021-05-10,0.0695
"186",2021-05-11,0.0911999999999999
"187",2021-05-12,0.105
"188",2021-05-13,0.0927999999999999
"189",2021-05-14,0.0884
"190",2021-05-17,0.1038
"191",2021-05-18,0.1373
"192",2021-05-19,0.1216
"193",2021-05-20,0.1431
"194",2021-05-21,0.0969
"195",2021-05-24,0.0645000000000001
"196",2021-05-25,0.0691
"197",2021-05-26,0.0462
"198",2021-05-27,0.0525
"199",2021-05-28,0.0401
"200",2021-06-01,0.037
"201",2021-06-02,0.0505000000000001
"202",2021-06-03,0.0482
"203",2021-06-04,0.0633
"204",2021-06-07,0.0803999999999999
"205",2021-06-08,0.0814
"206",2021-06-09,0.0825
"207",2021-06-10,0.0821
"208",2021-06-11,0.0958
"209",2021-06-14,0.1208
"210",2021-06-15,0.1384
"211",2021-06-16,0.1349
"212",2021-06-17,0.1467
"213",2021-06-18,0.1615
"214",2021-06-21,0.1764
"215",2021-06-22,0.1886
"216",2021-06-23,0.1878
"217",2021-06-24,0.1732
"218",2021-06-25,0.1817
"219",2021-06-28,0.1968
"220",2021-06-29,0.2047
"221",2021-06-30,0.2241
"222",2021-07-01,0.2332
"223",2021-07-02,0.2311
"224",2021-07-06,0.2585
"225",2021-07-07,0.2667
"226",2021-07-08,0.2589
"227",2021-07-09,0.269
"228",2021-07-12,0.2554
"229",2021-07-13,0.2471
"230",2021-07-14,0.2715
"231",2021-07-15,0.2821
"232",2021-07-16,0.2739
"233",2021-07-19,0.2528
"234",2021-07-20,0.25
"235",2021-07-21,0.2249
"236",2021-07-22,0.2073
"237",2021-07-23,0.1739
"238",2021-07-26,0.1304
"239",2021-07-27,0.0893
"240",2021-07-28,0.0515
"241",2021-07-29,0.0453
"242",2021-07-30,0.1001
"243",2021-08-02,0.1491
"244",2021-08-03,0.176
"245",2021-08-04,0.2187
"246",2021-08-05,0.2988
"247",2021-08-06,0.3372
"248",2021-08-09,0.3679
"249",2021-08-10,0.3806
"250",2021-08-11,0.3751
"251",2021-08-12,0.3435
"252",2021-08-13,0.3033
"253",2021-08-16,0.3134
"254",2021-08-17,0.2186
"255",2021-08-18,0.2109
"256",2021-08-19,0.2184
"257",2021-08-20,0.2252
"258",2021-08-23,0.2318
"259",2021-08-24,0.2469
"260",2021-08-25,0.2456
"261",2021-08-26,0.2604
"262",2021-08-27,0.2668
"263",2021-08-30,0.2672
"264",2021-08-31,0.2638
"265",2021-09-01,0.2762
"266",2021-09-02,0.3164
"267",2021-09-03,0.3139
"268",2021-09-07,0.2992
"269",2021-09-08,0.2264
"270",2021-09-09,0.2095
"271",2021-09-10,0.2178
"272",2021-09-13,0.2192
"273",2021-09-14,0.1932
"274",2021-09-15,0.1542
"275",2021-09-16,0.128
"276",2021-09-17,0.1559
"277",2021-09-20,0.1737
"278",2021-09-21,0.1721
"279",2021-09-22,0.1628
"280",2021-09-23,0.1597
"281",2021-09-24,0.1558
"282",2021-09-27,0.1498
"283",2021-09-28,0.1655
"284",2021-09-29,0.1554
"285",2021-09-30,0.1573
"286",2021-10-01,0.1657
"287",2021-10-04,0.1685
"288",2021-10-05,0.1771
"289",2021-10-06,0.1668
"290",2021-10-07,0.1624
"291",2021-10-08,0.1695
"292",2021-10-11,0.1729
"293",2021-10-12,0.1716
"294",2021-10-13,0.1818
"295",2021-10-14,0.1806
"296",2021-10-15,0.2135
"297",2021-10-18,0.2084
"298",2021-10-19,0.2159
"299",2021-10-20,0.2128
"300",2021-10-21,0.1994
"301",2021-10-22,0.2111
"302",2021-10-25,0.2205
"303",2021-10-26,0.2292
"304",2021-10-27,0.2175
"305",2021-10-28,0.2431
"306",2021-10-29,0.267
"307",2021-11-01,0.247
"308",2021-11-02,0.2184
"309",2021-11-03,0.2064
"310",2021-11-04,0.189
"311",2021-11-05,0.1973
"312",2021-11-08,0.1885
"313",2021-11-09,0.1946
"314",2021-11-10,0.1614
"315",2021-11-11,0.1368
"316",2021-11-12,0.1319
"317",2021-11-15,0.1424
"318",2021-11-16,0.1589
"319",2021-11-17,0.1609
"320",2021-11-18,0.1585
"321",2021-11-19,0.1637
"322",2021-11-22,0.1491
"323",2021-11-23,0.1619
"324",2021-11-24,0.1511
"325",2021-11-26,0.1433
"326",2021-11-29,0.1485
"327",2021-11-30,0.1424
"328",2021-12-01,0.1499
"329",2021-12-02,0.1434
"330",2021-12-03,0.1382
"331",2021-12-06,0.1558
"332",2021-12-07,0.1599
"333",2021-12-08,0.1804
"334",2021-12-09,0.1528
"335",2021-12-10,0.147
"336",2021-12-13,0.1508
"337",2021-12-14,0.1601
"338",2021-12-15,0.1678
"339",2021-12-16,0.1685
"340",2021-12-17,0.1575
"341",2021-12-20,0.1603
"342",2021-12-21,0.166
"343",2021-12-22,0.1776
"344",2021-12-23,0.1623
"345",2021-12-27,0.1609
"346",2021-12-28,0.1555
"347",2021-12-29,0.1554
"348",2021-12-30,0.1613
"349",2021-12-31,0.1573
"350",2022-01-03,0.1716
"351",2022-01-04,0.1772
"352",2022-01-05,0.1801
"353",2022-01-06,0.1832
"354",2022-01-07,0.1835
"355",2022-01-10,0.1735
"356",2022-01-11,0.1844
"357",2022-01-12,0.2055
"358",2022-01-13,0.2016
"359",2022-01-14,0.199
"360",2022-01-18,0.1753
"361",2022-01-19,0.1946
"362",2022-01-20,0.205
"363",2022-01-21,0.2088
"364",2022-01-24,0.203
"365",2022-01-25,0.1868
"366",2022-01-26,0.1824
"367",2022-01-27,0.1751
"368",2022-01-28,0.1764
"369",2022-01-31,0.1845
"370",2022-02-01,0.1848
"371",2022-02-02,0.1897
"372",2022-02-03,0.1991
"373",2022-02-04,0.2172
"374",2022-02-07,0.2144
"375",2022-02-08,0.2054
"376",2022-02-09,0.1949
"377",2022-02-10,0.1916
"378",2022-02-11,0.2031
"379",2022-02-14,0.1926
"380",2022-02-15,0.188
"381",2022-02-16,0.2125
"382",2022-02-17,0.2119
"383",2022-02-18,0.2375
"384",2022-02-22,0.2224
"385",2022-02-23,0.1957
"386",2022-02-24,0.1815
"387",2022-02-25,0.1872
"388",2022-02-28,0.1856
"389",2022-03-01,0.1802
"390",2022-03-02,0.1784
"391",2022-03-03,0.1871
"392",2022-03-04,0.2049
"393",2022-03-07,0.2217
"394",2022-03-08,0.2096
"395",2022-03-09,0.1939
"396",2022-03-10,0.1796
"397",2022-03-11,0.1801
"398",2022-03-14,0.1681
"399",2022-03-15,0.1597
"400",2022-03-16,0.1582
"401",2022-03-17,0.1715
"402",2022-03-18,0.1876
"403",2022-03-21,0.198
"404",2022-03-22,0.1949
"405",2022-03-23,0.1995
"406",2022-03-24,0.2082
"407",2022-03-25,0.2104
"408",2022-03-28,0.207
"409",2022-03-29,0.1925
"410",2022-03-30,0.168
"411",2022-03-31,0.1569
"412",2022-04-01,0.1608
"413",2022-04-04,0.1799
"414",2022-04-05,0.1842
"415",2022-04-06,0.1792
"416",2022-04-07,0.1888
"417",2022-04-08,0.2107
"418",2022-04-11,0.2045
"419",2022-04-12,0.2008
"420",2022-04-13,0.1853
"421",2022-04-14,0.1753
"422",2022-04-18,0.1825
"423",2022-04-19,0.1958
"424",2022-04-20,0.181
"425",2022-04-21,0.1804
"426",2022-04-22,0.1647
"427",2022-04-25,0.1688
"428",2022-04-26,0.1716
"429",2022-04-27,0.1746
"430",2022-04-28,0.1651
"431",2022-04-29,0.1612
"432",2022-05-02,0.148
"433",2022-05-03,0.1591
"434",2022-05-04,0.1611
"435",2022-05-05,0.1556
"436",2022-05-06,0.1512
"437",2022-05-09,0.1625
"438",2022-05-10,0.1795
"439",2022-05-11,0.1749
"440",2022-05-12,0.1861
"441",2022-05-13,0.1954
"442",2022-05-16,0.1832
"443",2022-05-17,0.1789
"444",2022-05-18,0.1698
"445",2022-05-19,0.1602
"446",2022-05-20,0.1588
"447",2022-05-23,0.1792
"448",2022-05-24,0.1933
"449",2022-05-25,0.181
"450",2022-05-26,0.1812
"451",2022-05-27,0.1803
"452",2022-05-31,0.1892
"453",2022-06-01,0.2143
"454",2022-06-02,0.2068
"455",2022-06-03,0.2085
"456",2022-06-06,0.2006
"457",2022-06-07,0.2023
"458",2022-06-08,0.1968
"459",2022-06-09,0.1938
"460",2022-06-10,0.1968
"461",2022-06-13,0.2197
"462",2022-06-14,0.2246
"463",2022-06-15,0.2254
"464",2022-06-16,0.2357
"465",2022-06-17,0.2261
"466",2022-06-21,0.2136
"467",2022-06-22,0.2362
"468",2022-06-23,0.232
"469",2022-06-24,0.2566
"470",2022-06-27,0.273
"471",2022-06-28,0.2819
"472",2022-06-29,0.2893
"473",2022-06-30,0.2957
"474",2022-07-01,0.2935
"475",2022-07-05,0.2682
"476",2022-07-06,0.2575
"477",2022-07-07,0.2559
"478",2022-07-08,0.2519
"479",2022-07-11,0.2613
"480",2022-07-12,0.2734
"481",2022-07-13,0.2801
"482",2022-07-14,0.2875
"483",2022-07-15,0.2989
"484",2022-07-18,0.291
"485",2022-07-19,0.2853
"486",2022-07-20,0.2742
"487",2022-07-21,0.2622
"488",2022-07-22,0.2669
"489",2022-07-25,0.2652
"490",2022-07-26,0.2604
"491",2022-07-27,0.2852
"492",2022-07-28,0.2918
"493",2022-07-29,0.2961
"494",2022-08-01,0.2918
"495",2022-08-02,0.274
"496",2022-08-03,0.2543
"497",2022-08-04,0.2448
"498",2022-08-05,0.2355
"499",2022-08-08,0.2431
"500",2022-08-09,0.2675
"501",2022-08-10,0.2852
"502",2022-08-11,0.2845
"503",2022-08-12,0.2743
"504",2022-08-15,0.2605
"505",2022-08-16,0.2555
"506",2022-08-17,0.2422
"507",2022-08-18,0.2326
"508",2022-08-19,0.2291
"509",2022-08-22,0.2291
"510",2022-08-23,0.2328
"511",2022-08-24,0.226
"512",2022-08-25,0.2383
"513",2022-08-26,0.2583
"514",2022-08-29,0.2501
"515",2022-08-30,0.2492
"516",2022-08-31,0.2479
"517",2022-09-01,0.257
"518",2022-09-02,0.2605
"519",2022-09-06,0.2335
"520",2022-09-07,0.1986
"521",2022-09-08,0.2076
"522",2022-09-09,0.2015
"523",2022-09-12,0.2084
"524",2022-09-13,0.228
"525",2022-09-14,0.234
"526",2022-09-15,0.229
"527",2022-09-16,0.2472
"528",2022-09-19,0.2396
"529",2022-09-20,0.2221
"530",2022-09-21,0.2251
"531",2022-09-22,0.2256
"532",2022-09-23,0.2325
"533",2022-09-26,0.2191
"534",2022-09-27,0.212
"535",2022-09-28,0.2142
"536",2022-09-29,0.211
"537",2022-09-30,0.2076
"538",2022-10-03,0.1861
"539",2022-10-04,0.176
"540",2022-10-05,0.1552
"541",2022-10-06,0.1431
"542",2022-10-07,0.1357
"543",2022-10-10,0.1391
"544",2022-10-11,0.1499
"545",2022-10-12,0.1443
"546",2022-10-13,0.1409
"547",2022-10-14,0.1176
"548",2022-10-17,0.118
"549",2022-10-18,0.1251
"550",2022-10-19,0.1122
"551",2022-10-20,0.133
"552",2022-10-21,0.1323
"553",2022-10-24,0.1226
"554",2022-10-25,0.1302
"555",2022-10-26,0.1143
"556",2022-10-27,0.1048
"557",2022-10-28,0.1252
"558",2022-10-31,0.1309
"559",2022-11-01,0.1272
"560",2022-11-02,0.1427
"561",2022-11-03,0.141
"562",2022-11-04,0.1194
"563",2022-11-07,0.1174
"564",2022-11-08,0.1037
"565",2022-11-09,0.0967
"566",2022-11-10,0.0743
"567",2022-11-11,0.0613
