"","date","WHR"
"1",2022-01-19,0.1836
"2",2022-01-20,0.1687
"3",2022-01-21,0.1687
"4",2022-01-24,0.1506
"5",2022-01-25,0.1472
"6",2022-01-26,0.1334
"7",2022-01-27,0.1431
"8",2022-01-28,0.1362
"9",2022-01-31,0.1372
"10",2022-02-01,0.1464
"11",2022-02-02,0.158
"12",2022-02-03,0.1623
"13",2022-02-04,0.1766
"14",2022-02-07,0.1611
"15",2022-02-08,0.1513
"16",2022-02-09,0.1149
"17",2022-02-10,0.1073
"18",2022-02-11,0.0948
"19",2022-02-14,0.0972000000000001
"20",2022-02-15,0.0956999999999999
"21",2022-02-16,0.1132
"22",2022-02-17,0.114
"23",2022-02-18,0.1113
"24",2022-02-22,0.1148
"25",2022-02-23,0.1267
"26",2022-02-24,0.1133
"27",2022-02-25,0.106
"28",2022-02-28,0.0944999999999999
"29",2022-03-01,0.0865
"30",2022-03-02,0.08
"31",2022-03-03,0.0956
"32",2022-03-04,0.0951000000000001
"33",2022-03-07,0.0942
"34",2022-03-08,0.0794
"35",2022-03-09,0.0927
"36",2022-03-10,0.0874
"37",2022-03-11,0.0883999999999999
"38",2022-03-14,0.0743999999999999
"39",2022-03-15,0.0666
"40",2022-03-16,0.0638000000000001
"41",2022-03-17,0.0709
"42",2022-03-18,0.0861000000000001
"43",2022-03-21,0.1019
"44",2022-03-22,0.1007
"45",2022-03-23,0.1104
"46",2022-03-24,0.0896
"47",2022-03-25,0.0803999999999999
"48",2022-03-28,0.0614
"49",2022-03-29,0.0602
"50",2022-03-30,0.0591
"51",2022-03-31,0.0642
"52",2022-04-01,0.0736
"53",2022-04-04,0.0826
"54",2022-04-05,0.0822000000000001
"55",2022-04-06,0.1015
"56",2022-04-07,0.0901000000000001
"57",2022-04-08,0.0969
"58",2022-04-11,0.0802
"59",2022-04-12,0.0739
"60",2022-04-13,0.0721999999999999
"61",2022-04-14,0.0807
"62",2022-04-18,0.0738
"63",2022-04-19,0.0838
"64",2022-04-20,0.0826
"65",2022-04-21,0.093
"66",2022-04-22,0.1002
"67",2022-04-25,0.1031
"68",2022-04-26,0.1083
"69",2022-04-27,0.1117
"70",2022-04-28,0.1199
"71",2022-04-29,0.1312
"72",2022-05-02,0.135
"73",2022-05-03,0.1532
"74",2022-05-04,0.1444
"75",2022-05-05,0.161
"76",2022-05-06,0.1588
"77",2022-05-09,0.1694
"78",2022-05-10,0.1588
"79",2022-05-11,0.1661
"80",2022-05-12,0.1717
"81",2022-05-13,0.182
"82",2022-05-16,0.1859
"83",2022-05-17,0.1994
"84",2022-05-18,0.2062
"85",2022-05-19,0.2227
"86",2022-05-20,0.2117
"87",2022-05-23,0.21
"88",2022-05-24,0.1943
"89",2022-05-25,0.188
"90",2022-05-26,0.1961
"91",2022-05-27,0.2072
"92",2022-05-31,0.2039
"93",2022-06-01,0.2097
"94",2022-06-02,0.2051
"95",2022-06-03,0.2189
"96",2022-06-06,0.2178
"97",2022-06-07,0.235
"98",2022-06-08,0.2292
"99",2022-06-09,0.2254
"100",2022-06-10,0.2114
"101",2022-06-13,0.218
"102",2022-06-14,0.2188
"103",2022-06-15,0.2177
"104",2022-06-16,0.2111
"105",2022-06-17,0.2212
"106",2022-06-21,0.2193
"107",2022-06-22,0.2283
"108",2022-06-23,0.2361
"109",2022-06-24,0.2433
"110",2022-06-27,0.2352
"111",2022-06-28,0.2333
"112",2022-06-29,0.2358
"113",2022-06-30,0.2383
"114",2022-07-01,0.2243
"115",2022-07-05,0.2331
"116",2022-07-06,0.2156
"117",2022-07-07,0.2186
"118",2022-07-08,0.2138
"119",2022-07-11,0.2228
"120",2022-07-12,0.2381
"121",2022-07-13,0.2549
"122",2022-07-14,0.2599
"123",2022-07-15,0.2668
"124",2022-07-18,0.2606
"125",2022-07-19,0.262
"126",2022-07-20,0.2526
"127",2022-07-21,0.2603
"128",2022-07-22,0.2434
"129",2022-07-25,0.2487
"130",2022-07-26,0.248
"131",2022-07-27,0.2593
"132",2022-07-28,0.26
"133",2022-07-29,0.2692
"134",2022-08-01,0.26
"135",2022-08-02,0.2631
"136",2022-08-03,0.2497
"137",2022-08-04,0.2384
"138",2022-08-05,0.2256
"139",2022-08-08,0.2255
"140",2022-08-09,0.252
"141",2022-08-10,0.2677
"142",2022-08-11,0.2567
"143",2022-08-12,0.2645
"144",2022-08-15,0.2538
"145",2022-08-16,0.2639
"146",2022-08-17,0.2472
"147",2022-08-18,0.2353
"148",2022-08-19,0.2149
"149",2022-08-22,0.195
"150",2022-08-23,0.198
"151",2022-08-24,0.2063
"152",2022-08-25,0.2028
"153",2022-08-26,0.2046
"154",2022-08-29,0.2015
"155",2022-08-30,0.1922
"156",2022-08-31,0.1803
