"","date","FOX"
"1",2022-01-19,0.1486
"2",2022-01-20,0.1565
"3",2022-01-21,0.1617
"4",2022-01-24,0.1565
"5",2022-01-25,0.1515
"6",2022-01-26,0.1537
"7",2022-01-27,0.161
"8",2022-01-28,0.1699
"9",2022-01-31,0.1694
"10",2022-02-01,0.18
"11",2022-02-02,0.1817
"12",2022-02-03,0.1742
"13",2022-02-04,0.1777
"14",2022-02-07,0.1724
"15",2022-02-08,0.1785
"16",2022-02-09,0.1694
"17",2022-02-10,0.1641
"18",2022-02-11,0.1628
"19",2022-02-14,0.1633
"20",2022-02-15,0.1637
"21",2022-02-16,0.1716
"22",2022-02-17,0.1784
"23",2022-02-18,0.1836
"24",2022-02-22,0.1807
"25",2022-02-23,0.1907
"26",2022-02-24,0.1838
"27",2022-02-25,0.1783
"28",2022-02-28,0.1797
"29",2022-03-01,0.1852
"30",2022-03-02,0.1957
"31",2022-03-03,0.1968
"32",2022-03-04,0.2032
"33",2022-03-07,0.2006
"34",2022-03-08,0.1949
"35",2022-03-09,0.186
"36",2022-03-10,0.1814
"37",2022-03-11,0.1907
"38",2022-03-14,0.1986
"39",2022-03-15,0.203
"40",2022-03-16,0.2053
"41",2022-03-17,0.2139
"42",2022-03-18,0.2239
"43",2022-03-21,0.2188
"44",2022-03-22,0.2079
"45",2022-03-23,0.2052
"46",2022-03-24,0.2037
"47",2022-03-25,0.2079
"48",2022-03-28,0.206
"49",2022-03-29,0.2071
"50",2022-03-30,0.2085
"51",2022-03-31,0.2109
"52",2022-04-01,0.219
"53",2022-04-04,0.2317
"54",2022-04-05,0.2373
"55",2022-04-06,0.2517
"56",2022-04-07,0.249
"57",2022-04-08,0.247
"58",2022-04-11,0.2542
"59",2022-04-12,0.2481
"60",2022-04-13,0.2401
"61",2022-04-14,0.241
"62",2022-04-18,0.2438
"63",2022-04-19,0.2561
"64",2022-04-20,0.2563
"65",2022-04-21,0.2661
"66",2022-04-22,0.2706
"67",2022-04-25,0.2777
"68",2022-04-26,0.2833
"69",2022-04-27,0.2823
"70",2022-04-28,0.2879
"71",2022-04-29,0.2832
"72",2022-05-02,0.2846
"73",2022-05-03,0.2902
"74",2022-05-04,0.2864
"75",2022-05-05,0.2948
"76",2022-05-06,0.2873
"77",2022-05-09,0.2891
"78",2022-05-10,0.2892
"79",2022-05-11,0.2841
"80",2022-05-12,0.2856
"81",2022-05-13,0.2957
"82",2022-05-16,0.3024
"83",2022-05-17,0.3104
"84",2022-05-18,0.2982
"85",2022-05-19,0.3042
"86",2022-05-20,0.3026
"87",2022-05-23,0.2937
"88",2022-05-24,0.2944
"89",2022-05-25,0.28
"90",2022-05-26,0.2771
"91",2022-05-27,0.2722
"92",2022-05-31,0.279
"93",2022-06-01,0.2802
"94",2022-06-02,0.2856
"95",2022-06-03,0.2863
"96",2022-06-06,0.2802
"97",2022-06-07,0.286
"98",2022-06-08,0.2827
"99",2022-06-09,0.282
"100",2022-06-10,0.2755
"101",2022-06-13,0.2759
"102",2022-06-14,0.2695
