"","date","FMC"
"188",2021-05-13,0.2996
"189",2021-05-14,0.2892
"190",2021-05-17,0.2877
"191",2021-05-18,0.2992
"192",2021-05-19,0.2899
"193",2021-05-20,0.3024
"194",2021-05-21,0.2348
"195",2021-05-24,0.2417
"196",2021-05-25,0.217
"197",2021-05-26,0.2415
"198",2021-05-27,0.2595
"199",2021-05-28,0.2561
"200",2021-06-01,0.2225
"201",2021-06-02,0.2318
"202",2021-06-03,0.2226
"203",2021-06-04,0.2299
"204",2021-06-07,0.1917
"205",2021-06-08,0.1945
"206",2021-06-09,0.1649
"207",2021-06-10,0.1781
"208",2021-06-11,0.1886
"209",2021-06-14,0.2052
"210",2021-06-15,0.1867
"211",2021-06-16,0.1841
"212",2021-06-17,0.1793
"213",2021-06-18,0.1576
"214",2021-06-21,0.1454
"215",2021-06-22,0.1541
"216",2021-06-23,0.1171
"217",2021-06-24,0.1456
"218",2021-06-25,0.1547
"219",2021-06-28,0.1596
"220",2021-06-29,0.1436
"221",2021-06-30,0.1161
"222",2021-07-01,0.103
"223",2021-07-02,0.1042
"224",2021-07-06,0.0802999999999999
"225",2021-07-07,0.0985
"226",2021-07-08,0.0750999999999999
"227",2021-07-09,0.0899
"228",2021-07-12,0.0732
"229",2021-07-13,0.1053
"230",2021-07-14,0.0771000000000001
"231",2021-07-15,0.0642
"232",2021-07-16,0.0622
"233",2021-07-19,0.077
"234",2021-07-20,0.0969
"235",2021-07-21,0.1204
"236",2021-07-22,0.1285
"237",2021-07-23,0.1278
"238",2021-07-26,0.1704
"239",2021-07-27,0.2137
"240",2021-07-28,0.2502
"241",2021-07-29,0.2543
"242",2021-07-30,0.3054
"243",2021-08-02,0.3166
"244",2021-08-03,0.3443
"245",2021-08-04,0.406
"246",2021-08-05,0.4484
"247",2021-08-06,0.5183
"248",2021-08-09,0.5438
"249",2021-08-10,0.5584
"250",2021-08-11,0.5805
"251",2021-08-12,0.581
"252",2021-08-13,0.5562
"253",2021-08-16,0.5373
"254",2021-08-17,0.3622
"255",2021-08-18,0.3288
"256",2021-08-19,0.3322
"257",2021-08-20,0.3651
"258",2021-08-23,0.3984
"259",2021-08-24,0.4227
"260",2021-08-25,0.4011
"261",2021-08-26,0.3741
"262",2021-08-27,0.3939
"263",2021-08-30,0.3848
"264",2021-08-31,0.4233
"265",2021-09-01,0.3726
"266",2021-09-02,0.3479
"267",2021-09-03,0.3459
"268",2021-09-07,0.3601
"269",2021-09-08,0.298
"270",2021-09-09,0.3052
"271",2021-09-10,0.2946
"272",2021-09-13,0.2999
"273",2021-09-14,0.276
"274",2021-09-15,0.2671
"275",2021-09-16,0.2547
"276",2021-09-17,0.2546
"277",2021-09-20,0.2636
"278",2021-09-21,0.2893
"279",2021-09-22,0.2811
"280",2021-09-23,0.2777
"281",2021-09-24,0.2695
"282",2021-09-27,0.2834
"283",2021-09-28,0.268
"284",2021-09-29,0.2959
"285",2021-09-30,0.2724
"286",2021-10-01,0.2776
"287",2021-10-04,0.261
"288",2021-10-05,0.2508
"289",2021-10-06,0.2564
"290",2021-10-07,0.2716
"291",2021-10-08,0.2746
"292",2021-10-11,0.2742
"293",2021-10-12,0.2549
"294",2021-10-13,0.2855
"295",2021-10-14,0.2992
"296",2021-10-15,0.2779
"297",2021-10-18,0.2715
"298",2021-10-19,0.2719
"299",2021-10-20,0.2847
"300",2021-10-21,0.2728
"301",2021-10-22,0.2529
"302",2021-10-25,0.267
"303",2021-10-26,0.2464
"304",2021-10-27,0.2622
"305",2021-10-28,0.2517
"306",2021-10-29,0.2783
"307",2021-11-01,0.2542
"308",2021-11-02,0.2554
"309",2021-11-03,0.2594
"310",2021-11-04,0.2843
"311",2021-11-05,0.2856
"312",2021-11-08,0.299
"313",2021-11-09,0.2854
"314",2021-11-10,0.2778
"315",2021-11-11,0.2699
"316",2021-11-12,0.2625
"317",2021-11-15,0.2713
"318",2021-11-16,0.2688
"319",2021-11-17,0.2832
"320",2021-11-18,0.2964
"321",2021-11-19,0.2817
"322",2021-11-22,0.2876
"323",2021-11-23,0.2776
"324",2021-11-24,0.287
"325",2021-11-26,0.2708
"326",2021-11-29,0.2759
"327",2021-11-30,0.2552
"328",2021-12-01,0.264
"329",2021-12-02,0.2716
"330",2021-12-03,0.279
"331",2021-12-06,0.2499
"332",2021-12-07,0.2414
"333",2021-12-08,0.2235
"334",2021-12-09,0.2501
"335",2021-12-10,0.2132
"336",2021-12-13,0.1999
"337",2021-12-14,0.1687
"338",2021-12-15,0.1733
"339",2021-12-16,0.1839
"340",2021-12-17,0.1841
"341",2021-12-20,0.197
"342",2021-12-21,0.2133
"343",2021-12-22,0.1981
"344",2021-12-23,0.2135
"345",2021-12-27,0.2188
"346",2021-12-28,0.2356
"347",2021-12-29,0.2315
"348",2021-12-30,0.2338
"349",2021-12-31,0.2383
"350",2022-01-03,0.2719
"351",2022-01-04,0.2472
"352",2022-01-05,0.2596
"353",2022-01-06,0.2501
"354",2022-01-07,0.3007
"355",2022-01-10,0.315
"356",2022-01-11,0.3007
"357",2022-01-12,0.2819
"358",2022-01-13,0.2887
"359",2022-01-14,0.3036
"360",2022-01-18,0.3178
"361",2022-01-19,0.3136
"362",2022-01-20,0.318
"363",2022-01-21,0.2817
"364",2022-01-24,0.305
"365",2022-01-25,0.2931
"366",2022-01-26,0.3003
"367",2022-01-27,0.2723
"368",2022-01-28,0.278
"369",2022-01-31,0.2815
"370",2022-02-01,0.3045
"371",2022-02-02,0.3083
"372",2022-02-03,0.3369
"373",2022-02-04,0.2946
"374",2022-02-07,0.308
"375",2022-02-08,0.2958
"376",2022-02-09,0.3046
"377",2022-02-10,0.3024
"378",2022-02-11,0.3054
"379",2022-02-14,0.2879
"380",2022-02-15,0.2821
"381",2022-02-16,0.2698
"382",2022-02-17,0.2957
"383",2022-02-18,0.297
"384",2022-02-22,0.291
"385",2022-02-23,0.294
"386",2022-02-24,0.3063
"387",2022-02-25,0.2942
"388",2022-02-28,0.288
"389",2022-03-01,0.2952
"390",2022-03-02,0.3289
"391",2022-03-03,0.2979
"392",2022-03-04,0.3056
"393",2022-03-07,0.2664
"394",2022-03-08,0.2983
"395",2022-03-09,0.2701
"396",2022-03-10,0.2779
"397",2022-03-11,0.2787
"398",2022-03-14,0.304
"399",2022-03-15,0.305
"400",2022-03-16,0.3087
"401",2022-03-17,0.3002
"402",2022-03-18,0.2875
"403",2022-03-21,0.2655
"404",2022-03-22,0.2697
"405",2022-03-23,0.2442
"406",2022-03-24,0.2358
"407",2022-03-25,0.2312
"408",2022-03-28,0.24
"409",2022-03-29,0.2428
"410",2022-03-30,0.2545
"411",2022-03-31,0.2403
"412",2022-04-01,0.2347
"413",2022-04-04,0.2161
"414",2022-04-05,0.2503
"415",2022-04-06,0.2293
"416",2022-04-07,0.2458
"417",2022-04-08,0.2251
"418",2022-04-11,0.2427
"419",2022-04-12,0.238
"420",2022-04-13,0.2481
"421",2022-04-14,0.2157
"422",2022-04-18,0.2376
"423",2022-04-19,0.2315
"424",2022-04-20,0.2577
"425",2022-04-21,0.2727
"426",2022-04-22,0.2661
"427",2022-04-25,0.252
"428",2022-04-26,0.2316
"429",2022-04-27,0.2296
"430",2022-04-28,0.2667
"431",2022-04-29,0.2611
"432",2022-05-02,0.2767
"433",2022-05-03,0.2465
"434",2022-05-04,0.2669
"435",2022-05-05,0.2408
"436",2022-05-06,0.2431
"437",2022-05-09,0.2501
"438",2022-05-10,0.2762
"439",2022-05-11,0.2703
"440",2022-05-12,0.2671
"441",2022-05-13,0.2502
"442",2022-05-16,0.2717
"443",2022-05-17,0.2519
"444",2022-05-18,0.2675
"445",2022-05-19,0.2645
"446",2022-05-20,0.2794
"447",2022-05-23,0.2555
"448",2022-05-24,0.2645
"449",2022-05-25,0.2849
"450",2022-05-26,0.2879
"451",2022-05-27,0.2697
"452",2022-05-31,0.2769
"453",2022-06-01,0.2589
"454",2022-06-02,0.2688
"455",2022-06-03,0.2755
"456",2022-06-06,0.273
"457",2022-06-07,0.2381
"458",2022-06-08,0.2283
"459",2022-06-09,0.2191
"460",2022-06-10,0.2542
"461",2022-06-13,0.2515
"462",2022-06-14,0.2865
"463",2022-06-15,0.2605
"464",2022-06-16,0.2834
"465",2022-06-17,0.2663
"466",2022-06-21,0.2742
"467",2022-06-22,0.2659
"468",2022-06-23,0.2509
"469",2022-06-24,0.2483
"470",2022-06-27,0.2564
"471",2022-06-28,0.255
"472",2022-06-29,0.2537
"473",2022-06-30,0.2468
"474",2022-07-01,0.2851
"475",2022-07-05,0.2788
"476",2022-07-06,0.2758
"477",2022-07-07,0.2506
"478",2022-07-08,0.2596
"479",2022-07-11,0.2487
"480",2022-07-12,0.2585
"481",2022-07-13,0.2354
"482",2022-07-14,0.2321
"483",2022-07-15,0.1567
"484",2022-07-18,0.1713
"485",2022-07-19,0.1578
"486",2022-07-20,0.1496
"487",2022-07-21,0.1339
"488",2022-07-22,0.1524
"489",2022-07-25,0.1601
"490",2022-07-26,0.1899
"491",2022-07-27,0.1816
"492",2022-07-28,0.1797
"493",2022-07-29,0.1705
"494",2022-08-01,0.1899
"495",2022-08-02,0.1688
"496",2022-08-03,0.1712
"497",2022-08-04,0.1765
"498",2022-08-05,0.1775
"499",2022-08-08,0.1755
"500",2022-08-09,0.1755
"501",2022-08-10,0.1603
"502",2022-08-11,0.1926
"503",2022-08-12,0.1849
"504",2022-08-15,0.2098
"505",2022-08-16,0.1731
"506",2022-08-17,0.184
"507",2022-08-18,0.1753
"508",2022-08-19,0.1845
"509",2022-08-22,0.1943
"510",2022-08-23,0.2146
"511",2022-08-24,0.1988
"512",2022-08-25,0.1993
"513",2022-08-26,0.1854
"514",2022-08-29,0.2017
"515",2022-08-30,0.2247
"516",2022-08-31,0.2325
"517",2022-09-01,0.2156
"518",2022-09-02,0.23
"519",2022-09-06,0.216
"520",2022-09-07,0.2279
"521",2022-09-08,0.2324
"522",2022-09-09,0.2389
"523",2022-09-12,0.2148
"524",2022-09-13,0.228
"525",2022-09-14,0.2209
"526",2022-09-15,0.2448
"527",2022-09-16,0.2271
"528",2022-09-19,0.241
"529",2022-09-20,0.2371
"530",2022-09-21,0.2476
"531",2022-09-22,0.2181
"532",2022-09-23,0.2349
"533",2022-09-26,0.2379
"534",2022-09-27,0.2611
"535",2022-09-28,0.2543
"536",2022-09-29,0.2513
"537",2022-09-30,0.2464
"538",2022-10-03,0.2408
"539",2022-10-04,0.2245
"540",2022-10-05,0.2342
"541",2022-10-06,0.2226
"542",2022-10-07,0.2587
"543",2022-10-10,0.2319
"544",2022-10-11,0.2789
"545",2022-10-12,0.2589
"546",2022-10-13,0.2691
"547",2022-10-14,0.242
"548",2022-10-17,0.2368
"549",2022-10-18,0.2291
"550",2022-10-19,0.2619
"551",2022-10-20,0.2679
"552",2022-10-21,0.2621
"553",2022-10-24,0.234
"554",2022-10-25,0.2368
"555",2022-10-26,0.2157
"556",2022-10-27,0.1956
"557",2022-10-28,0.1969
"558",2022-10-31,0.2155
"559",2022-11-01,0.2261
"560",2022-11-02,0.2208
"561",2022-11-03,0.1815
"562",2022-11-04,0.1966
"563",2022-11-07,0.1928
"564",2022-11-08,0.2095
"565",2022-11-09,0.1884
