"","date","RHI"
"1",2020-08-14,0.3042
"2",2020-08-17,0.3065
"3",2020-08-18,0.3278
"4",2020-08-19,0.3263
"5",2020-08-20,0.3072
"6",2020-08-21,0.304
"7",2020-08-24,0.2996
"8",2020-08-25,0.3143
"9",2020-08-26,0.3097
"10",2020-08-27,0.341
"11",2020-08-28,0.3722
"12",2020-08-31,0.3764
"13",2020-09-01,0.3737
"14",2020-09-02,0.3453
"15",2020-09-03,0.3256
"16",2020-09-04,0.3236
"17",2020-09-08,0.2848
"18",2020-09-09,0.2645
"19",2020-09-10,0.2917
"20",2020-09-11,0.2629
"21",2020-09-14,0.2801
"22",2020-09-15,0.3159
"23",2020-09-16,0.3281
"24",2020-09-17,0.3179
"25",2020-09-18,0.3019
"26",2020-09-21,0.2973
"27",2020-09-22,0.2737
"28",2020-09-23,0.2594
"29",2020-09-24,0.2439
"30",2020-09-25,0.2461
"31",2020-09-28,0.2548
"32",2020-09-29,0.2538
"33",2020-09-30,0.2506
"34",2020-10-01,0.2401
"35",2020-10-02,0.2304
"36",2020-10-05,0.226
"37",2020-10-06,0.2238
"38",2020-10-07,0.2142
"39",2020-10-08,0.1895
"40",2020-10-09,0.1785
"41",2020-10-12,0.1903
"42",2020-10-13,0.2127
"43",2020-10-14,0.2272
"44",2020-10-15,0.1829
"45",2020-10-16,0.1459
"46",2020-10-19,0.155
"47",2020-10-20,0.1693
"48",2020-10-21,0.1813
"49",2020-10-22,0.169
"50",2020-10-23,0.1495
"51",2020-10-26,0.1399
"52",2020-10-27,0.1767
"53",2020-10-28,0.1958
"54",2020-10-29,0.1936
"55",2020-10-30,0.1949
"56",2020-11-02,0.1711
"57",2020-11-03,0.1576
"58",2020-11-04,0.1611
"59",2020-11-05,0.1684
"60",2020-11-06,0.1664
"61",2020-11-09,0.1975
"62",2020-11-10,0.2088
"63",2020-11-11,0.2349
"64",2020-11-12,0.2321
"65",2020-11-13,0.2197
"66",2020-11-16,0.2219
"67",2020-11-17,0.2083
"68",2020-11-18,0.1937
"69",2020-11-19,0.2076
"70",2020-11-20,0.2637
"71",2020-11-23,0.3007
"72",2020-11-24,0.3027
"73",2020-11-25,0.3023
"74",2020-11-27,0.3
"75",2020-11-30,0.2838
"76",2020-12-01,0.302
"77",2020-12-02,0.2877
"78",2020-12-03,0.2891
"79",2020-12-04,0.2918
"80",2020-12-07,0.2928
"81",2020-12-08,0.3393
"82",2020-12-09,0.3915
"83",2020-12-10,0.4178
"84",2020-12-11,0.3951
"85",2020-12-14,0.4035
"86",2020-12-15,0.394
"87",2020-12-16,0.3782
"88",2020-12-17,0.3805
"89",2020-12-18,0.3659
"90",2020-12-21,0.3547
"91",2020-12-22,0.4032
"92",2020-12-23,0.4387
"93",2020-12-24,0.4422
"94",2020-12-28,0.446
"95",2020-12-29,0.4251
"96",2020-12-30,0.4277
"97",2020-12-31,0.3979
"98",2021-01-04,0.3766
"99",2021-01-05,0.3662
"100",2021-01-06,0.3358
"101",2021-01-07,0.3382
"102",2021-01-08,0.3668
"103",2021-01-11,0.3954
"104",2021-01-12,0.3486
"105",2021-01-13,0.3206
"106",2021-01-14,0.3393
"107",2021-01-15,0.3486
"108",2021-01-19,0.3506
"109",2021-01-20,0.3463
"110",2021-01-21,0.327
"111",2021-01-22,0.3291
"112",2021-01-25,0.3365
"113",2021-01-26,0.3458
"114",2021-01-27,0.3409
"115",2021-01-28,0.3505
"116",2021-01-29,0.3333
"117",2021-02-01,0.3168
"118",2021-02-02,0.351
"119",2021-02-03,0.359
"120",2021-02-04,0.3462
"121",2021-02-05,0.3496
"122",2021-02-08,0.3666
"123",2021-02-09,0.3705
"124",2021-02-10,0.3571
"125",2021-02-11,0.3491
"126",2021-02-12,0.3415
"127",2021-02-16,0.3115
"128",2021-02-17,0.2765
"129",2021-02-18,0.2489
"130",2021-02-19,0.2144
"131",2021-02-22,0.2225
"132",2021-02-23,0.2051
"133",2021-02-24,0.2126
"134",2021-02-25,0.1846
"135",2021-02-26,0.171
"136",2021-03-01,0.198
"137",2021-03-02,0.1726
"138",2021-03-03,0.1686
"139",2021-03-04,0.1594
"140",2021-03-05,0.1324
"141",2021-03-08,0.1521
"142",2021-03-09,0.1907
"143",2021-03-10,0.2018
"144",2021-03-11,0.1998
"145",2021-03-12,0.1899
"146",2021-03-15,0.1871
"147",2021-03-16,0.1747
"148",2021-03-17,0.1624
"149",2021-03-18,0.1512
"150",2021-03-19,0.1491
"151",2021-03-22,0.2159
"152",2021-03-23,0.2315
"153",2021-03-24,0.2503
"154",2021-03-25,0.2611
"155",2021-03-26,0.2631
"156",2021-03-29,0.2784
"157",2021-03-30,0.3274
"158",2021-03-31,0.3638
"159",2021-04-01,0.372
"160",2021-04-05,0.374
"161",2021-04-06,0.3959
"162",2021-04-07,0.4433
"163",2021-04-08,0.4779
"164",2021-04-09,0.4866
"165",2021-04-12,0.4887
"166",2021-04-13,0.5045
"167",2021-04-14,0.5127
"168",2021-04-15,0.5142
"169",2021-04-16,0.5331
"170",2021-04-19,0.5237
"171",2021-04-20,0.5226
"172",2021-04-21,0.5244
"173",2021-04-22,0.5439
"174",2021-04-23,0.5373
"175",2021-04-26,0.5333
"176",2021-04-27,0.5231
"177",2021-04-28,0.5169
"178",2021-04-29,0.5157
"179",2021-04-30,0.515
"180",2021-05-03,0.4993
"181",2021-05-04,0.5127
"182",2021-05-05,0.5213
"183",2021-05-06,0.5165
"184",2021-05-07,0.5131
"185",2021-05-10,0.4932
"186",2021-05-11,0.5153
"187",2021-05-12,0.5511
"188",2021-05-13,0.5549
"189",2021-05-14,0.5554
"190",2021-05-17,0.6328
"191",2021-05-18,0.689
"192",2021-05-19,0.6955
"193",2021-05-20,0.6747
"194",2021-05-21,0.6182
"195",2021-05-24,0.591
"196",2021-05-25,0.5886
"197",2021-05-26,0.5887
"198",2021-05-27,0.5717
"199",2021-05-28,0.546
"200",2021-06-01,0.4934
"201",2021-06-02,0.501
"202",2021-06-03,0.5324
"203",2021-06-04,0.5417
"204",2021-06-07,0.5176
"205",2021-06-08,0.4917
"206",2021-06-09,0.4839
"207",2021-06-10,0.4807
"208",2021-06-11,0.4405
"209",2021-06-14,0.431
"210",2021-06-15,0.3967
"211",2021-06-16,0.3925
"212",2021-06-17,0.3566
"213",2021-06-18,0.38
"214",2021-06-21,0.392
"215",2021-06-22,0.3636
"216",2021-06-23,0.3291
"217",2021-06-24,0.32
"218",2021-06-25,0.292
"219",2021-06-28,0.2961
"220",2021-06-29,0.241
"221",2021-06-30,0.2442
"222",2021-07-01,0.2137
"223",2021-07-02,0.2287
"224",2021-07-06,0.1856
"225",2021-07-07,0.1935
"226",2021-07-08,0.1963
"227",2021-07-09,0.1999
"228",2021-07-12,0.1758
"229",2021-07-13,0.1761
"230",2021-07-14,0.1344
"231",2021-07-15,0.1253
"232",2021-07-16,0.1103
"233",2021-07-19,0.1327
"234",2021-07-20,0.1364
"235",2021-07-21,0.1716
"236",2021-07-22,0.1407
"237",2021-07-23,0.1597
"238",2021-07-26,0.1703
"239",2021-07-27,0.204
"240",2021-07-28,0.2148
"241",2021-07-29,0.2717
"242",2021-07-30,0.2723
"243",2021-08-02,0.3027
"244",2021-08-03,0.3016
"245",2021-08-04,0.333
"246",2021-08-05,0.386
"247",2021-08-06,0.4285
"248",2021-08-09,0.4315
"249",2021-08-10,0.4609
"250",2021-08-11,0.4575
"251",2021-08-12,0.5142
"252",2021-08-13,0.5222
"253",2021-08-16,0.5301
"254",2021-08-17,0.5084
"255",2021-08-18,0.4861
"256",2021-08-19,0.487
"257",2021-08-20,0.4818
"258",2021-08-23,0.4673
"259",2021-08-24,0.4732
"260",2021-08-25,0.4216
"261",2021-08-26,0.4534
"262",2021-08-27,0.4912
"263",2021-08-30,0.4803
"264",2021-08-31,0.4401
"265",2021-09-01,0.4216
"266",2021-09-02,0.4105
"267",2021-09-03,0.4194
