"","date","FRT"
"1",2022-01-19,0.1341
"2",2022-01-20,0.1349
"3",2022-01-21,0.1355
"4",2022-01-24,0.1286
"5",2022-01-25,0.1338
"6",2022-01-26,0.133
"7",2022-01-27,0.1391
"8",2022-01-28,0.1445
"9",2022-01-31,0.1419
"10",2022-02-01,0.1365
"11",2022-02-02,0.1417
"12",2022-02-03,0.1338
"13",2022-02-04,0.1287
"14",2022-02-07,0.1182
"15",2022-02-08,0.1194
"16",2022-02-09,0.1135
"17",2022-02-10,0.1212
"18",2022-02-11,0.115
"19",2022-02-14,0.115
"20",2022-02-15,0.1106
"21",2022-02-16,0.1154
"22",2022-02-17,0.1136
"23",2022-02-18,0.1134
"24",2022-02-22,0.1132
"25",2022-02-23,0.1135
"26",2022-02-24,0.1127
"27",2022-02-25,0.111
"28",2022-02-28,0.1082
"29",2022-03-01,0.1034
"30",2022-03-02,0.0986
"31",2022-03-03,0.1029
"32",2022-03-04,0.1089
"33",2022-03-07,0.1149
"34",2022-03-08,0.1081
"35",2022-03-09,0.1045
"36",2022-03-10,0.1005
"37",2022-03-11,0.1022
"38",2022-03-14,0.0996
"39",2022-03-15,0.0998
"40",2022-03-16,0.0986
"41",2022-03-17,0.1096
"42",2022-03-18,0.1187
"43",2022-03-21,0.1193
"44",2022-03-22,0.1103
"45",2022-03-23,0.1039
"46",2022-03-24,0.0972999999999999
"47",2022-03-25,0.108
"48",2022-03-28,0.1014
"49",2022-03-29,0.1017
"50",2022-03-30,0.095
"51",2022-03-31,0.0989
"52",2022-04-01,0.1034
"53",2022-04-04,0.1151
"54",2022-04-05,0.1126
"55",2022-04-06,0.117
"56",2022-04-07,0.1053
"57",2022-04-08,0.1255
"58",2022-04-11,0.129
"59",2022-04-12,0.1315
"60",2022-04-13,0.12
"61",2022-04-14,0.1237
"62",2022-04-18,0.1287
"63",2022-04-19,0.1396
"64",2022-04-20,0.1397
"65",2022-04-21,0.1515
"66",2022-04-22,0.152
"67",2022-04-25,0.159
"68",2022-04-26,0.1564
"69",2022-04-27,0.1578
"70",2022-04-28,0.1638
"71",2022-04-29,0.1875
"72",2022-05-02,0.1833
"73",2022-05-03,0.1874
"74",2022-05-04,0.181
"75",2022-05-05,0.2018
"76",2022-05-06,0.2109
"77",2022-05-09,0.2344
"78",2022-05-10,0.2285
"79",2022-05-11,0.2268
"80",2022-05-12,0.224
"81",2022-05-13,0.2504
"82",2022-05-16,0.2619
"83",2022-05-17,0.2648
"84",2022-05-18,0.2604
"85",2022-05-19,0.2735
"86",2022-05-20,0.276
"87",2022-05-23,0.287
"88",2022-05-24,0.2823
"89",2022-05-25,0.2816
"90",2022-05-26,0.27
"91",2022-05-27,0.2823
"92",2022-05-31,0.2907
"93",2022-06-01,0.2971
"94",2022-06-02,0.2873
"95",2022-06-03,0.2985
"96",2022-06-06,0.3008
"97",2022-06-07,0.3197
"98",2022-06-08,0.3183
"99",2022-06-09,0.3129
"100",2022-06-10,0.2912
"101",2022-06-13,0.3005
"102",2022-06-14,0.2966
"103",2022-06-15,0.2987
"104",2022-06-16,0.2933
"105",2022-06-17,0.2945
"106",2022-06-21,0.2992
"107",2022-06-22,0.3177
"108",2022-06-23,0.3073
"109",2022-06-24,0.2976
"110",2022-06-27,0.2849
"111",2022-06-28,0.291
"112",2022-06-29,0.2812
"113",2022-06-30,0.284
"114",2022-07-01,0.2729
"115",2022-07-05,0.2748
"116",2022-07-06,0.2593
"117",2022-07-07,0.2724
"118",2022-07-08,0.2733
"119",2022-07-11,0.2786
"120",2022-07-12,0.2951
"121",2022-07-13,0.3216
"122",2022-07-14,0.3263
"123",2022-07-15,0.3365
"124",2022-07-18,0.3259
"125",2022-07-19,0.3209
"126",2022-07-20,0.3105
"127",2022-07-21,0.3147
"128",2022-07-22,0.3057
"129",2022-07-25,0.2961
"130",2022-07-26,0.2828
"131",2022-07-27,0.2874
