"","date","PARA"
"185",2021-05-10,0.2755
"186",2021-05-11,0.2859
"187",2021-05-12,0.2701
"188",2021-05-13,0.2203
"189",2021-05-14,0.2053
"190",2021-05-17,0.2177
"191",2021-05-18,0.2446
"192",2021-05-19,0.2416
"193",2021-05-20,0.2594
"194",2021-05-21,0.2579
"195",2021-05-24,0.3145
"196",2021-05-25,0.3458
"197",2021-05-26,0.335
"198",2021-05-27,0.31
"199",2021-05-28,0.27
"200",2021-06-01,0.2481
"201",2021-06-02,0.2693
"202",2021-06-03,0.2702
"203",2021-06-04,0.2677
"204",2021-06-07,0.2497
"205",2021-06-08,0.239
"206",2021-06-09,0.2198
"207",2021-06-10,0.2283
"208",2021-06-11,0.2228
"209",2021-06-14,0.2426
"210",2021-06-15,0.2524
"211",2021-06-16,0.2519
"212",2021-06-17,0.2038
"213",2021-06-18,0.1805
"214",2021-06-21,0.1777
"215",2021-06-22,0.203
"216",2021-06-23,0.2156
"217",2021-06-24,0.2074
"218",2021-06-25,0.1793
"219",2021-06-28,0.1756
"220",2021-06-29,0.1803
"221",2021-06-30,0.1885
"222",2021-07-01,0.1809
"223",2021-07-02,0.1636
"224",2021-07-06,0.1413
"225",2021-07-07,0.1495
"226",2021-07-08,0.1458
"227",2021-07-09,0.1575
"228",2021-07-12,0.1698
"229",2021-07-13,0.1932
"230",2021-07-14,0.2077
"231",2021-07-15,0.2003
"232",2021-07-16,0.1806
"233",2021-07-19,0.1793
"234",2021-07-20,0.183
"235",2021-07-21,0.1871
"236",2021-07-22,0.1856
"237",2021-07-23,0.1873
"238",2021-07-26,0.1814
"239",2021-07-27,0.1811
"240",2021-07-28,0.1818
"241",2021-07-29,0.1857
"242",2021-07-30,0.1814
"243",2021-08-02,0.198
"244",2021-08-03,0.2065
"245",2021-08-04,0.2396
"246",2021-08-05,0.2445
"247",2021-08-06,0.225
"248",2021-08-09,0.194
"249",2021-08-10,0.2038
"250",2021-08-11,0.2242
"251",2021-08-12,0.2176
"252",2021-08-13,0.174
"253",2021-08-16,0.1564
"254",2021-08-17,0.139
"255",2021-08-18,0.1593
"256",2021-08-19,0.1535
"257",2021-08-20,0.1585
"258",2021-08-23,0.1575
"259",2021-08-24,0.1471
"260",2021-08-25,0.1215
"261",2021-08-26,0.1341
"262",2021-08-27,0.1524
"263",2021-08-30,0.1816
"264",2021-08-31,0.1762
"265",2021-09-01,0.1665
"266",2021-09-02,0.1564
"267",2021-09-03,0.1638
"268",2021-09-07,0.1717
"269",2021-09-08,0.1835
"270",2021-09-09,0.1734
"271",2021-09-10,0.1597
"272",2021-09-13,0.1195
"273",2021-09-14,0.1203
"274",2021-09-15,0.1323
"275",2021-09-16,0.1954
"276",2021-09-17,0.2198
"277",2021-09-20,0.2196
"278",2021-09-21,0.1868
"279",2021-09-22,0.1782
"280",2021-09-23,0.1741
"281",2021-09-24,0.1733
"282",2021-09-27,0.1641
"283",2021-09-28,0.1607
"284",2021-09-29,0.167
"285",2021-09-30,0.1906
"286",2021-10-01,0.2032
"287",2021-10-04,0.1965
"288",2021-10-05,0.172
"289",2021-10-06,0.1837
"290",2021-10-07,0.2052
"291",2021-10-08,0.2026
"292",2021-10-11,0.1689
"293",2021-10-12,0.1801
"294",2021-10-13,0.1999
"295",2021-10-14,0.218
"296",2021-10-15,0.1771
"297",2021-10-18,0.1625
"298",2021-10-19,0.1649
"299",2021-10-20,0.1903
"300",2021-10-21,0.2022
"301",2021-10-22,0.1948
"302",2021-10-25,0.1415
"303",2021-10-26,0.1132
"304",2021-10-27,0.1355
"305",2021-10-28,0.1505
"306",2021-10-29,0.1938
"307",2021-11-01,0.2102
"308",2021-11-02,0.1845
"309",2021-11-03,0.176
"310",2021-11-04,0.1834
"311",2021-11-05,0.1979
"312",2021-11-08,0.1779
"313",2021-11-09,0.1792
"314",2021-11-10,0.2053
"315",2021-11-11,0.1956
"316",2021-11-12,0.1935
"317",2021-11-15,0.1819
"318",2021-11-16,0.1823
"319",2021-11-17,0.1899
"320",2021-11-18,0.1843
"321",2021-11-19,0.1935
"322",2021-11-22,0.2127
"323",2021-11-23,0.2031
"324",2021-11-24,0.2145
"325",2021-11-26,0.208
"326",2021-11-29,0.1918
"327",2021-11-30,0.1941
"328",2021-12-01,0.2027
"329",2021-12-02,0.2142
"330",2021-12-03,0.2012
"331",2021-12-06,0.1928
"332",2021-12-07,0.1695
"333",2021-12-08,0.1777
"334",2021-12-09,0.2158
"335",2021-12-10,0.2647
"336",2021-12-13,0.2441
"337",2021-12-14,0.226
"338",2021-12-15,0.213
"339",2021-12-16,0.2393
"340",2021-12-17,0.2527
"341",2021-12-20,0.2506
"342",2021-12-21,0.2225
"343",2021-12-22,0.1915
"344",2021-12-23,0.17
"345",2021-12-27,0.2034
"346",2021-12-28,0.2349
"347",2021-12-29,0.2442
"348",2021-12-30,0.2397
"349",2021-12-31,0.2416
"350",2022-01-03,0.2331
"351",2022-01-04,0.2136
"352",2022-01-05,0.1738
"353",2022-01-06,0.1871
"354",2022-01-07,0.2095
"355",2022-01-10,0.2432
"356",2022-01-11,0.2238
"357",2022-01-12,0.2066
"358",2022-01-13,0.1733
"359",2022-01-14,0.1901
"360",2022-01-18,0.201
"361",2022-01-19,0.2227
"362",2022-01-20,0.2038
"363",2022-01-21,0.1938
"364",2022-01-24,0.1871
"365",2022-01-25,0.21
"366",2022-01-26,0.2206
"367",2022-01-27,0.2091
"368",2022-01-28,0.1616
"369",2022-01-31,0.151
"370",2022-02-01,0.163
"371",2022-02-02,0.1996
"372",2022-02-03,0.1943
"373",2022-02-04,0.1921
"374",2022-02-07,0.1866
"375",2022-02-08,0.2
"376",2022-02-09,0.1915
"377",2022-02-10,0.1975
"378",2022-02-11,0.1912
"379",2022-02-14,0.1841
"380",2022-02-15,0.1854
"381",2022-02-16,0.1827
"382",2022-02-17,0.1924
"383",2022-02-18,0.1758
"384",2022-02-22,0.1788
"385",2022-02-23,0.1756
"386",2022-02-24,0.1644
"387",2022-02-25,0.1601
"388",2022-02-28,0.1665
"389",2022-03-01,0.1694
"390",2022-03-02,0.1783
"391",2022-03-03,0.1503
"392",2022-03-04,0.165
"393",2022-03-07,0.1585
"394",2022-03-08,0.1617
"395",2022-03-09,0.1563
"396",2022-03-10,0.1662
