"","date","FFIV"
"1",2020-08-14,0.2761
"2",2020-08-17,0.2775
"3",2020-08-18,0.3127
"4",2020-08-19,0.3049
"5",2020-08-20,0.2897
"6",2020-08-21,0.2871
"7",2020-08-24,0.2926
"8",2020-08-25,0.3179
"9",2020-08-26,0.3425
"10",2020-08-27,0.3518
"11",2020-08-28,0.3062
"12",2020-08-31,0.2719
"13",2020-09-01,0.3016
"14",2020-09-02,0.3171
"15",2020-09-03,0.3133
"16",2020-09-04,0.3129
"17",2020-09-08,0.2869
"18",2020-09-09,0.2718
"19",2020-09-10,0.2759
"20",2020-09-11,0.2807
"21",2020-09-14,0.2718
"22",2020-09-15,0.2857
"23",2020-09-16,0.3156
"24",2020-09-17,0.2873
"25",2020-09-18,0.2951
"26",2020-09-21,0.2882
"27",2020-09-22,0.2682
"28",2020-09-23,0.2657
"29",2020-09-24,0.2825
"30",2020-09-25,0.2341
"31",2020-09-28,0.2029
"32",2020-09-29,0.2106
"33",2020-09-30,0.211
"34",2020-10-01,0.206
"35",2020-10-02,0.201
"36",2020-10-05,0.1955
"37",2020-10-06,0.1934
"38",2020-10-07,0.2085
"39",2020-10-08,0.2162
"40",2020-10-09,0.2129
"41",2020-10-12,0.1783
"42",2020-10-13,0.1683
"43",2020-10-14,0.1749
"44",2020-10-15,0.1723
"45",2020-10-16,0.1897
"46",2020-10-19,0.2008
"47",2020-10-20,0.1875
"48",2020-10-21,0.1837
"49",2020-10-22,0.2164
"50",2020-10-23,0.1952
"51",2020-10-26,0.1778
"52",2020-10-27,0.2049
"53",2020-10-28,0.2424
"54",2020-10-29,0.2239
"55",2020-10-30,0.2298
"56",2020-11-02,0.2252
"57",2020-11-03,0.2333
"58",2020-11-04,0.2523
"59",2020-11-05,0.2402
"60",2020-11-06,0.2098
"61",2020-11-09,0.1958
"62",2020-11-10,0.2016
"63",2020-11-11,0.2167
"64",2020-11-12,0.2216
"65",2020-11-13,0.2381
"66",2020-11-16,0.2585
"67",2020-11-17,0.2559
"68",2020-11-18,0.259
"69",2020-11-19,0.2459
"70",2020-11-20,0.2314
"71",2020-11-23,0.1946
"72",2020-11-24,0.1593
"73",2020-11-25,0.1863
"74",2020-11-27,0.1944
"75",2020-11-30,0.1741
"76",2020-12-01,0.172
"77",2020-12-02,0.1917
"78",2020-12-03,0.201
"79",2020-12-04,0.2498
"80",2020-12-07,0.2626
"81",2020-12-08,0.2637
"82",2020-12-09,0.2479
"83",2020-12-10,0.2423
"84",2020-12-11,0.2139
"85",2020-12-14,0.2324
"86",2020-12-15,0.2416
"87",2020-12-16,0.2418
"88",2020-12-17,0.287
"89",2020-12-18,0.2764
"90",2020-12-21,0.2607
"91",2020-12-22,0.2608
"92",2020-12-23,0.2851
"93",2020-12-24,0.3207
"94",2020-12-28,0.3271
"95",2020-12-29,0.3209
"96",2020-12-30,0.3061
"97",2020-12-31,0.322
"98",2021-01-04,0.3202
"99",2021-01-05,0.3365
"100",2021-01-06,0.324
"101",2021-01-07,0.3104
"102",2021-01-08,0.2749
"103",2021-01-11,0.3171
"104",2021-01-12,0.3117
"105",2021-01-13,0.2979
"106",2021-01-14,0.3165
"107",2021-01-15,0.3197
"108",2021-01-19,0.317
"109",2021-01-20,0.3758
"110",2021-01-21,0.3355
"111",2021-01-22,0.3109
"112",2021-01-25,0.3077
"113",2021-01-26,0.3248
"114",2021-01-27,0.3107
"115",2021-01-28,0.3323
"116",2021-01-29,0.3475
"117",2021-02-01,0.3458
"118",2021-02-02,0.3686
"119",2021-02-03,0.355
"120",2021-02-04,0.327
"121",2021-02-05,0.3162
"122",2021-02-08,0.272
"123",2021-02-09,0.3047
"124",2021-02-10,0.2813
"125",2021-02-11,0.2658
"126",2021-02-12,0.2329
"127",2021-02-16,0.2674
"128",2021-02-17,0.3005
"129",2021-02-18,0.3119
"130",2021-02-19,0.3027
"131",2021-02-22,0.2861
"132",2021-02-23,0.2587
"133",2021-02-24,0.3164
"134",2021-02-25,0.3174
"135",2021-02-26,0.3275
"136",2021-03-01,0.3209
"137",2021-03-02,0.3318
"138",2021-03-03,0.3242
"139",2021-03-04,0.337
"140",2021-03-05,0.3444
"141",2021-03-08,0.339
"142",2021-03-09,0.3228
"143",2021-03-10,0.3333
"144",2021-03-11,0.3301
"145",2021-03-12,0.3619
"146",2021-03-15,0.3459
"147",2021-03-16,0.2963
"148",2021-03-17,0.2835
"149",2021-03-18,0.267
"150",2021-03-19,0.242
"151",2021-03-22,0.2539
"152",2021-03-23,0.2376
"153",2021-03-24,0.2529
"154",2021-03-25,0.2259
"155",2021-03-26,0.1908
"156",2021-03-29,0.1337
"157",2021-03-30,0.1488
"158",2021-03-31,0.1512
"159",2021-04-01,0.1915
"160",2021-04-05,0.1841
"161",2021-04-06,0.1566
"162",2021-04-07,0.1253
"163",2021-04-08,0.1476
"164",2021-04-09,0.1584
"165",2021-04-12,0.2028
"166",2021-04-13,0.2389
"167",2021-04-14,0.2503
"168",2021-04-15,0.2612
"169",2021-04-16,0.2982
"170",2021-04-19,0.317
"171",2021-04-20,0.3361
"172",2021-04-21,0.379
"173",2021-04-22,0.3954
"174",2021-04-23,0.3516
"175",2021-04-26,0.376
"176",2021-04-27,0.3575
"177",2021-04-28,0.3502
"178",2021-04-29,0.3849
"179",2021-04-30,0.4092
"180",2021-05-03,0.3993
"181",2021-05-04,0.4291
"182",2021-05-05,0.4165
"183",2021-05-06,0.4794
"184",2021-05-07,0.484
"185",2021-05-10,0.4907
"186",2021-05-11,0.4841
"187",2021-05-12,0.5157
"188",2021-05-13,0.5297
"189",2021-05-14,0.5118
"190",2021-05-17,0.492
"191",2021-05-18,0.4737
"192",2021-05-19,0.473
"193",2021-05-20,0.5295
"194",2021-05-21,0.5238
"195",2021-05-24,0.5003
"196",2021-05-25,0.4677
"197",2021-05-26,0.4747
"198",2021-05-27,0.4849
"199",2021-05-28,0.4921
"200",2021-06-01,0.468
"201",2021-06-02,0.4394
"202",2021-06-03,0.3997
"203",2021-06-04,0.3914
"204",2021-06-07,0.3938
"205",2021-06-08,0.4367
"206",2021-06-09,0.3889
"207",2021-06-10,0.3824
"208",2021-06-11,0.3745
"209",2021-06-14,0.3404
"210",2021-06-15,0.2732
"211",2021-06-16,0.2992
"212",2021-06-17,0.2886
"213",2021-06-18,0.2822
"214",2021-06-21,0.2864
"215",2021-06-22,0.2563
"216",2021-06-23,0.2603
"217",2021-06-24,0.2849
"218",2021-06-25,0.2988
"219",2021-06-28,0.3117
"220",2021-06-29,0.2992
"221",2021-06-30,0.2959
"222",2021-07-01,0.2407
"223",2021-07-02,0.2496
"224",2021-07-06,0.2424
"225",2021-07-07,0.2499
"226",2021-07-08,0.2362
"227",2021-07-09,0.2266
"228",2021-07-12,0.2238
"229",2021-07-13,0.2549
"230",2021-07-14,0.2626
"231",2021-07-15,0.2769
"232",2021-07-16,0.264
"233",2021-07-19,0.2768
"234",2021-07-20,0.2563
"235",2021-07-21,0.2992
"236",2021-07-22,0.3022
"237",2021-07-23,0.3184
"238",2021-07-26,0.3395
"239",2021-07-27,0.3607
"240",2021-07-28,0.3732
"241",2021-07-29,0.3981
"242",2021-07-30,0.408
"243",2021-08-02,0.4718
"244",2021-08-03,0.5069
"245",2021-08-04,0.5219
"246",2021-08-05,0.52
"247",2021-08-06,0.5618
"248",2021-08-09,0.5896
"249",2021-08-10,0.5973
"250",2021-08-11,0.6
"251",2021-08-12,0.4868
"252",2021-08-13,0.4098
"253",2021-08-16,0.4306
"254",2021-08-17,0.3611
"255",2021-08-18,0.3414
"256",2021-08-19,0.3476
"257",2021-08-20,0.3465
"258",2021-08-23,0.3676
"259",2021-08-24,0.3899
"260",2021-08-25,0.3908
"261",2021-08-26,0.3889
"262",2021-08-27,0.3827
"263",2021-08-30,0.3861
"264",2021-08-31,0.3584
"265",2021-09-01,0.3596
"266",2021-09-02,0.3393
"267",2021-09-03,0.3381
"268",2021-09-07,0.337
"269",2021-09-08,0.3485
"270",2021-09-09,0.3403
"271",2021-09-10,0.3674
"272",2021-09-13,0.3799
"273",2021-09-14,0.3905
"274",2021-09-15,0.3447
"275",2021-09-16,0.3125
"276",2021-09-17,0.3396
"277",2021-09-20,0.386
"278",2021-09-21,0.3884
"279",2021-09-22,0.3964
"280",2021-09-23,0.3833
"281",2021-09-24,0.3836
"282",2021-09-27,0.342
"283",2021-09-28,0.3492
"284",2021-09-29,0.3414
"285",2021-09-30,0.3382
"286",2021-10-01,0.3165
"287",2021-10-04,0.332
"288",2021-10-05,0.3684
"289",2021-10-06,0.3868
"290",2021-10-07,0.3623
"291",2021-10-08,0.3803
"292",2021-10-11,0.3575
"293",2021-10-12,0.3856
"294",2021-10-13,0.3656
"295",2021-10-14,0.3858
"296",2021-10-15,0.3771
"297",2021-10-18,0.3803
"298",2021-10-19,0.3596
"299",2021-10-20,0.3548
"300",2021-10-21,0.3563
"301",2021-10-22,0.3582
"302",2021-10-25,0.3621
"303",2021-10-26,0.4083
"304",2021-10-27,0.3901
"305",2021-10-28,0.3861
"306",2021-10-29,0.3958
"307",2021-11-01,0.3862
"308",2021-11-02,0.3824
"309",2021-11-03,0.3813
"310",2021-11-04,0.3714
"311",2021-11-05,0.349
"312",2021-11-08,0.3351
"313",2021-11-09,0.4052
"314",2021-11-10,0.3871
"315",2021-11-11,0.3817
"316",2021-11-12,0.3716
"317",2021-11-15,0.3843
"318",2021-11-16,0.3712
"319",2021-11-17,0.3821
"320",2021-11-18,0.3735
"321",2021-11-19,0.3745
"322",2021-11-22,0.3417
"323",2021-11-23,0.3786
"324",2021-11-24,0.3945
"325",2021-11-26,0.4049
"326",2021-11-29,0.3911
"327",2021-11-30,0.388
"328",2021-12-01,0.4152
"329",2021-12-02,0.4039
"330",2021-12-03,0.3907
"331",2021-12-06,0.4017
"332",2021-12-07,0.4243
"333",2021-12-08,0.4648
"334",2021-12-09,0.395
"335",2021-12-10,0.364
"336",2021-12-13,0.3405
"337",2021-12-14,0.361
"338",2021-12-15,0.3549
"339",2021-12-16,0.3562
"340",2021-12-17,0.3001
"341",2021-12-20,0.2932
"342",2021-12-21,0.2765
"343",2021-12-22,0.2935
"344",2021-12-23,0.2852
"345",2021-12-27,0.2691
"346",2021-12-28,0.242
"347",2021-12-29,0.248
"348",2021-12-30,0.2331
"349",2021-12-31,0.216
"350",2022-01-03,0.192
"351",2022-01-04,0.2095
"352",2022-01-05,0.2144
"353",2022-01-06,0.2185
"354",2022-01-07,0.1891
"355",2022-01-10,0.1811
"356",2022-01-11,0.1794
"357",2022-01-12,0.1765
"358",2022-01-13,0.1759
"359",2022-01-14,0.1702
"360",2022-01-18,0.15
"361",2022-01-19,0.1956
"362",2022-01-20,0.1799
"363",2022-01-21,0.218
"364",2022-01-24,0.1854
"365",2022-01-25,0.189
"366",2022-01-26,0.2041
"367",2022-01-27,0.227
"368",2022-01-28,0.2448
"369",2022-01-31,0.276
"370",2022-02-01,0.2683
"371",2022-02-02,0.2632
"372",2022-02-03,0.2729
"373",2022-02-04,0.3186
"374",2022-02-07,0.3029
"375",2022-02-08,0.319
"376",2022-02-09,0.325
"377",2022-02-10,0.3286
"378",2022-02-11,0.3353
"379",2022-02-14,0.3422
"380",2022-02-15,0.3565
"381",2022-02-16,0.3647
"382",2022-02-17,0.3066
"383",2022-02-18,0.3251
"384",2022-02-22,0.3148
"385",2022-02-23,0.3243
"386",2022-02-24,0.3101
"387",2022-02-25,0.3152
"388",2022-02-28,0.3109
"389",2022-03-01,0.317
"390",2022-03-02,0.3043
"391",2022-03-03,0.3074
"392",2022-03-04,0.3214
"393",2022-03-07,0.3668
"394",2022-03-08,0.3296
"395",2022-03-09,0.3048
"396",2022-03-10,0.292
"397",2022-03-11,0.3288
"398",2022-03-14,0.3303
"399",2022-03-15,0.3241
"400",2022-03-16,0.3147
"401",2022-03-17,0.3215
"402",2022-03-18,0.3178
"403",2022-03-21,0.3588
"404",2022-03-22,0.3339
"405",2022-03-23,0.3032
"406",2022-03-24,0.296
"407",2022-03-25,0.3187
"408",2022-03-28,0.3345
"409",2022-03-29,0.3453
"410",2022-03-30,0.3142
"411",2022-03-31,0.3243
"412",2022-04-01,0.3276
"413",2022-04-04,0.3395
"414",2022-04-05,0.3238
"415",2022-04-06,0.3145
"416",2022-04-07,0.3043
"417",2022-04-08,0.3033
"418",2022-04-11,0.2497
"419",2022-04-12,0.2407
"420",2022-04-13,0.2449
"421",2022-04-14,0.2814
"422",2022-04-18,0.2986
"423",2022-04-19,0.3542
"424",2022-04-20,0.3015
"425",2022-04-21,0.2902
"426",2022-04-22,0.2861
"427",2022-04-25,0.3014
"428",2022-04-26,0.2957
"429",2022-04-27,0.3279
"430",2022-04-28,0.2983
"431",2022-04-29,0.2985
"432",2022-05-02,0.3039
"433",2022-05-03,0.3288
"434",2022-05-04,0.3189
"435",2022-05-05,0.3143
"436",2022-05-06,0.3149
"437",2022-05-09,0.3261
"438",2022-05-10,0.3704
"439",2022-05-11,0.3804
"440",2022-05-12,0.3753
"441",2022-05-13,0.3764
"442",2022-05-16,0.348
"443",2022-05-17,0.3496
"444",2022-05-18,0.3225
"445",2022-05-19,0.3467
"446",2022-05-20,0.3221
