"","date","ETSY"
"187",2022-10-14,0.2917
"188",2022-10-17,0.283
"189",2022-10-18,0.2734
"190",2022-10-19,0.2742
"191",2022-10-20,0.2752
"192",2022-10-21,0.271
"193",2022-10-24,0.2664
"194",2022-10-25,0.2493
"195",2022-10-26,0.2367
"196",2022-10-27,0.2442
"197",2022-10-28,0.2388
"198",2022-10-31,0.239
"199",2022-11-01,0.2287
"200",2022-11-02,0.2251
"201",2022-11-03,0.2211
"202",2022-11-04,0.2277
"203",2022-11-07,0.2173
"204",2022-11-08,0.2147
"205",2022-11-09,0.2077
"206",2022-11-10,0.1981
"207",2022-11-11,0.1976
"208",2022-11-14,0.1955
"209",2022-11-15,0.1974
"210",2022-11-16,0.202
"211",2022-11-17,0.2098
"212",2022-11-18,0.2102
"213",2022-11-21,0.2132
"214",2022-11-22,0.2254
"215",2022-11-23,0.2124
"216",2022-11-25,0.2073
"217",2022-11-28,0.2063
"218",2022-11-29,0.201
"219",2022-11-30,0.194
"220",2022-12-01,0.1954
"221",2022-12-02,0.2031
"222",2022-12-05,0.2115
"223",2022-12-06,0.2109
"224",2022-12-07,0.2063
"225",2022-12-08,0.1979
"226",2022-12-09,0.1986
"227",2022-12-12,0.2063
"228",2022-12-13,0.2077
"229",2022-12-14,0.204
"230",2022-12-15,0.2027
"231",2022-12-16,0.2146
"232",2022-12-19,0.2161
"233",2022-12-20,0.2173
"234",2022-12-21,0.2193
"235",2022-12-22,0.2201
"236",2022-12-23,0.2272
"237",2022-12-27,0.2408
"238",2022-12-28,0.2478
"239",2022-12-29,0.2413
"240",2022-12-30,0.2506
"241",2023-01-03,0.2529
"242",2023-01-04,0.2598
"243",2023-01-05,0.2631
"244",2023-01-06,0.2634
"245",2023-01-09,0.2658
"246",2023-01-10,0.2671
"247",2023-01-11,0.2662
"248",2023-01-12,0.2724
"249",2023-01-13,0.2659
"250",2023-01-17,0.2486
"251",2023-01-18,0.2185
"252",2023-01-19,0.2012
"253",2023-01-20,0.1937
"254",2023-01-23,0.1622
"255",2023-01-24,0.1557
"256",2023-01-25,0.1427
"257",2023-01-26,0.1365
"258",2023-01-27,0.1416
"259",2023-01-30,0.1487
"260",2023-01-31,0.1561
"261",2023-02-01,0.1608
"262",2023-02-02,0.1686
"263",2023-02-03,0.1595
"264",2023-02-06,0.156
"265",2023-02-07,0.1491
"266",2023-02-08,0.145
"267",2023-02-09,0.1482
"268",2023-02-10,0.1366
"269",2023-02-13,0.1243
"270",2023-02-14,0.1252
"271",2023-02-15,0.1192
"272",2023-02-16,0.1162
"273",2023-02-17,0.1172
"274",2023-02-21,0.1162
"275",2023-02-22,0.1128
"276",2023-02-23,0.1039
"277",2023-02-24,0.1044
"278",2023-02-27,0.11
"279",2023-02-28,0.1088
"280",2023-03-01,0.1086
"281",2023-03-02,0.1177
"282",2023-03-03,0.127
"283",2023-03-06,0.1207
"284",2023-03-07,0.1213
"285",2023-03-08,0.1159
"286",2023-03-09,0.1147
"287",2023-03-10,0.1064
"288",2023-03-13,0.1127
"289",2023-03-14,0.1109
"290",2023-03-15,0.1104
"291",2023-03-16,0.1125
"292",2023-03-17,0.1153
"293",2023-03-20,0.1167
"294",2023-03-21,0.1114
"295",2023-03-22,0.1129
"296",2023-03-23,0.111
"297",2023-03-24,0.1183
"298",2023-03-27,0.1259
"299",2023-03-28,0.1235
"300",2023-03-29,0.1213
"301",2023-03-30,0.1251
"302",2023-03-31,0.1238
"303",2023-04-03,0.1252
"304",2023-04-04,0.1231
"305",2023-04-05,0.1232
"306",2023-04-06,0.1273
"307",2023-04-10,0.1264
"308",2023-04-11,0.1364
"309",2023-04-12,0.1365
"310",2023-04-13,0.1364
"311",2023-04-14,0.1333
"312",2023-04-17,0.1441
"313",2023-04-18,0.1369
"314",2023-04-19,0.1409
"315",2023-04-20,0.1358
"316",2023-04-21,0.1317
"317",2023-04-24,0.1376
"318",2023-04-25,0.1418
"319",2023-04-26,0.1495
"320",2023-04-27,0.1488
"321",2023-04-28,0.1567
"322",2023-05-01,0.1623
"323",2023-05-02,0.1559
"324",2023-05-03,0.1492
"325",2023-05-04,0.1431
"326",2023-05-05,0.1388
"327",2023-05-08,0.1436
"328",2023-05-09,0.1464
"329",2023-05-10,0.1478
"330",2023-05-11,0.1566
"331",2023-05-12,0.1608
"332",2023-05-15,0.1663
"333",2023-05-16,0.1704
"334",2023-05-17,0.1765
"335",2023-05-18,0.1701
"336",2023-05-19,0.1703
"337",2023-05-22,0.1685
"338",2023-05-23,0.167
"339",2023-05-24,0.1726
"340",2023-05-25,0.1827
"341",2023-05-26,0.1872
"342",2023-05-30,0.1878
"343",2023-05-31,0.1845
"344",2023-06-01,0.1853
"345",2023-06-02,0.1758
"346",2023-06-05,0.1719
"347",2023-06-06,0.1746
"348",2023-06-07,0.1729
"349",2023-06-08,0.1662
"350",2023-06-09,0.1638
"351",2023-06-12,0.1712
"352",2023-06-13,0.1806
"353",2023-06-14,0.1852
"354",2023-06-15,0.1822
"355",2023-06-16,0.1677
"356",2023-06-20,0.1625
"357",2023-06-21,0.1651
"358",2023-06-22,0.172
"359",2023-06-23,0.1724
"360",2023-06-26,0.17
"361",2023-06-27,0.1702
"362",2023-06-28,0.1675
"363",2023-06-29,0.1676
