"","date","AOS"
"187",2021-05-12,0.3737
"188",2021-05-13,0.3691
"189",2021-05-14,0.3774
"190",2021-05-17,0.373
"191",2021-05-18,0.4136
"192",2021-05-19,0.3862
"193",2021-05-20,0.381
"194",2021-05-21,0.4283
"195",2021-05-24,0.4411
"196",2021-05-25,0.4088
"197",2021-05-26,0.3831
"198",2021-05-27,0.331
"199",2021-05-28,0.3521
"200",2021-06-01,0.3315
"201",2021-06-02,0.2978
"202",2021-06-03,0.2885
"203",2021-06-04,0.2804
"204",2021-06-07,0.2616
"205",2021-06-08,0.2621
"206",2021-06-09,0.2455
"207",2021-06-10,0.2301
"208",2021-06-11,0.211
"209",2021-06-14,0.2045
"210",2021-06-15,0.1831
"211",2021-06-16,0.2044
"212",2021-06-17,0.1811
"213",2021-06-18,0.1893
"214",2021-06-21,0.1822
"215",2021-06-22,0.18
"216",2021-06-23,0.187
"217",2021-06-24,0.2026
"218",2021-06-25,0.1588
"219",2021-06-28,0.1701
"220",2021-06-29,0.147
"221",2021-06-30,0.1441
"222",2021-07-01,0.1287
"223",2021-07-02,0.1166
"224",2021-07-06,0.0984
"225",2021-07-07,0.092
"226",2021-07-08,0.0895
"227",2021-07-09,0.1015
"228",2021-07-12,0.1117
"229",2021-07-13,0.1222
"230",2021-07-14,0.1043
"231",2021-07-15,0.0977000000000001
"232",2021-07-16,0.0849
"233",2021-07-19,0.0842
"234",2021-07-20,0.0744
"235",2021-07-21,0.0926
"236",2021-07-22,0.1006
"237",2021-07-23,0.1079
"238",2021-07-26,0.118
"239",2021-07-27,0.1331
"240",2021-07-28,0.1426
"241",2021-07-29,0.1711
"242",2021-07-30,0.1624
"243",2021-08-02,0.156
"244",2021-08-03,0.1401
"245",2021-08-04,0.165
"246",2021-08-05,0.147
"247",2021-08-06,0.1729
"248",2021-08-09,0.1882
"249",2021-08-10,0.2291
"250",2021-08-11,0.2648
"251",2021-08-12,0.275
"252",2021-08-13,0.273
"253",2021-08-16,0.2996
"254",2021-08-17,0.2632
"255",2021-08-18,0.2733
"256",2021-08-19,0.261
"257",2021-08-20,0.2409
"258",2021-08-23,0.2365
"259",2021-08-24,0.2592
"260",2021-08-25,0.2691
"261",2021-08-26,0.2895
"262",2021-08-27,0.2712
"263",2021-08-30,0.267
"264",2021-08-31,0.2645
"265",2021-09-01,0.2456
"266",2021-09-02,0.2547
"267",2021-09-03,0.2512
"268",2021-09-07,0.2314
"269",2021-09-08,0.2358
"270",2021-09-09,0.2257
"271",2021-09-10,0.2328
"272",2021-09-13,0.2265
"273",2021-09-14,0.2323
"274",2021-09-15,0.2352
"275",2021-09-16,0.2368
"276",2021-09-17,0.2299
"277",2021-09-20,0.2482
"278",2021-09-21,0.2149
"279",2021-09-22,0.2199
"280",2021-09-23,0.2148
"281",2021-09-24,0.2152
"282",2021-09-27,0.204
"283",2021-09-28,0.2294
"284",2021-09-29,0.2155
"285",2021-09-30,0.2189
"286",2021-10-01,0.2282
"287",2021-10-04,0.2259
"288",2021-10-05,0.2382
"289",2021-10-06,0.2525
"290",2021-10-07,0.2411
"291",2021-10-08,0.2491
"292",2021-10-11,0.2294
"293",2021-10-12,0.1967
"294",2021-10-13,0.1705
"295",2021-10-14,0.1803
