"","date","AIZ"
"1",2020-08-14,0.2879
"2",2020-08-17,0.2756
"3",2020-08-18,0.2978
"4",2020-08-19,0.2727
"5",2020-08-20,0.282
"6",2020-08-21,0.2947
"7",2020-08-24,0.3003
"8",2020-08-25,0.3277
"9",2020-08-26,0.3221
"10",2020-08-27,0.3437
"11",2020-08-28,0.3137
"12",2020-08-31,0.279
"13",2020-09-01,0.2752
"14",2020-09-02,0.2332
"15",2020-09-03,0.2281
"16",2020-09-04,0.1998
"17",2020-09-08,0.1735
"18",2020-09-09,0.165
"19",2020-09-10,0.1554
"20",2020-09-11,0.1519
"21",2020-09-14,0.1496
"22",2020-09-15,0.1543
"23",2020-09-16,0.1527
"24",2020-09-17,0.1332
"25",2020-09-18,0.1483
"26",2020-09-21,0.1396
"27",2020-09-22,0.1422
"28",2020-09-23,0.1411
"29",2020-09-24,0.1446
"30",2020-09-25,0.146
"31",2020-09-28,0.1479
"32",2020-09-29,0.1391
"33",2020-09-30,0.1357
"34",2020-10-01,0.1046
"35",2020-10-02,0.1147
"36",2020-10-05,0.1132
"37",2020-10-06,0.1238
"38",2020-10-07,0.1312
"39",2020-10-08,0.1536
"40",2020-10-09,0.1779
"41",2020-10-12,0.187
"42",2020-10-13,0.1793
"43",2020-10-14,0.1677
"44",2020-10-15,0.1234
"45",2020-10-16,0.1235
"46",2020-10-19,0.1129
"47",2020-10-20,0.1257
"48",2020-10-21,0.1173
"49",2020-10-22,0.117
"50",2020-10-23,0.113
"51",2020-10-26,0.1341
"52",2020-10-27,0.1441
"53",2020-10-28,0.1636
"54",2020-10-29,0.1441
"55",2020-10-30,0.1578
"56",2020-11-02,0.1394
"57",2020-11-03,0.1438
"58",2020-11-04,0.1451
"59",2020-11-05,0.1331
"60",2020-11-06,0.1286
"61",2020-11-09,0.1296
"62",2020-11-10,0.1297
"63",2020-11-11,0.1607
"64",2020-11-12,0.1419
"65",2020-11-13,0.1518
"66",2020-11-16,0.192
"67",2020-11-17,0.1865
"68",2020-11-18,0.2234
"69",2020-11-19,0.2252
"70",2020-11-20,0.2645
"71",2020-11-23,0.2616
"72",2020-11-24,0.2499
"73",2020-11-25,0.262
"74",2020-11-27,0.2415
"75",2020-11-30,0.2813
"76",2020-12-01,0.3
"77",2020-12-02,0.3009
"78",2020-12-03,0.3023
"79",2020-12-04,0.3182
"80",2020-12-07,0.3503
"81",2020-12-08,0.3533
"82",2020-12-09,0.3671
"83",2020-12-10,0.3679
"84",2020-12-11,0.3376
"85",2020-12-14,0.3395
"86",2020-12-15,0.3481
"87",2020-12-16,0.3432
"88",2020-12-17,0.3389
"89",2020-12-18,0.2951
"90",2020-12-21,0.3272
"91",2020-12-22,0.3298
"92",2020-12-23,0.359
"93",2020-12-24,0.3728
"94",2020-12-28,0.3645
"95",2020-12-29,0.3855
"96",2020-12-30,0.3891
"97",2020-12-31,0.3728
"98",2021-01-04,0.3581
"99",2021-01-05,0.3508
"100",2021-01-06,0.3005
"101",2021-01-07,0.209
"102",2021-01-08,0.1643
"103",2021-01-11,0.183
"104",2021-01-12,0.1585
"105",2021-01-13,0.1846
"106",2021-01-14,0.2015
"107",2021-01-15,0.2065
"108",2021-01-19,0.1978
"109",2021-01-20,0.1896
"110",2021-01-21,0.1823
"111",2021-01-22,0.1725
"112",2021-01-25,0.1739
"113",2021-01-26,0.1871
"114",2021-01-27,0.1477
"115",2021-01-28,0.1601
"116",2021-01-29,0.1593
"117",2021-02-01,0.1786
"118",2021-02-02,0.1977
"119",2021-02-03,0.2047
"120",2021-02-04,0.2082
"121",2021-02-05,0.2046
"122",2021-02-08,0.1699
"123",2021-02-09,0.1766
"124",2021-02-10,0.1356
"125",2021-02-11,0.1464
"126",2021-02-12,0.1364
"127",2021-02-16,0.1512
"128",2021-02-17,0.1568
"129",2021-02-18,0.1893
"130",2021-02-19,0.1963
"131",2021-02-22,0.1886
"132",2021-02-23,0.164
"133",2021-02-24,0.1511
"134",2021-02-25,0.1157
"135",2021-02-26,0.1326
"136",2021-03-01,0.1274
"137",2021-03-02,0.1226
"138",2021-03-03,0.1302
"139",2021-03-04,0.1367
"140",2021-03-05,0.1407
"141",2021-03-08,0.1428
"142",2021-03-09,0.137
"143",2021-03-10,0.157
"144",2021-03-11,0.1233
"145",2021-03-12,0.1367
"146",2021-03-15,0.1353
"147",2021-03-16,0.1352
"148",2021-03-17,0.1318
"149",2021-03-18,0.1228
"150",2021-03-19,0.1418
"151",2021-03-22,0.1496
"152",2021-03-23,0.1464
"153",2021-03-24,0.1564
"154",2021-03-25,0.1308
"155",2021-03-26,0.1413
"156",2021-03-29,0.1496
"157",2021-03-30,0.1883
"158",2021-03-31,0.2179
"159",2021-04-01,0.2464
"160",2021-04-05,0.2649
"161",2021-04-06,0.2718
"162",2021-04-07,0.2727
"163",2021-04-08,0.2693
"164",2021-04-09,0.2595
"165",2021-04-12,0.2951
"166",2021-04-13,0.2904
"167",2021-04-14,0.314
"168",2021-04-15,0.3549
"169",2021-04-16,0.3682
"170",2021-04-19,0.4174
"171",2021-04-20,0.4412
"172",2021-04-21,0.4461
"173",2021-04-22,0.4119
"174",2021-04-23,0.3604
"175",2021-04-26,0.3769
"176",2021-04-27,0.3857
"177",2021-04-28,0.3813
"178",2021-04-29,0.387
"179",2021-04-30,0.3948
"180",2021-05-03,0.4089
"181",2021-05-04,0.4525
"182",2021-05-05,0.4443
"183",2021-05-06,0.4298
"184",2021-05-07,0.3987
"185",2021-05-10,0.4082
"186",2021-05-11,0.3869
"187",2021-05-12,0.4174
"188",2021-05-13,0.3787
"189",2021-05-14,0.3638
"190",2021-05-17,0.3661
"191",2021-05-18,0.3627
"192",2021-05-19,0.356
"193",2021-05-20,0.3709
"194",2021-05-21,0.326
"195",2021-05-24,0.3588
"196",2021-05-25,0.3428
"197",2021-05-26,0.3252
"198",2021-05-27,0.3381
"199",2021-05-28,0.3049
"200",2021-06-01,0.3088
"201",2021-06-02,0.3164
"202",2021-06-03,0.3284
"203",2021-06-04,0.3033
"204",2021-06-07,0.2893
"205",2021-06-08,0.3131
"206",2021-06-09,0.2933
"207",2021-06-10,0.3027
"208",2021-06-11,0.2902
"209",2021-06-14,0.3148
"210",2021-06-15,0.2725
"211",2021-06-16,0.2983
"212",2021-06-17,0.2805
"213",2021-06-18,0.283
"214",2021-06-21,0.2441
"215",2021-06-22,0.2652
"216",2021-06-23,0.2576
"217",2021-06-24,0.3075
"218",2021-06-25,0.2945
"219",2021-06-28,0.3032
"220",2021-06-29,0.3182
"221",2021-06-30,0.2798
"222",2021-07-01,0.2661
"223",2021-07-02,0.2575
"224",2021-07-06,0.2266
"225",2021-07-07,0.2322
"226",2021-07-08,0.221
"227",2021-07-09,0.2431
"228",2021-07-12,0.2362
"229",2021-07-13,0.2553
"230",2021-07-14,0.23
"231",2021-07-15,0.2715
"232",2021-07-16,0.2552
"233",2021-07-19,0.2121
"234",2021-07-20,0.1722
"235",2021-07-21,0.2049
"236",2021-07-22,0.1987
"237",2021-07-23,0.2678
"238",2021-07-26,0.2835
"239",2021-07-27,0.2946
"240",2021-07-28,0.3217
"241",2021-07-29,0.3516
"242",2021-07-30,0.4008
"243",2021-08-02,0.3984
"244",2021-08-03,0.4164
"245",2021-08-04,0.4791
"246",2021-08-05,0.5083
"247",2021-08-06,0.5421
"248",2021-08-09,0.5723
"249",2021-08-10,0.5581
"250",2021-08-11,0.5612
"251",2021-08-12,0.5527
"252",2021-08-13,0.4913
"253",2021-08-16,0.4883
"254",2021-08-17,0.3544
"255",2021-08-18,0.3895
"256",2021-08-19,0.4019
"257",2021-08-20,0.4105
"258",2021-08-23,0.3841
"259",2021-08-24,0.3706
"260",2021-08-25,0.3334
"261",2021-08-26,0.3417
"262",2021-08-27,0.358
"263",2021-08-30,0.3225
"264",2021-08-31,0.3448
"265",2021-09-01,0.3732
"266",2021-09-02,0.3928
"267",2021-09-03,0.3872
"268",2021-09-07,0.3699
"269",2021-09-08,0.3224
"270",2021-09-09,0.3331
"271",2021-09-10,0.315
"272",2021-09-13,0.3221
"273",2021-09-14,0.2888
"274",2021-09-15,0.274
"275",2021-09-16,0.2904
"276",2021-09-17,0.2885
"277",2021-09-20,0.324
"278",2021-09-21,0.3306
"279",2021-09-22,0.34
"280",2021-09-23,0.3114
"281",2021-09-24,0.2914
"282",2021-09-27,0.2602
"283",2021-09-28,0.2472
"284",2021-09-29,0.2746
"285",2021-09-30,0.2821
"286",2021-10-01,0.2858
"287",2021-10-04,0.2718
"288",2021-10-05,0.2874
"289",2021-10-06,0.2888
"290",2021-10-07,0.2619
"291",2021-10-08,0.26
"292",2021-10-11,0.2626
"293",2021-10-12,0.2039
"294",2021-10-13,0.1788
"295",2021-10-14,0.1707
"296",2021-10-15,0.1961
"297",2021-10-18,0.2096
"298",2021-10-19,0.19
"299",2021-10-20,0.1579
"300",2021-10-21,0.1612
"301",2021-10-22,0.1753
"302",2021-10-25,0.1966
"303",2021-10-26,0.1801
"304",2021-10-27,0.1901
"305",2021-10-28,0.1918
"306",2021-10-29,0.204
"307",2021-11-01,0.2214
"308",2021-11-02,0.2015
"309",2021-11-03,0.1418
"310",2021-11-04,0.1256
"311",2021-11-05,0.1295
"312",2021-11-08,0.1511
"313",2021-11-09,0.1454
"314",2021-11-10,0.1743
"315",2021-11-11,0.195
"316",2021-11-12,0.1912
"317",2021-11-15,0.2001
"318",2021-11-16,0.235
"319",2021-11-17,0.2428
