"","date","AAL"
"1",2022-01-19,0.1677
"2",2022-01-20,0.1701
"3",2022-01-21,0.1636
"4",2022-01-24,0.1546
"5",2022-01-25,0.1534
"6",2022-01-26,0.1498
"7",2022-01-27,0.1401
"8",2022-01-28,0.1407
"9",2022-01-31,0.1472
"10",2022-02-01,0.1297
"11",2022-02-02,0.1316
"12",2022-02-03,0.1404
"13",2022-02-04,0.1513
"14",2022-02-07,0.1594
"15",2022-02-08,0.1651
"16",2022-02-09,0.1622
"17",2022-02-10,0.1615
"18",2022-02-11,0.1574
"19",2022-02-14,0.1502
"20",2022-02-15,0.1373
"21",2022-02-16,0.1408
"22",2022-02-17,0.1307
"23",2022-02-18,0.1314
"24",2022-02-22,0.1206
"25",2022-02-23,0.1117
"26",2022-02-24,0.11
"27",2022-02-25,0.107
"28",2022-02-28,0.1071
"29",2022-03-01,0.1104
"30",2022-03-02,0.0971
"31",2022-03-03,0.1034
"32",2022-03-04,0.1106
"33",2022-03-07,0.1284
"34",2022-03-08,0.1162
"35",2022-03-09,0.1087
"36",2022-03-10,0.1104
"37",2022-03-11,0.1057
"38",2022-03-14,0.1041
"39",2022-03-15,0.0968
"40",2022-03-16,0.0912
"41",2022-03-17,0.1024
"42",2022-03-18,0.1032
"43",2022-03-21,0.0979
"44",2022-03-22,0.0935
"45",2022-03-23,0.0931
"46",2022-03-24,0.088
"47",2022-03-25,0.0873
"48",2022-03-28,0.0905
"49",2022-03-29,0.0927000000000001
"50",2022-03-30,0.079
"51",2022-03-31,0.0821999999999999
"52",2022-04-01,0.088
"53",2022-04-04,0.1057
"54",2022-04-05,0.1026
"55",2022-04-06,0.0941000000000001
"56",2022-04-07,0.0909
"57",2022-04-08,0.1033
"58",2022-04-11,0.1023
"59",2022-04-12,0.1035
"60",2022-04-13,0.0954
"61",2022-04-14,0.107
"62",2022-04-18,0.1083
"63",2022-04-19,0.1141
"64",2022-04-20,0.1235
"65",2022-04-21,0.1323
"66",2022-04-22,0.1426
"67",2022-04-25,0.1363
"68",2022-04-26,0.1405
"69",2022-04-27,0.151
"70",2022-04-28,0.1396
"71",2022-04-29,0.1492
"72",2022-05-02,0.1511
"73",2022-05-03,0.1596
"74",2022-05-04,0.1651
"75",2022-05-05,0.1608
"76",2022-05-06,0.1583
"77",2022-05-09,0.1655
"78",2022-05-10,0.175
"79",2022-05-11,0.1782
"80",2022-05-12,0.1705
"81",2022-05-13,0.1906
"82",2022-05-16,0.1917
"83",2022-05-17,0.1917
"84",2022-05-18,0.1827
"85",2022-05-19,0.1863
"86",2022-05-20,0.194
"87",2022-05-23,0.1905
"88",2022-05-24,0.2015
"89",2022-05-25,0.1961
"90",2022-05-26,0.1807
"91",2022-05-27,0.1669
"92",2022-05-31,0.168
"93",2022-06-01,0.1834
