"","date","TFX"
"1",2020-08-14,0.4692
"2",2020-08-17,0.4589
"3",2020-08-18,0.4573
"4",2020-08-19,0.4146
"5",2020-08-20,0.3844
"6",2020-08-21,0.3703
"7",2020-08-24,0.4046
"8",2020-08-25,0.4102
"9",2020-08-26,0.432
"10",2020-08-27,0.536
"11",2020-08-28,0.523
"12",2020-08-31,0.4754
"13",2020-09-01,0.4488
"14",2020-09-02,0.3671
"15",2020-09-03,0.3512
"16",2020-09-04,0.3451
"17",2020-09-08,0.3545
"18",2020-09-09,0.3472
"19",2020-09-10,0.3771
"20",2020-09-11,0.3191
"21",2020-09-14,0.3108
"22",2020-09-15,0.3279
"23",2020-09-16,0.35
"24",2020-09-17,0.3289
"25",2020-09-18,0.3269
"26",2020-09-21,0.3248
"27",2020-09-22,0.3233
"28",2020-09-23,0.3114
"29",2020-09-24,0.3017
"30",2020-09-25,0.2691
"31",2020-09-28,0.2902
"32",2020-09-29,0.3189
"33",2020-09-30,0.3204
"34",2020-10-01,0.3031
"35",2020-10-02,0.3078
"36",2020-10-05,0.2888
"37",2020-10-06,0.3144
"38",2020-10-07,0.2972
"39",2020-10-08,0.3076
"40",2020-10-09,0.2944
"41",2020-10-12,0.3361
"42",2020-10-13,0.3689
"43",2020-10-14,0.3993
"44",2020-10-15,0.3371
"45",2020-10-16,0.2797
"46",2020-10-19,0.2735
"47",2020-10-20,0.2949
"48",2020-10-21,0.2976
"49",2020-10-22,0.3206
"50",2020-10-23,0.2709
"51",2020-10-26,0.2443
"52",2020-10-27,0.253
"53",2020-10-28,0.3016
"54",2020-10-29,0.3093
"55",2020-10-30,0.3202
"56",2020-11-02,0.2801
"57",2020-11-03,0.2567
"58",2020-11-04,0.2607
"59",2020-11-05,0.2526
"60",2020-11-06,0.221
"61",2020-11-09,0.2409
"62",2020-11-10,0.2422
"63",2020-11-11,0.2719
"64",2020-11-12,0.2643
"65",2020-11-13,0.2614
"66",2020-11-16,0.2809
"67",2020-11-17,0.3165
"68",2020-11-18,0.3262
"69",2020-11-19,0.3367
"70",2020-11-20,0.332
"71",2020-11-23,0.3435
"72",2020-11-24,0.3252
"73",2020-11-25,0.368
"74",2020-11-27,0.3617
"75",2020-11-30,0.3847
"76",2020-12-01,0.371
"77",2020-12-02,0.3745
"78",2020-12-03,0.3349
"79",2020-12-04,0.3438
"80",2020-12-07,0.3366
"81",2020-12-08,0.3564
"82",2020-12-09,0.4048
"83",2020-12-10,0.4334
"84",2020-12-11,0.4078
"85",2020-12-14,0.3926
"86",2020-12-15,0.3907
"87",2020-12-16,0.3909
"88",2020-12-17,0.3835
"89",2020-12-18,0.381
"90",2020-12-21,0.3294
"91",2020-12-22,0.3356
"92",2020-12-23,0.3301
"93",2020-12-24,0.3646
"94",2020-12-28,0.3644
"95",2020-12-29,0.3612
"96",2020-12-30,0.3871
"97",2020-12-31,0.439
