"","date","ZION"
"1",2022-01-19,0.0795
"2",2022-01-20,0.0947
"3",2022-01-21,0.0887
"4",2022-01-24,0.0892000000000001
"5",2022-01-25,0.0938
"6",2022-01-26,0.1003
"7",2022-01-27,0.0979
"8",2022-01-28,0.0899
"9",2022-01-31,0.0965999999999999
"10",2022-02-01,0.092
"11",2022-02-02,0.1023
"12",2022-02-03,0.1172
"13",2022-02-04,0.114
"14",2022-02-07,0.1065
"15",2022-02-08,0.1052
"16",2022-02-09,0.1134
"17",2022-02-10,0.1157
"18",2022-02-11,0.1035
"19",2022-02-14,0.1069
"20",2022-02-15,0.1013
"21",2022-02-16,0.1053
"22",2022-02-17,0.1174
"23",2022-02-18,0.13
"24",2022-02-22,0.1383
"25",2022-02-23,0.1118
"26",2022-02-24,0.1192
"27",2022-02-25,0.1169
"28",2022-02-28,0.1075
"29",2022-03-01,0.0953000000000001
"30",2022-03-02,0.096
"31",2022-03-03,0.1022
"32",2022-03-04,0.1082
"33",2022-03-07,0.1205
"34",2022-03-08,0.1127
"35",2022-03-09,0.1175
"36",2022-03-10,0.1203
"37",2022-03-11,0.1207
"38",2022-03-14,0.1148
"39",2022-03-15,0.1049
"40",2022-03-16,0.0903999999999999
"41",2022-03-17,0.0972000000000001
"42",2022-03-18,0.1115
"43",2022-03-21,0.1059
"44",2022-03-22,0.1085
"45",2022-03-23,0.0999
"46",2022-03-24,0.0998
"47",2022-03-25,0.1081
"48",2022-03-28,0.1184
"49",2022-03-29,0.125
"50",2022-03-30,0.12
"51",2022-03-31,0.1103
"52",2022-04-01,0.13
"53",2022-04-04,0.1241
"54",2022-04-05,0.1276
"55",2022-04-06,0.119
"56",2022-04-07,0.1222
"57",2022-04-08,0.1285
"58",2022-04-11,0.1117
"59",2022-04-12,0.1138
"60",2022-04-13,0.1238
"61",2022-04-14,0.1308
"62",2022-04-18,0.1314
"63",2022-04-19,0.1341
"64",2022-04-20,0.126
"65",2022-04-21,0.1248
"66",2022-04-22,0.1308
"67",2022-04-25,0.125
"68",2022-04-26,0.1226
"69",2022-04-27,0.119
"70",2022-04-28,0.124
"71",2022-04-29,0.1539
"72",2022-05-02,0.1699
"73",2022-05-03,0.1551
"74",2022-05-04,0.1578
"75",2022-05-05,0.1505
"76",2022-05-06,0.1466
"77",2022-05-09,0.1455
"78",2022-05-10,0.1391
"79",2022-05-11,0.1475
"80",2022-05-12,0.1422
"81",2022-05-13,0.1527
"82",2022-05-16,0.1654
"83",2022-05-17,0.1648
"84",2022-05-18,0.1643
"85",2022-05-19,0.1503
"86",2022-05-20,0.1513
"87",2022-05-23,0.1431
"88",2022-05-24,0.1305
"89",2022-05-25,0.1237
"90",2022-05-26,0.1166
"91",2022-05-27,0.1159
"92",2022-05-31,0.1304
"93",2022-06-01,0.1482
"94",2022-06-02,0.1428
"95",2022-06-03,0.1323
"96",2022-06-06,0.1391
"97",2022-06-07,0.126
"98",2022-06-08,0.1069
"99",2022-06-09,0.1013
"100",2022-06-10,0.0976
"101",2022-06-13,0.1087
"102",2022-06-14,0.1093
"103",2022-06-15,0.1118
"104",2022-06-16,0.1148
"105",2022-06-17,0.1085
"106",2022-06-21,0.103
"107",2022-06-22,0.1163
"108",2022-06-23,0.122
"109",2022-06-24,0.106
"110",2022-06-27,0.108
"111",2022-06-28,0.1044
"112",2022-06-29,0.1136
"113",2022-06-30,0.1139
"114",2022-07-01,0.1173
"115",2022-07-05,0.1129
"116",2022-07-06,0.1105
"117",2022-07-07,0.1094
"118",2022-07-08,0.0949
"119",2022-07-11,0.1028
"120",2022-07-12,0.1022
"121",2022-07-13,0.1064
"122",2022-07-14,0.12
"123",2022-07-15,0.1163
"124",2022-07-18,0.1098
"125",2022-07-19,0.1117
"126",2022-07-20,0.122
"127",2022-07-21,0.123
"128",2022-07-22,0.1055
"129",2022-07-25,0.1034
"130",2022-07-26,0.0894999999999999
"131",2022-07-27,0.0992
"132",2022-07-28,0.1134
"133",2022-07-29,0.1033
"134",2022-08-01,0.101
"135",2022-08-02,0.0893
"136",2022-08-03,0.1074
"137",2022-08-04,0.1163
"138",2022-08-05,0.1106
"139",2022-08-08,0.101
"140",2022-08-09,0.1005
"141",2022-08-10,0.1038
"142",2022-08-11,0.1021
"143",2022-08-12,0.1081
"144",2022-08-15,0.1143
"145",2022-08-16,0.1111
"146",2022-08-17,0.1083
"147",2022-08-18,0.1109
"148",2022-08-19,0.1146
"149",2022-08-22,0.1176
"150",2022-08-23,0.1123
"151",2022-08-24,0.1205
"152",2022-08-25,0.1355
"153",2022-08-26,0.1431
"154",2022-08-29,0.1426
"155",2022-08-30,0.1501
"156",2022-08-31,0.1609
"157",2022-09-01,0.1488
"158",2022-09-02,0.1533
"159",2022-09-06,0.1665
"160",2022-09-07,0.1535
"161",2022-09-08,0.1508
"162",2022-09-09,0.1604
"163",2022-09-12,0.1647
"164",2022-09-13,0.1634
"165",2022-09-14,0.1564
"166",2022-09-15,0.1481
"167",2022-09-16,0.1455
"168",2022-09-19,0.1412
"169",2022-09-20,0.1458
"170",2022-09-21,0.1574
"171",2022-09-22,0.156
"172",2022-09-23,0.151
"173",2022-09-26,0.1463
"174",2022-09-27,0.1358
"175",2022-09-28,0.1169
"176",2022-09-29,0.1126
"177",2022-09-30,0.113
"178",2022-10-03,0.1016
"179",2022-10-04,0.0968
"180",2022-10-05,0.1031
"181",2022-10-06,0.0904
"182",2022-10-07,0.0931000000000001
"183",2022-10-10,0.0776
"184",2022-10-11,0.0681
"185",2022-10-12,0.0534
"186",2022-10-13,0.0443
"187",2022-10-14,0.0454
"188",2022-10-17,0.0376
"189",2022-10-18,0.0449000000000001
"190",2022-10-19,0.0465000000000001
"191",2022-10-20,0.0982
"192",2022-10-21,0.1173
"193",2022-10-24,0.0936
"194",2022-10-25,0.0732
"195",2022-10-26,0.0489000000000001
"196",2022-10-27,0.0407
"197",2022-10-28,0.0357000000000001
"198",2022-10-31,0.0398999999999999
"199",2022-11-01,0.0452
"200",2022-11-02,0.0505
"201",2022-11-03,0.0504
"202",2022-11-04,0.0554
"203",2022-11-07,0.0618
"204",2022-11-08,0.0634
"205",2022-11-09,0.0640000000000001
"206",2022-11-10,0.0611
"207",2022-11-11,0.0632
"208",2022-11-14,0.0702
"209",2022-11-15,0.0742
"210",2022-11-16,0.0805
"211",2022-11-17,0.0827
"212",2022-11-18,0.078
"213",2022-11-21,0.0707
"214",2022-11-22,0.0673
"215",2022-11-23,0.0645
"216",2022-11-25,0.0577000000000001
"217",2022-11-28,0.0514
"218",2022-11-29,0.0512
"219",2022-11-30,0.051
"220",2022-12-01,0.0502999999999999
"221",2022-12-02,0.0471999999999999
"222",2022-12-05,0.0464
"223",2022-12-06,0.0473
"224",2022-12-07,0.0467
"225",2022-12-08,0.0437000000000001
"226",2022-12-09,0.0361
"227",2022-12-12,0.0323
"228",2022-12-13,0.0277999999999999
"229",2022-12-14,0.0342
"230",2022-12-15,0.0331
"231",2022-12-16,0.0314
"232",2022-12-19,0.0361
"233",2022-12-20,0.0478
"234",2022-12-21,0.0648
"235",2022-12-22,0.0762
"236",2022-12-23,0.0982
"237",2022-12-27,0.1131
"238",2022-12-28,0.1263
"239",2022-12-29,0.1428
"240",2022-12-30,0.1626
"241",2023-01-03,0.1798
"242",2023-01-04,0.2012
"243",2023-01-05,0.2106
"244",2023-01-06,0.2198
"245",2023-01-09,0.218
"246",2023-01-10,0.2189
"247",2023-01-11,0.2135
"248",2023-01-12,0.202
"249",2023-01-13,0.2052
"250",2023-01-17,0.1966
"251",2023-01-18,0.1759
"252",2023-01-19,0.1689
"253",2023-01-20,0.1661
"254",2023-01-23,0.1592
"255",2023-01-24,0.1588
"256",2023-01-25,0.1541
"257",2023-01-26,0.1613
"258",2023-01-27,0.1533
"259",2023-01-30,0.1554
"260",2023-01-31,0.1627
"261",2023-02-01,0.1701
"262",2023-02-02,0.1703
"263",2023-02-03,0.1686
"264",2023-02-06,0.1766
"265",2023-02-07,0.1672
"266",2023-02-08,0.1742
"267",2023-02-09,0.1688
"268",2023-02-10,0.1672
"269",2023-02-13,0.1606
"270",2023-02-14,0.1629
"271",2023-02-15,0.1615
"272",2023-02-16,0.1659
"273",2023-02-17,0.1688
"274",2023-02-21,0.1588
"275",2023-02-22,0.1586
"276",2023-02-23,0.1609
"277",2023-02-24,0.1637
"278",2023-02-27,0.1664
"279",2023-02-28,0.1692
"280",2023-03-01,0.1594
"281",2023-03-02,0.1659
"282",2023-03-03,0.1718
"283",2023-03-06,0.1747
"284",2023-03-07,0.1756
"285",2023-03-08,0.1755
"286",2023-03-09,0.1691
"287",2023-03-10,0.1645
"288",2023-03-13,0.1998
"289",2023-03-14,0.2169
"290",2023-03-15,0.2173
"291",2023-03-16,0.2023
"292",2023-03-17,0.2022
