"","date","BIO"
"1",2020-08-14,0.0329
"2",2020-08-17,0.0336
"3",2020-08-18,0.0411
"4",2020-08-19,0.0504
"5",2020-08-20,0.0401
"6",2020-08-21,0.0403
"7",2020-08-24,0.0548
"8",2020-08-25,0.0493
"9",2020-08-26,0.0364
"10",2020-08-27,0.0634
"11",2020-08-28,0.0462
"12",2020-08-31,0.0672
"13",2020-09-01,0.0742
"14",2020-09-02,0.0661
"15",2020-09-03,0.0733
"16",2020-09-04,0.065
"17",2020-09-08,0.0689
"18",2020-09-09,0.0554
"19",2020-09-10,0.0568
"20",2020-09-11,0.068
"21",2020-09-14,0.055
"22",2020-09-15,0.0753
"23",2020-09-16,0.0543
"24",2020-09-17,0.03
"25",2020-09-18,0.0589999999999999
"26",2020-09-21,0.0590000000000001
"27",2020-09-22,0.0536
"28",2020-09-23,0.0531
"29",2020-09-24,0.0402
"30",2020-09-25,0.0375
"31",2020-09-28,0.0416
"32",2020-09-29,0.0684
"33",2020-09-30,0.0556
"34",2020-10-01,0.0577
"35",2020-10-02,0.031
"36",2020-10-05,0.0282
"37",2020-10-06,0.038
"38",2020-10-07,0.0349
"39",2020-10-08,0.0423
"40",2020-10-09,0.0482
"41",2020-10-12,0.0739
"42",2020-10-13,0.0912
"43",2020-10-14,0.0966
"44",2020-10-15,0.0792
"45",2020-10-16,0.0747
"46",2020-10-19,0.0833
"47",2020-10-20,0.0829
"48",2020-10-21,0.0974
"49",2020-10-22,0.1116
"50",2020-10-23,0.1135
"51",2020-10-26,0.1241
"52",2020-10-27,0.1035
"53",2020-10-28,0.1003
"54",2020-10-29,0.094
"55",2020-10-30,0.0804
"56",2020-11-02,0.0864
"57",2020-11-03,0.0888
"58",2020-11-04,0.081
"59",2020-11-05,0.0992999999999999
"60",2020-11-06,0.1014
"61",2020-11-09,0.0945
"62",2020-11-10,0.0903
"63",2020-11-11,0.0916
"64",2020-11-12,0.0756
"65",2020-11-13,0.0608
"66",2020-11-16,0.0661
"67",2020-11-17,0.0538
"68",2020-11-18,0.0557
"69",2020-11-19,0.0635
"70",2020-11-20,0.0613
"71",2020-11-23,0.0559
"72",2020-11-24,0.0441
"73",2020-11-25,0.0318
"74",2020-11-27,0.0305
"75",2020-11-30,0.0276
"76",2020-12-01,0.0273
"77",2020-12-02,0.0265
"78",2020-12-03,0.0266
"79",2020-12-04,0.0223
"80",2020-12-07,0.032
"81",2020-12-08,0.0391
"82",2020-12-09,0.0397
"83",2020-12-10,0.0402
"84",2020-12-11,0.0294
"85",2020-12-14,0.0402
"86",2020-12-15,0.041
"87",2020-12-16,0.063
"88",2020-12-17,0.0649
"89",2020-12-18,0.0504
"90",2020-12-21,0.0441
"91",2020-12-22,0.0457
"92",2020-12-23,0.0617
"93",2020-12-24,0.0591
"94",2020-12-28,0.0675
"95",2020-12-29,0.0674999999999999
"96",2020-12-30,0.066
"97",2020-12-31,0.1084
"98",2021-01-04,0.1033
"99",2021-01-05,0.0971
"100",2021-01-06,0.1025
"101",2021-01-07,0.0999
"102",2021-01-08,0.1039
"103",2021-01-11,0.1148
"104",2021-01-12,0.1181
"105",2021-01-13,0.1162
"106",2021-01-14,0.1008
"107",2021-01-15,0.1212
"108",2021-01-19,0.1126
"109",2021-01-20,0.1249
"110",2021-01-21,0.1339
"111",2021-01-22,0.1391
"112",2021-01-25,0.1399
"113",2021-01-26,0.1439
"114",2021-01-27,0.1237
"115",2021-01-28,0.1251
"116",2021-01-29,0.1187
"117",2021-02-01,0.1217
"118",2021-02-02,0.1097
"119",2021-02-03,0.0933
"120",2021-02-04,0.0800999999999999
"121",2021-02-05,0.0882
"122",2021-02-08,0.0972
"123",2021-02-09,0.0808
"124",2021-02-10,0.0861999999999999
"125",2021-02-11,0.0884
"126",2021-02-12,0.0773
"127",2021-02-16,0.1002
"128",2021-02-17,0.0790999999999999
"129",2021-02-18,0.0615
"130",2021-02-19,0.0616
"131",2021-02-22,0.0598
"132",2021-02-23,0.0664
"133",2021-02-24,0.0657
"134",2021-02-25,0.0502
"135",2021-02-26,0.0553
"136",2021-03-01,0.0577
"137",2021-03-02,0.0576
"138",2021-03-03,0.0485
"139",2021-03-04,0.0424
"140",2021-03-05,0.0422
"141",2021-03-08,0.0399
"142",2021-03-09,0.0461
"143",2021-03-10,0.048
"144",2021-03-11,0.0527
"145",2021-03-12,0.0760000000000001
"146",2021-03-15,0.0748
"147",2021-03-16,0.0725
"148",2021-03-17,0.0636
"149",2021-03-18,0.0523
"150",2021-03-19,0.0471
"151",2021-03-22,0.0488
"152",2021-03-23,0.0726000000000001
"153",2021-03-24,0.0748
"154",2021-03-25,0.0767999999999999
"155",2021-03-26,0.0753
"156",2021-03-29,0.0789
"157",2021-03-30,0.1285
"158",2021-03-31,0.1212
"159",2021-04-01,0.1277
"160",2021-04-05,0.1265
"161",2021-04-06,0.1123
"162",2021-04-07,0.1236
"163",2021-04-08,0.1426
"164",2021-04-09,0.1866
"165",2021-04-12,0.2026
"166",2021-04-13,0.2107
"167",2021-04-14,0.2137
"168",2021-04-15,0.2049
"169",2021-04-16,0.2134
"170",2021-04-19,0.219
"171",2021-04-20,0.2169
"172",2021-04-21,0.2282
"173",2021-04-22,0.2291
"174",2021-04-23,0.2333
"175",2021-04-26,0.2656
"176",2021-04-27,0.2805
"177",2021-04-28,0.3117
"178",2021-04-29,0.2751
"179",2021-04-30,0.2751
"180",2021-05-03,0.2712
"181",2021-05-04,0.2885
"182",2021-05-05,0.3081
"183",2021-05-06,0.3091
"184",2021-05-07,0.3282
"185",2021-05-10,0.3487
"186",2021-05-11,0.3684
"187",2021-05-12,0.3987
"188",2021-05-13,0.3843
"189",2021-05-14,0.3623
"190",2021-05-17,0.3585
"191",2021-05-18,0.3597
"192",2021-05-19,0.3919
"193",2021-05-20,0.404
"194",2021-05-21,0.389
"195",2021-05-24,0.3894
"196",2021-05-25,0.3862
"197",2021-05-26,0.4105
"198",2021-05-27,0.3876
"199",2021-05-28,0.3746
"200",2021-06-01,0.3682
"201",2021-06-02,0.3663
"202",2021-06-03,0.3309
"203",2021-06-04,0.3264
"204",2021-06-07,0.3185
"205",2021-06-08,0.316
"206",2021-06-09,0.3311
"207",2021-06-10,0.3739
"208",2021-06-11,0.3516
"209",2021-06-14,0.3451
"210",2021-06-15,0.3268
"211",2021-06-16,0.3313
"212",2021-06-17,0.3464
"213",2021-06-18,0.3217
"214",2021-06-21,0.3103
"215",2021-06-22,0.3013
"216",2021-06-23,0.2969
"217",2021-06-24,0.3065
"218",2021-06-25,0.3117
"219",2021-06-28,0.2825
"220",2021-06-29,0.2769
"221",2021-06-30,0.2936
"222",2021-07-01,0.2803
"223",2021-07-02,0.2975
"224",2021-07-06,0.3002
"225",2021-07-07,0.3281
"226",2021-07-08,0.3431
"227",2021-07-09,0.3472
"228",2021-07-12,0.3608
"229",2021-07-13,0.3372
"230",2021-07-14,0.37
"231",2021-07-15,0.3306
"232",2021-07-16,0.2948
"233",2021-07-19,0.2702
"234",2021-07-20,0.2641
"235",2021-07-21,0.2909
"236",2021-07-22,0.3839
"237",2021-07-23,0.4125
"238",2021-07-26,0.3781
"239",2021-07-27,0.3643
"240",2021-07-28,0.3708
"241",2021-07-29,0.3903
"242",2021-07-30,0.4423
"243",2021-08-02,0.4437
"244",2021-08-03,0.4329
"245",2021-08-04,0.4356
"246",2021-08-05,0.4519
"247",2021-08-06,0.4666
"248",2021-08-09,0.4385
"249",2021-08-10,0.3989
"250",2021-08-11,0.388
"251",2021-08-12,0.3878
"252",2021-08-13,0.3634
"253",2021-08-16,0.3194
"254",2021-08-17,0.3465
"255",2021-08-18,0.3524
"256",2021-08-19,0.3673
"257",2021-08-20,0.348
"258",2021-08-23,0.3425
"259",2021-08-24,0.3299
"260",2021-08-25,0.321
"261",2021-08-26,0.3167
"262",2021-08-27,0.3451
"263",2021-08-30,0.3318
"264",2021-08-31,0.327
"265",2021-09-01,0.3314
"266",2021-09-02,0.3698
"267",2021-09-03,0.3957
"268",2021-09-07,0.378
"269",2021-09-08,0.3755
"270",2021-09-09,0.3587
"271",2021-09-10,0.3667
"272",2021-09-13,0.3817
"273",2021-09-14,0.382
"274",2021-09-15,0.3499
"275",2021-09-16,0.3378
"276",2021-09-17,0.3494
"277",2021-09-20,0.3599
"278",2021-09-21,0.3919
"279",2021-09-22,0.3683
"280",2021-09-23,0.3907
"281",2021-09-24,0.4022
"282",2021-09-27,0.3903
"283",2021-09-28,0.3633
"284",2021-09-29,0.3585
"285",2021-09-30,0.3453
"286",2021-10-01,0.3568
"287",2021-10-04,0.365
"288",2021-10-05,0.3531
"289",2021-10-06,0.3445
"290",2021-10-07,0.3317
"291",2021-10-08,0.3434
"292",2021-10-11,0.3504
"293",2021-10-12,0.3636
"294",2021-10-13,0.3671
"295",2021-10-14,0.3641
"296",2021-10-15,0.3667
"297",2021-10-18,0.3653
"298",2021-10-19,0.3505
"299",2021-10-20,0.3384
"300",2021-10-21,0.3371
"301",2021-10-22,0.3503
"302",2021-10-25,0.3999
"303",2021-10-26,0.3641
