"","date","WYNN"
"1",2020-08-14,0.3812
"2",2020-08-17,0.3477
"3",2020-08-18,0.3616
"4",2020-08-19,0.3439
"5",2020-08-20,0.324
"6",2020-08-21,0.3037
"7",2020-08-24,0.31
"8",2020-08-25,0.3347
"9",2020-08-26,0.3394
"10",2020-08-27,0.3361
"11",2020-08-28,0.3193
"12",2020-08-31,0.2836
"13",2020-09-01,0.3046
"14",2020-09-02,0.2879
"15",2020-09-03,0.321
"16",2020-09-04,0.3016
"17",2020-09-08,0.2517
"18",2020-09-09,0.2257
"19",2020-09-10,0.2366
"20",2020-09-11,0.2145
"21",2020-09-14,0.2369
"22",2020-09-15,0.2642
"23",2020-09-16,0.2564
"24",2020-09-17,0.2359
"25",2020-09-18,0.2357
"26",2020-09-21,0.2231
"27",2020-09-22,0.2131
"28",2020-09-23,0.2147
"29",2020-09-24,0.2272
"30",2020-09-25,0.2227
"31",2020-09-28,0.2316
"32",2020-09-29,0.2279
"33",2020-09-30,0.216
"34",2020-10-01,0.1942
"35",2020-10-02,0.1859
"36",2020-10-05,0.1825
"37",2020-10-06,0.1851
"38",2020-10-07,0.1698
"39",2020-10-08,0.1732
"40",2020-10-09,0.2052
"41",2020-10-12,0.2413
"42",2020-10-13,0.2204
"43",2020-10-14,0.2004
"44",2020-10-15,0.1776
"45",2020-10-16,0.169
"46",2020-10-19,0.1767
"47",2020-10-20,0.1797
"48",2020-10-21,0.1685
"49",2020-10-22,0.1468
"50",2020-10-23,0.1328
"51",2020-10-26,0.1683
"52",2020-10-27,0.2033
"53",2020-10-28,0.2275
"54",2020-10-29,0.2272
"55",2020-10-30,0.2478
"56",2020-11-02,0.2116
"57",2020-11-03,0.2199
"58",2020-11-04,0.2289
"59",2020-11-05,0.2103
"60",2020-11-06,0.2053
"61",2020-11-09,0.2141
"62",2020-11-10,0.1916
"63",2020-11-11,0.2166
"64",2020-11-12,0.2239
"65",2020-11-13,0.2564
"66",2020-11-16,0.266
"67",2020-11-17,0.2756
"68",2020-11-18,0.2813
"69",2020-11-19,0.2802
"70",2020-11-20,0.2868
"71",2020-11-23,0.2912
"72",2020-11-24,0.2584
"73",2020-11-25,0.2861
"74",2020-11-27,0.2917
"75",2020-11-30,0.3327
"76",2020-12-01,0.3482
"77",2020-12-02,0.3283
"78",2020-12-03,0.3175
"79",2020-12-04,0.336
"80",2020-12-07,0.3486
"81",2020-12-08,0.39
"82",2020-12-09,0.3909
"83",2020-12-10,0.3922
"84",2020-12-11,0.3734
"85",2020-12-14,0.4007
"86",2020-12-15,0.394
"87",2020-12-16,0.3918
"88",2020-12-17,0.3957
"89",2020-12-18,0.3637
"90",2020-12-21,0.3541
"91",2020-12-22,0.3835
"92",2020-12-23,0.3808
"93",2020-12-24,0.3876
"94",2020-12-28,0.3673
"95",2020-12-29,0.3479
"96",2020-12-30,0.3174
"97",2020-12-31,0.2732
"98",2021-01-04,0.1855
"99",2021-01-05,0.1798
"100",2021-01-06,0.1829
"101",2021-01-07,0.1936
"102",2021-01-08,0.1964
"103",2021-01-11,0.1979
"104",2021-01-12,0.1915
"105",2021-01-13,0.2007
"106",2021-01-14,0.223
"107",2021-01-15,0.2328
"108",2021-01-19,0.2228
"109",2021-01-20,0.2138
"110",2021-01-21,0.2091
"111",2021-01-22,0.2167
"112",2021-01-25,0.2338
"113",2021-01-26,0.2426
"114",2021-01-27,0.2158
"115",2021-01-28,0.2059
"116",2021-01-29,0.2047
"117",2021-02-01,0.2275
"118",2021-02-02,0.263
"119",2021-02-03,0.2664
"120",2021-02-04,0.2634
"121",2021-02-05,0.2855
"122",2021-02-08,0.2559
"123",2021-02-09,0.254
"124",2021-02-10,0.2392
"125",2021-02-11,0.2557
"126",2021-02-12,0.2327
"127",2021-02-16,0.2235
"128",2021-02-17,0.1978
"129",2021-02-18,0.2063
"130",2021-02-19,0.2274
"131",2021-02-22,0.232
"132",2021-02-23,0.2172
"133",2021-02-24,0.1972
"134",2021-02-25,0.1703
"135",2021-02-26,0.1864
