"","date","AIZ"
"187",2022-10-14,0.2949
"188",2022-10-17,0.2755
"189",2022-10-18,0.273
"190",2022-10-19,0.2695
"191",2022-10-20,0.2791
"192",2022-10-21,0.2655
"193",2022-10-24,0.2677
"194",2022-10-25,0.2457
"195",2022-10-26,0.2544
"196",2022-10-27,0.246
"197",2022-10-28,0.2375
"198",2022-10-31,0.236
"199",2022-11-01,0.2178
"200",2022-11-02,0.2218
"201",2022-11-03,0.2364
"202",2022-11-04,0.2216
"203",2022-11-07,0.2131
"204",2022-11-08,0.1995
"205",2022-11-09,0.2048
"206",2022-11-10,0.2009
"207",2022-11-11,0.2094
"208",2022-11-14,0.2059
"209",2022-11-15,0.2015
"210",2022-11-16,0.1837
"211",2022-11-17,0.2059
"212",2022-11-18,0.1878
"213",2022-11-21,0.195
"214",2022-11-22,0.1802
"215",2022-11-23,0.1783
"216",2022-11-25,0.1758
"217",2022-11-28,0.1949
"218",2022-11-29,0.1869
"219",2022-11-30,0.1894
"220",2022-12-01,0.1927
"221",2022-12-02,0.1942
"222",2022-12-05,0.1816
"223",2022-12-06,0.1782
"224",2022-12-07,0.17
"225",2022-12-08,0.1716
"226",2022-12-09,0.1646
"227",2022-12-12,0.1794
"228",2022-12-13,0.1912
"229",2022-12-14,0.1915
"230",2022-12-15,0.1918
"231",2022-12-16,0.2222
"232",2022-12-19,0.2118
"233",2022-12-20,0.2134
"234",2022-12-21,0.2095
"235",2022-12-22,0.2299
"236",2022-12-23,0.2461
"237",2022-12-27,0.278
"238",2022-12-28,0.2949
"239",2022-12-29,0.3137
"240",2022-12-30,0.334
"241",2023-01-03,0.3661
"242",2023-01-04,0.3744
"243",2023-01-05,0.3846
"244",2023-01-06,0.3948
"245",2023-01-09,0.4162
"246",2023-01-10,0.4297
"247",2023-01-11,0.4426
"248",2023-01-12,0.449
"249",2023-01-13,0.4369
"250",2023-01-17,0.4411
"251",2023-01-18,0.4328
"252",2023-01-19,0.3921
"253",2023-01-20,0.3865
"254",2023-01-23,0.3291
"255",2023-01-24,0.3377
"256",2023-01-25,0.3455
"257",2023-01-26,0.3311
"258",2023-01-27,0.3128
"259",2023-01-30,0.2931
"260",2023-01-31,0.2766
"261",2023-02-01,0.2959
"262",2023-02-02,0.2945
"263",2023-02-03,0.2894
"264",2023-02-06,0.2943
"265",2023-02-07,0.2952
"266",2023-02-08,0.2998
"267",2023-02-09,0.2997
"268",2023-02-10,0.2973
"269",2023-02-13,0.2831
"270",2023-02-14,0.285
"271",2023-02-15,0.2977
"272",2023-02-16,0.3021
"273",2023-02-17,0.2979
"274",2023-02-21,0.2924
"275",2023-02-22,0.2975
"276",2023-02-23,0.3059
"277",2023-02-24,0.3186
"278",2023-02-27,0.3215
"279",2023-02-28,0.3287
"280",2023-03-01,0.3286
"281",2023-03-02,0.3378
"282",2023-03-03,0.3235
"283",2023-03-06,0.3272
"284",2023-03-07,0.3257
"285",2023-03-08,0.3269
"286",2023-03-09,0.3244
"287",2023-03-10,0.3204
"288",2023-03-13,0.3295
"289",2023-03-14,0.3214
"290",2023-03-15,0.3154
"291",2023-03-16,0.335
"292",2023-03-17,0.3314
