"","date","WHR"
"186",2021-05-11,0.2279
"187",2021-05-12,0.2317
"188",2021-05-13,0.2112
"189",2021-05-14,0.2136
"190",2021-05-17,0.1917
"191",2021-05-18,0.2066
"192",2021-05-19,0.2437
"193",2021-05-20,0.2426
"194",2021-05-21,0.253
"195",2021-05-24,0.2647
"196",2021-05-25,0.2608
"197",2021-05-26,0.2437
"198",2021-05-27,0.2505
"199",2021-05-28,0.242
"200",2021-06-01,0.2182
"201",2021-06-02,0.2068
"202",2021-06-03,0.1997
"203",2021-06-04,0.2119
"204",2021-06-07,0.2204
"205",2021-06-08,0.227
"206",2021-06-09,0.1858
"207",2021-06-10,0.1584
"208",2021-06-11,0.1563
"209",2021-06-14,0.1556
"210",2021-06-15,0.1428
"211",2021-06-16,0.1569
"212",2021-06-17,0.1445
"213",2021-06-18,0.1534
"214",2021-06-21,0.1453
"215",2021-06-22,0.1167
"216",2021-06-23,0.0989
"217",2021-06-24,0.1122
"218",2021-06-25,0.1017
"219",2021-06-28,0.0936
"220",2021-06-29,0.089
"221",2021-06-30,0.0798
"222",2021-07-01,0.0599
"223",2021-07-02,0.0577
"224",2021-07-06,0.0568
"225",2021-07-07,0.0585
"226",2021-07-08,0.0750999999999999
"227",2021-07-09,0.0859
"228",2021-07-12,0.0879000000000001
"229",2021-07-13,0.0822999999999999
"230",2021-07-14,0.0827
"231",2021-07-15,0.0831
"232",2021-07-16,0.0857
"233",2021-07-19,0.08
"234",2021-07-20,0.0782
"235",2021-07-21,0.0764
"236",2021-07-22,0.0815
"237",2021-07-23,0.0804
"238",2021-07-26,0.0642
"239",2021-07-27,0.0456
"240",2021-07-28,0.0842000000000001
"241",2021-07-29,0.1308
"242",2021-07-30,0.1542
"243",2021-08-02,0.17
"244",2021-08-03,0.1821
"245",2021-08-04,0.2119
"246",2021-08-05,0.2559
"247",2021-08-06,0.3185
"248",2021-08-09,0.3724
"249",2021-08-10,0.4234
"250",2021-08-11,0.4878
"251",2021-08-12,0.5631
"252",2021-08-13,0.6196
"253",2021-08-16,0.6299
"254",2021-08-17,0.5629
"255",2021-08-18,0.5312
"256",2021-08-19,0.453
"257",2021-08-20,0.3851
"258",2021-08-23,0.3456
"259",2021-08-24,0.3519
"260",2021-08-25,0.3114
"261",2021-08-26,0.325
"262",2021-08-27,0.35
"263",2021-08-30,0.3441
"264",2021-08-31,0.3621
"265",2021-09-01,0.3492
"266",2021-09-02,0.3692
"267",2021-09-03,0.3642
"268",2021-09-07,0.3477
"269",2021-09-08,0.3274
"270",2021-09-09,0.3134
"271",2021-09-10,0.3154
"272",2021-09-13,0.316
"273",2021-09-14,0.3136
"274",2021-09-15,0.304
"275",2021-09-16,0.2832
"276",2021-09-17,0.3041
"277",2021-09-20,0.3133
"278",2021-09-21,0.303
"279",2021-09-22,0.3006
"280",2021-09-23,0.3059
"281",2021-09-24,0.286
"282",2021-09-27,0.2817
"283",2021-09-28,0.2877
"284",2021-09-29,0.295
"285",2021-09-30,0.2967
"286",2021-10-01,0.2636
"287",2021-10-04,0.2497
"288",2021-10-05,0.2431
"289",2021-10-06,0.2443
"290",2021-10-07,0.2512
"291",2021-10-08,0.2524
"292",2021-10-11,0.2376
"293",2021-10-12,0.226
"294",2021-10-13,0.2251
"295",2021-10-14,0.2188
"296",2021-10-15,0.2217
"297",2021-10-18,0.214
"298",2021-10-19,0.1927
"299",2021-10-20,0.1864
"300",2021-10-21,0.197
"301",2021-10-22,0.2083
"302",2021-10-25,0.2126
"303",2021-10-26,0.1878
"304",2021-10-27,0.1845
"305",2021-10-28,0.1813
"306",2021-10-29,0.1846
"307",2021-11-01,0.1685
"308",2021-11-02,0.1484
"309",2021-11-03,0.1298
"310",2021-11-04,0.1254
"311",2021-11-05,0.1431
"312",2021-11-08,0.1546
"313",2021-11-09,0.1477
"314",2021-11-10,0.1202
"315",2021-11-11,0.1069
"316",2021-11-12,0.113
"317",2021-11-15,0.1198
"318",2021-11-16,0.118
"319",2021-11-17,0.1027
"320",2021-11-18,0.0692
"321",2021-11-19,0.0806
"322",2021-11-22,0.0878
"323",2021-11-23,0.089
"324",2021-11-24,0.0778
"325",2021-11-26,0.0753
"326",2021-11-29,0.0841999999999999
"327",2021-11-30,0.0863999999999999
"328",2021-12-01,0.1024
"329",2021-12-02,0.1042
"330",2021-12-03,0.1074
"331",2021-12-06,0.1138
"332",2021-12-07,0.1312
"333",2021-12-08,0.1477
"334",2021-12-09,0.1408
"335",2021-12-10,0.135
"336",2021-12-13,0.1493
"337",2021-12-14,0.1523
"338",2021-12-15,0.1653
"339",2021-12-16,0.1878
"340",2021-12-17,0.204
"341",2021-12-20,0.2235
"342",2021-12-21,0.2182
"343",2021-12-22,0.2167
"344",2021-12-23,0.2084
"345",2021-12-27,0.2134
"346",2021-12-28,0.217
"347",2021-12-29,0.218
"348",2021-12-30,0.2128
"349",2021-12-31,0.2192
"350",2022-01-03,0.2387
"351",2022-01-04,0.2448
"352",2022-01-05,0.2417
"353",2022-01-06,0.2273
"354",2022-01-07,0.2136
"355",2022-01-10,0.2104
"356",2022-01-11,0.2206
"357",2022-01-12,0.2185
"358",2022-01-13,0.2085
"359",2022-01-14,0.201
"360",2022-01-18,0.2253
"361",2022-01-19,0.2516
"362",2022-01-20,0.2521
"363",2022-01-21,0.2363
"364",2022-01-24,0.2194
"365",2022-01-25,0.2071
"366",2022-01-26,0.2144
"367",2022-01-27,0.2298
"368",2022-01-28,0.2119
"369",2022-01-31,0.1992
"370",2022-02-01,0.1889
"371",2022-02-02,0.1998
"372",2022-02-03,0.215
"373",2022-02-04,0.2102
"374",2022-02-07,0.2022
"375",2022-02-08,0.1991
"376",2022-02-09,0.1901
"377",2022-02-10,0.1894
"378",2022-02-11,0.2033
"379",2022-02-14,0.1952
"380",2022-02-15,0.1908
"381",2022-02-16,0.2117
"382",2022-02-17,0.2133
"383",2022-02-18,0.2042
"384",2022-02-22,0.209
"385",2022-02-23,0.2126
"386",2022-02-24,0.2078
"387",2022-02-25,0.205
"388",2022-02-28,0.2171
"389",2022-03-01,0.212
"390",2022-03-02,0.2085
"391",2022-03-03,0.2123
"392",2022-03-04,0.2224
"393",2022-03-07,0.2304
"394",2022-03-08,0.2178
"395",2022-03-09,0.2071
"396",2022-03-10,0.1992
"397",2022-03-11,0.1798
"398",2022-03-14,0.1767
"399",2022-03-15,0.183
"400",2022-03-16,0.1941
"401",2022-03-17,0.1985
"402",2022-03-18,0.1828
"403",2022-03-21,0.1782
"404",2022-03-22,0.1618
"405",2022-03-23,0.1766
"406",2022-03-24,0.1928
"407",2022-03-25,0.169
"408",2022-03-28,0.1632
"409",2022-03-29,0.1572
"410",2022-03-30,0.1714
"411",2022-03-31,0.1957
"412",2022-04-01,0.1929
"413",2022-04-04,0.1804
"414",2022-04-05,0.1834
"415",2022-04-06,0.1763
"416",2022-04-07,0.1886
"417",2022-04-08,0.2045
"418",2022-04-11,0.1974
"419",2022-04-12,0.1809
"420",2022-04-13,0.199
"421",2022-04-14,0.1981
"422",2022-04-18,0.1936
"423",2022-04-19,0.1921
"424",2022-04-20,0.1772
"425",2022-04-21,0.1699
"426",2022-04-22,0.1813
"427",2022-04-25,0.1918
"428",2022-04-26,0.1888
"429",2022-04-27,0.194
"430",2022-04-28,0.1891
"431",2022-04-29,0.1948
"432",2022-05-02,0.191
"433",2022-05-03,0.185
"434",2022-05-04,0.1834
"435",2022-05-05,0.1875
"436",2022-05-06,0.1892
"437",2022-05-09,0.1903
"438",2022-05-10,0.1963
"439",2022-05-11,0.2028
"440",2022-05-12,0.2034
"441",2022-05-13,0.1982
"442",2022-05-16,0.2015
"443",2022-05-17,0.204
"444",2022-05-18,0.2222
"445",2022-05-19,0.2224
"446",2022-05-20,0.1945
"447",2022-05-23,0.1928
"448",2022-05-24,0.1906
"449",2022-05-25,0.1962
"450",2022-05-26,0.2186
"451",2022-05-27,0.2359
"452",2022-05-31,0.224
"453",2022-06-01,0.2222
"454",2022-06-02,0.2141
"455",2022-06-03,0.2191
"456",2022-06-06,0.2159
"457",2022-06-07,0.2024
"458",2022-06-08,0.2163
"459",2022-06-09,0.2289
"460",2022-06-10,0.2343
"461",2022-06-13,0.2374
"462",2022-06-14,0.2308
"463",2022-06-15,0.207
"464",2022-06-16,0.1941
"465",2022-06-17,0.2107
"466",2022-06-21,0.2184
"467",2022-06-22,0.1925
"468",2022-06-23,0.1993
"469",2022-06-24,0.2169
"470",2022-06-27,0.2278
"471",2022-06-28,0.2443
"472",2022-06-29,0.2412
"473",2022-06-30,0.2238
"474",2022-07-01,0.1845
"475",2022-07-05,0.1891
"476",2022-07-06,0.178
"477",2022-07-07,0.1937
"478",2022-07-08,0.178
"479",2022-07-11,0.176
"480",2022-07-12,0.2038
"481",2022-07-13,0.2155
"482",2022-07-14,0.2074
"483",2022-07-15,0.1933
"484",2022-07-18,0.1815
"485",2022-07-19,0.1626
"486",2022-07-20,0.1604
"487",2022-07-21,0.1571
"488",2022-07-22,0.1546
"489",2022-07-25,0.1482
"490",2022-07-26,0.1463
"491",2022-07-27,0.1496
"492",2022-07-28,0.1548
"493",2022-07-29,0.1557
"494",2022-08-01,0.1597
"495",2022-08-02,0.1473
"496",2022-08-03,0.123
"497",2022-08-04,0.1116
"498",2022-08-05,0.1171
"499",2022-08-08,0.142
"500",2022-08-09,0.1419
"501",2022-08-10,0.1485
"502",2022-08-11,0.1423
"503",2022-08-12,0.1363
"504",2022-08-15,0.1505
"505",2022-08-16,0.1681
"506",2022-08-17,0.1694
"507",2022-08-18,0.1661
"508",2022-08-19,0.1651
"509",2022-08-22,0.1605
"510",2022-08-23,0.1805
"511",2022-08-24,0.1702
"512",2022-08-25,0.1516
"513",2022-08-26,0.1641
"514",2022-08-29,0.172
"515",2022-08-30,0.1768
"516",2022-08-31,0.1868
"517",2022-09-01,0.1796
"518",2022-09-02,0.1931
"519",2022-09-06,0.1957
"520",2022-09-07,0.1822
"521",2022-09-08,0.184
"522",2022-09-09,0.1823
"523",2022-09-12,0.1798
"524",2022-09-13,0.1798
"525",2022-09-14,0.2007
"526",2022-09-15,0.2025
"527",2022-09-16,0.1887
"528",2022-09-19,0.1865
"529",2022-09-20,0.1815
"530",2022-09-21,0.1792
"531",2022-09-22,0.1831
"532",2022-09-23,0.1844
"533",2022-09-26,0.1629
"534",2022-09-27,0.1772
"535",2022-09-28,0.1873
"536",2022-09-29,0.1837
"537",2022-09-30,0.177
"538",2022-10-03,0.1721
"539",2022-10-04,0.1706
"540",2022-10-05,0.1927
"541",2022-10-06,0.2087
"542",2022-10-07,0.2146
"543",2022-10-10,0.2266
"544",2022-10-11,0.2176
"545",2022-10-12,0.2055
