"","date","PNW"
"1",2020-08-14,0.2229
"2",2020-08-17,0.223
"3",2020-08-18,0.2574
"4",2020-08-19,0.2185
"5",2020-08-20,0.2252
"6",2020-08-21,0.2051
"7",2020-08-24,0.2108
"8",2020-08-25,0.2347
"9",2020-08-26,0.2523
"10",2020-08-27,0.252
"11",2020-08-28,0.2679
"12",2020-08-31,0.2489
"13",2020-09-01,0.2712
"14",2020-09-02,0.2256
"15",2020-09-03,0.2611
"16",2020-09-04,0.242
"17",2020-09-08,0.2699
"18",2020-09-09,0.2473
"19",2020-09-10,0.2493
"20",2020-09-11,0.2025
"21",2020-09-14,0.2327
"22",2020-09-15,0.2411
"23",2020-09-16,0.2748
"24",2020-09-17,0.2839
"25",2020-09-18,0.2954
"26",2020-09-21,0.2628
"27",2020-09-22,0.2911
"28",2020-09-23,0.2716
"29",2020-09-24,0.2798
"30",2020-09-25,0.2512
"31",2020-09-28,0.2671
"32",2020-09-29,0.2641
"33",2020-09-30,0.2856
"34",2020-10-01,0.2666
"35",2020-10-02,0.2703
"36",2020-10-05,0.2277
"37",2020-10-06,0.2512
"38",2020-10-07,0.26
"39",2020-10-08,0.3138
"40",2020-10-09,0.2767
"41",2020-10-12,0.2953
"42",2020-10-13,0.2934
"43",2020-10-14,0.2922
"44",2020-10-15,0.2458
"45",2020-10-16,0.2561
"46",2020-10-19,0.2453
"47",2020-10-20,0.2832
"48",2020-10-21,0.286
"49",2020-10-22,0.2863
"50",2020-10-23,0.2536
"51",2020-10-26,0.2684
"52",2020-10-27,0.2747
"53",2020-10-28,0.3321
"54",2020-10-29,0.305
"55",2020-10-30,0.3342
"56",2020-11-02,0.2971
"57",2020-11-03,0.3324
"58",2020-11-04,0.3409
"59",2020-11-05,0.3515
"60",2020-11-06,0.3397
"61",2020-11-09,0.3339
"62",2020-11-10,0.3026
"63",2020-11-11,0.3525
"64",2020-11-12,0.3185
"65",2020-11-13,0.3399
"66",2020-11-16,0.3343
"67",2020-11-17,0.3415
"68",2020-11-18,0.3527
"69",2020-11-19,0.3502
"70",2020-11-20,0.3189
"71",2020-11-23,0.3287
"72",2020-11-24,0.3072
"73",2020-11-25,0.3235
"74",2020-11-27,0.3043
"75",2020-11-30,0.3376
"76",2020-12-01,0.3109
"77",2020-12-02,0.3266
"78",2020-12-03,0.3025
"79",2020-12-04,0.3238
"80",2020-12-07,0.2956
"81",2020-12-08,0.3189
"82",2020-12-09,0.3301
"83",2020-12-10,0.3456
"84",2020-12-11,0.3136
"85",2020-12-14,0.3328
"86",2020-12-15,0.3181
"87",2020-12-16,0.3713
"88",2020-12-17,0.3857
"89",2020-12-18,0.4119
"90",2020-12-21,0.4004
"91",2020-12-22,0.3842
"92",2020-12-23,0.3988
"93",2020-12-24,0.447
"94",2020-12-28,0.4302
"95",2020-12-29,0.4496
"96",2020-12-30,0.4456
"97",2020-12-31,0.4734
"98",2021-01-04,0.4716
"99",2021-01-05,0.501
"100",2021-01-06,0.4321
"101",2021-01-07,0.4436
"102",2021-01-08,0.4393
