"","date","WRK"
"1",2020-08-14,0.0886
"2",2020-08-17,0.097
"3",2020-08-18,0.1112
"4",2020-08-19,0.1361
"5",2020-08-20,0.1513
"6",2020-08-21,0.1721
"7",2020-08-24,0.1721
"8",2020-08-25,0.1533
"9",2020-08-26,0.1235
"10",2020-08-27,0.1196
"11",2020-08-28,0.1198
"12",2020-08-31,0.1098
"13",2020-09-01,0.1234
"14",2020-09-02,0.1366
"15",2020-09-03,0.1368
"16",2020-09-04,0.1405
"17",2020-09-08,0.1218
"18",2020-09-09,0.1208
"19",2020-09-10,0.1267
"20",2020-09-11,0.131
"21",2020-09-14,0.133
"22",2020-09-15,0.119
"23",2020-09-16,0.1066
"24",2020-09-17,0.1015
"25",2020-09-18,0.1338
"26",2020-09-21,0.1443
"27",2020-09-22,0.1177
"28",2020-09-23,0.1106
"29",2020-09-24,0.1288
"30",2020-09-25,0.1279
"31",2020-09-28,0.1165
"32",2020-09-29,0.1174
"33",2020-09-30,0.1237
"34",2020-10-01,0.1261
"35",2020-10-02,0.1345
"36",2020-10-05,0.1284
"37",2020-10-06,0.1265
"38",2020-10-07,0.1415
"39",2020-10-08,0.1398
"40",2020-10-09,0.1468
"41",2020-10-12,0.1242
"42",2020-10-13,0.0974
"43",2020-10-14,0.1124
"44",2020-10-15,0.1248
"45",2020-10-16,0.1171
"46",2020-10-19,0.1187
"47",2020-10-20,0.1003
"48",2020-10-21,0.0894
"49",2020-10-22,0.093
"50",2020-10-23,0.1221
"51",2020-10-26,0.1291
"52",2020-10-27,0.1167
"53",2020-10-28,0.1028
"54",2020-10-29,0.0946
"55",2020-10-30,0.0923
"56",2020-11-02,0.0983
"57",2020-11-03,0.0904
"58",2020-11-04,0.0906
"59",2020-11-05,0.0905
"60",2020-11-06,0.0741
"61",2020-11-09,0.0871999999999999
"62",2020-11-10,0.0892999999999999
"63",2020-11-11,0.0915
"64",2020-11-12,0.095
"65",2020-11-13,0.0984
"66",2020-11-16,0.1231
"67",2020-11-17,0.1236
"68",2020-11-18,0.1319
"69",2020-11-19,0.1389
"70",2020-11-20,0.1472
"71",2020-11-23,0.143
"72",2020-11-24,0.1189
"73",2020-11-25,0.1127
"74",2020-11-27,0.1371
"75",2020-11-30,0.1299
"76",2020-12-01,0.1569
"77",2020-12-02,0.1556
"78",2020-12-03,0.1431
"79",2020-12-04,0.13
"80",2020-12-07,0.125
"81",2020-12-08,0.1318
"82",2020-12-09,0.133
"83",2020-12-10,0.143
"84",2020-12-11,0.1473
"85",2020-12-14,0.1536
"86",2020-12-15,0.154
"87",2020-12-16,0.126
"88",2020-12-17,0.1218
"89",2020-12-18,0.1253
"90",2020-12-21,0.1431
"91",2020-12-22,0.1469
"92",2020-12-23,0.1488
"93",2020-12-24,0.1554
"94",2020-12-28,0.1638
"95",2020-12-29,0.1698
"96",2020-12-30,0.1663
"97",2020-12-31,0.1532
"98",2021-01-04,0.168
"99",2021-01-05,0.1662
"100",2021-01-06,0.1564
"101",2021-01-07,0.1513
"102",2021-01-08,0.1425
"103",2021-01-11,0.1548
"104",2021-01-12,0.1654
"105",2021-01-13,0.1743
"106",2021-01-14,0.1884
"107",2021-01-15,0.1748
"108",2021-01-19,0.1506
"109",2021-01-20,0.171
"110",2021-01-21,0.2004
"111",2021-01-22,0.1907
"112",2021-01-25,0.1781
"113",2021-01-26,0.178
"114",2021-01-27,0.1872
"115",2021-01-28,0.1973
"116",2021-01-29,0.215
"117",2021-02-01,0.2039
"118",2021-02-02,0.1965
"119",2021-02-03,0.1882
"120",2021-02-04,0.1841
"121",2021-02-05,0.1926
"122",2021-02-08,0.1886
"123",2021-02-09,0.2066
"124",2021-02-10,0.2122
"125",2021-02-11,0.2102
"126",2021-02-12,0.2101
"127",2021-02-16,0.1754
"128",2021-02-17,0.1582
"129",2021-02-18,0.1124
"130",2021-02-19,0.079
"131",2021-02-22,0.0499
"132",2021-02-23,0.0322
"133",2021-02-24,0.0399
"134",2021-02-25,0.0544
"135",2021-02-26,0.0415
"136",2021-03-01,0.0553
"137",2021-03-02,0.0628
"138",2021-03-03,0.0568
"139",2021-03-04,0.0475
"140",2021-03-05,0.0499
"141",2021-03-08,0.0537
"142",2021-03-09,0.0489
"143",2021-03-10,0.0403
"144",2021-03-11,0.0414
"145",2021-03-12,0.0437
"146",2021-03-15,0.0382
"147",2021-03-16,0.0308
"148",2021-03-17,0.0304
"149",2021-03-18,0.0505
"150",2021-03-19,0.0637
"151",2021-03-22,0.0587
"152",2021-03-23,0.0455
"153",2021-03-24,0.0507
"154",2021-03-25,0.0561
"155",2021-03-26,0.0613
"156",2021-03-29,0.0743
"157",2021-03-30,0.0957999999999999
"158",2021-03-31,0.1249
"159",2021-04-01,0.1374
"160",2021-04-05,0.1525
"161",2021-04-06,0.1591
"162",2021-04-07,0.1644
"163",2021-04-08,0.1712
"164",2021-04-09,0.1714
"165",2021-04-12,0.1956
"166",2021-04-13,0.2032
"167",2021-04-14,0.1933
"168",2021-04-15,0.1941
"169",2021-04-16,0.1994
"170",2021-04-19,0.2136
"171",2021-04-20,0.2142
"172",2021-04-21,0.2233
"173",2021-04-22,0.2255
"174",2021-04-23,0.2202
"175",2021-04-26,0.2175
"176",2021-04-27,0.2302
"177",2021-04-28,0.2216
"178",2021-04-29,0.2305
"179",2021-04-30,0.2358
"180",2021-05-03,0.2247
"181",2021-05-04,0.2317
"182",2021-05-05,0.2552
"183",2021-05-06,0.2481
"184",2021-05-07,0.2514
"185",2021-05-10,0.2272
"186",2021-05-11,0.246
"187",2021-05-12,0.2281
"188",2021-05-13,0.2265
"189",2021-05-14,0.23
"190",2021-05-17,0.2384
"191",2021-05-18,0.2452
"192",2021-05-19,0.239
"193",2021-05-20,0.2433
"194",2021-05-21,0.2911
"195",2021-05-24,0.2764
"196",2021-05-25,0.269
"197",2021-05-26,0.2332
"198",2021-05-27,0.2273
"199",2021-05-28,0.1873
"200",2021-06-01,0.1821
"201",2021-06-02,0.1942
"202",2021-06-03,0.2016
"203",2021-06-04,0.1743
"204",2021-06-07,0.1415
"205",2021-06-08,0.1486
"206",2021-06-09,0.1531
"207",2021-06-10,0.1535
"208",2021-06-11,0.1487
"209",2021-06-14,0.1281
"210",2021-06-15,0.1363
"211",2021-06-16,0.1258
"212",2021-06-17,0.1226
"213",2021-06-18,0.1223
"214",2021-06-21,0.1349
"215",2021-06-22,0.1219
"216",2021-06-23,0.1111
"217",2021-06-24,0.0987999999999999
"218",2021-06-25,0.0816
"219",2021-06-28,0.0847
"220",2021-06-29,0.1063
"221",2021-06-30,0.1034
"222",2021-07-01,0.1019
"223",2021-07-02,0.0871
"224",2021-07-06,0.0863
"225",2021-07-07,0.0876999999999999
"226",2021-07-08,0.093
"227",2021-07-09,0.1039
"228",2021-07-12,0.1067
"229",2021-07-13,0.0977
"230",2021-07-14,0.0945
"231",2021-07-15,0.0954
"232",2021-07-16,0.1151
"233",2021-07-19,0.124
"234",2021-07-20,0.1084
"235",2021-07-21,0.1234
"236",2021-07-22,0.1296
"237",2021-07-23,0.1597
"238",2021-07-26,0.1932
"239",2021-07-27,0.2001
"240",2021-07-28,0.2243
"241",2021-07-29,0.2469
"242",2021-07-30,0.2844
"243",2021-08-02,0.3101
"244",2021-08-03,0.3155
"245",2021-08-04,0.3207
"246",2021-08-05,0.3632
"247",2021-08-06,0.3495
"248",2021-08-09,0.3272
"249",2021-08-10,0.3071
"250",2021-08-11,0.302
"251",2021-08-12,0.2754
"252",2021-08-13,0.2716
"253",2021-08-16,0.2807
"254",2021-08-17,0.2613
"255",2021-08-18,0.2741
"256",2021-08-19,0.2827
"257",2021-08-20,0.2984
"258",2021-08-23,0.3016
"259",2021-08-24,0.2839
"260",2021-08-25,0.2971
"261",2021-08-26,0.3109
"262",2021-08-27,0.3211
"263",2021-08-30,0.3173
"264",2021-08-31,0.3064
"265",2021-09-01,0.3146
"266",2021-09-02,0.3361
"267",2021-09-03,0.3271
"268",2021-09-07,0.3167
"269",2021-09-08,0.2702
"270",2021-09-09,0.2727
"271",2021-09-10,0.28
"272",2021-09-13,0.2794
"273",2021-09-14,0.2882
"274",2021-09-15,0.2872
"275",2021-09-16,0.3086
"276",2021-09-17,0.3222
"277",2021-09-20,0.3368
"278",2021-09-21,0.3536
"279",2021-09-22,0.3727
"280",2021-09-23,0.3907
"281",2021-09-24,0.3672
"282",2021-09-27,0.3714
"283",2021-09-28,0.3577
"284",2021-09-29,0.355
"285",2021-09-30,0.3973
"286",2021-10-01,0.3783
"287",2021-10-04,0.3526
"288",2021-10-05,0.3129
"289",2021-10-06,0.2454
"290",2021-10-07,0.2402
"291",2021-10-08,0.2616
"292",2021-10-11,0.2779
"293",2021-10-12,0.2641
"294",2021-10-13,0.2586
"295",2021-10-14,0.2506
"296",2021-10-15,0.258
"297",2021-10-18,0.2665
"298",2021-10-19,0.2806
"299",2021-10-20,0.2767
"300",2021-10-21,0.2604
"301",2021-10-22,0.2741
"302",2021-10-25,0.2764
"303",2021-10-26,0.2587
"304",2021-10-27,0.2451
"305",2021-10-28,0.2588
"306",2021-10-29,0.2646
"307",2021-11-01,0.2406
"308",2021-11-02,0.2169
"309",2021-11-03,0.1843
"310",2021-11-04,0.1815
"311",2021-11-05,0.202
"312",2021-11-08,0.2218
"313",2021-11-09,0.2269
"314",2021-11-10,0.1969
"315",2021-11-11,0.1984
"316",2021-11-12,0.2006
"317",2021-11-15,0.2097
"318",2021-11-16,0.2215
"319",2021-11-17,0.2105
"320",2021-11-18,0.1865
"321",2021-11-19,0.1959
"322",2021-11-22,0.2034
"323",2021-11-23,0.2073
"324",2021-11-24,0.201
"325",2021-11-26,0.192
"326",2021-11-29,0.1899
"327",2021-11-30,0.185
"328",2021-12-01,0.1912
"329",2021-12-02,0.1761
"330",2021-12-03,0.1636
"331",2021-12-06,0.1776
"332",2021-12-07,0.1846
"333",2021-12-08,0.207
"334",2021-12-09,0.1906
"335",2021-12-10,0.1778
"336",2021-12-13,0.1688
"337",2021-12-14,0.1648
"338",2021-12-15,0.161
"339",2021-12-16,0.1475
"340",2021-12-17,0.1453
"341",2021-12-20,0.1528
"342",2021-12-21,0.1592
"343",2021-12-22,0.1646
"344",2021-12-23,0.1515
"345",2021-12-27,0.1551
"346",2021-12-28,0.1533
"347",2021-12-29,0.1566
"348",2021-12-30,0.161
"349",2021-12-31,0.1549
"350",2022-01-03,0.1592
"351",2022-01-04,0.1408
"352",2022-01-05,0.1533
"353",2022-01-06,0.1534
"354",2022-01-07,0.1417
"355",2022-01-10,0.1428
"356",2022-01-11,0.1413
"357",2022-01-12,0.1517
"358",2022-01-13,0.1437
"359",2022-01-14,0.1389
"360",2022-01-18,0.1289
"361",2022-01-19,0.1396
"362",2022-01-20,0.1469
"363",2022-01-21,0.1524
"364",2022-01-24,0.1497
"365",2022-01-25,0.1435
"366",2022-01-26,0.1499
"367",2022-01-27,0.1475
"368",2022-01-28,0.1441
