"","date","PARA"
"1",2022-01-19,0.2409
"2",2022-01-20,0.233
"3",2022-01-21,0.2427
"4",2022-01-24,0.2448
"5",2022-01-25,0.2567
"6",2022-01-26,0.2529
"7",2022-01-27,0.2368
"8",2022-01-28,0.2181
"9",2022-01-31,0.2311
"10",2022-02-01,0.2397
"11",2022-02-02,0.2553
"12",2022-02-03,0.2515
"13",2022-02-04,0.2479
"14",2022-02-07,0.2425
"15",2022-02-08,0.252
"16",2022-02-09,0.2441
"17",2022-02-10,0.2278
"18",2022-02-11,0.2097
"19",2022-02-14,0.2079
"20",2022-02-15,0.2125
"21",2022-02-16,0.2245
"22",2022-02-17,0.2247
"23",2022-02-18,0.2281
"24",2022-02-22,0.2231
"25",2022-02-23,0.2282
"26",2022-02-24,0.2227
"27",2022-02-25,0.2181
"28",2022-02-28,0.2038
"29",2022-03-01,0.2018
"30",2022-03-02,0.2008
"31",2022-03-03,0.1965
"32",2022-03-04,0.1868
"33",2022-03-07,0.196
"34",2022-03-08,0.2044
"35",2022-03-09,0.2244
"36",2022-03-10,0.221
"37",2022-03-11,0.2173
"38",2022-03-14,0.2141
"39",2022-03-15,0.2152
"40",2022-03-16,0.221
"41",2022-03-17,0.2299
"42",2022-03-18,0.2305
"43",2022-03-21,0.2156
"44",2022-03-22,0.1883
"45",2022-03-23,0.1883
"46",2022-03-24,0.187
"47",2022-03-25,0.1961
"48",2022-03-28,0.195
"49",2022-03-29,0.1933
"50",2022-03-30,0.1866
"51",2022-03-31,0.1913
"52",2022-04-01,0.1848
"53",2022-04-04,0.1955
"54",2022-04-05,0.2033
"55",2022-04-06,0.2152
"56",2022-04-07,0.2114
"57",2022-04-08,0.2095
"58",2022-04-11,0.2098
"59",2022-04-12,0.2191
"60",2022-04-13,0.2203
"61",2022-04-14,0.2107
"62",2022-04-18,0.1892
"63",2022-04-19,0.1799
"64",2022-04-20,0.1695
"65",2022-04-21,0.1859
"66",2022-04-22,0.1971
"67",2022-04-25,0.206
"68",2022-04-26,0.2025
"69",2022-04-27,0.2027
"70",2022-04-28,0.1917
"71",2022-04-29,0.1892
"72",2022-05-02,0.1803
"73",2022-05-03,0.1992
"74",2022-05-04,0.2102
"75",2022-05-05,0.2317
"76",2022-05-06,0.2407
"77",2022-05-09,0.2381
"78",2022-05-10,0.2312
"79",2022-05-11,0.2343
"80",2022-05-12,0.2291
"81",2022-05-13,0.2473
"82",2022-05-16,0.243
"83",2022-05-17,0.2534
"84",2022-05-18,0.2479
"85",2022-05-19,0.2556
"86",2022-05-20,0.257
"87",2022-05-23,0.2566
"88",2022-05-24,0.2535
"89",2022-05-25,0.2561
"90",2022-05-26,0.2526
"91",2022-05-27,0.2426
"92",2022-05-31,0.2239
"93",2022-06-01,0.2308
"94",2022-06-02,0.2246
"95",2022-06-03,0.2507
"96",2022-06-06,0.2576
