"","date","CTLT"
"1",2022-01-19,0.204
"2",2022-01-20,0.1917
"3",2022-01-21,0.1949
"4",2022-01-24,0.1822
"5",2022-01-25,0.188
"6",2022-01-26,0.1973
"7",2022-01-27,0.1944
"8",2022-01-28,0.198
"9",2022-01-31,0.2002
"10",2022-02-01,0.2094
"11",2022-02-02,0.2276
"12",2022-02-03,0.2199
"13",2022-02-04,0.2172
"14",2022-02-07,0.1999
"15",2022-02-08,0.1993
"16",2022-02-09,0.1964
"17",2022-02-10,0.1937
"18",2022-02-11,0.1932
"19",2022-02-14,0.1885
"20",2022-02-15,0.1757
"21",2022-02-16,0.1943
"22",2022-02-17,0.2101
"23",2022-02-18,0.2149
"24",2022-02-22,0.2086
"25",2022-02-23,0.2124
"26",2022-02-24,0.2058
"27",2022-02-25,0.2066
"28",2022-02-28,0.2132
"29",2022-03-01,0.2045
"30",2022-03-02,0.1958
"31",2022-03-03,0.1986
"32",2022-03-04,0.1993
"33",2022-03-07,0.2007
"34",2022-03-08,0.1882
"35",2022-03-09,0.1823
"36",2022-03-10,0.1891
"37",2022-03-11,0.1962
"38",2022-03-14,0.1955
"39",2022-03-15,0.1946
"40",2022-03-16,0.1987
"41",2022-03-17,0.2094
"42",2022-03-18,0.2223
"43",2022-03-21,0.2131
"44",2022-03-22,0.1886
"45",2022-03-23,0.1823
"46",2022-03-24,0.1833
"47",2022-03-25,0.1872
"48",2022-03-28,0.1921
"49",2022-03-29,0.1856
"50",2022-03-30,0.1714
"51",2022-03-31,0.1753
"52",2022-04-01,0.1968
"53",2022-04-04,0.2144
"54",2022-04-05,0.2122
"55",2022-04-06,0.2133
"56",2022-04-07,0.2012
"57",2022-04-08,0.1965
"58",2022-04-11,0.1916
"59",2022-04-12,0.1833
"60",2022-04-13,0.1836
"61",2022-04-14,0.1941
"62",2022-04-18,0.1836
"63",2022-04-19,0.189
"64",2022-04-20,0.1809
"65",2022-04-21,0.1836
"66",2022-04-22,0.1971
"67",2022-04-25,0.1898
"68",2022-04-26,0.1964
"69",2022-04-27,0.1989
"70",2022-04-28,0.2163
"71",2022-04-29,0.216
"72",2022-05-02,0.2091
"73",2022-05-03,0.2107
"74",2022-05-04,0.2065
"75",2022-05-05,0.2176
"76",2022-05-06,0.2265
"77",2022-05-09,0.223
"78",2022-05-10,0.2153
"79",2022-05-11,0.2205
"80",2022-05-12,0.2235
"81",2022-05-13,0.2382
"82",2022-05-16,0.2485
"83",2022-05-17,0.2513
"84",2022-05-18,0.2473
"85",2022-05-19,0.2525
"86",2022-05-20,0.248
"87",2022-05-23,0.2501
"88",2022-05-24,0.2496
"89",2022-05-25,0.2433
"90",2022-05-26,0.2472
"91",2022-05-27,0.2539
"92",2022-05-31,0.2609
"93",2022-06-01,0.2728
"94",2022-06-02,0.2719
"95",2022-06-03,0.2719
"96",2022-06-06,0.2826
"97",2022-06-07,0.2875
"98",2022-06-08,0.2848
"99",2022-06-09,0.2785
"100",2022-06-10,0.2648
"101",2022-06-13,0.2783
"102",2022-06-14,0.2888
"103",2022-06-15,0.2845
"104",2022-06-16,0.2736
"105",2022-06-17,0.2781
"106",2022-06-21,0.2872
"107",2022-06-22,0.2863
"108",2022-06-23,0.2884
"109",2022-06-24,0.2874
"110",2022-06-27,0.2745
"111",2022-06-28,0.2722
"112",2022-06-29,0.2821
"113",2022-06-30,0.2852
"114",2022-07-01,0.2672
"115",2022-07-05,0.2634
"116",2022-07-06,0.2538
"117",2022-07-07,0.2547
"118",2022-07-08,0.2701
"119",2022-07-11,0.2682
"120",2022-07-12,0.2653
"121",2022-07-13,0.2715
"122",2022-07-14,0.2597
"123",2022-07-15,0.2567
"124",2022-07-18,0.2428
"125",2022-07-19,0.2364
"126",2022-07-20,0.2366
"127",2022-07-21,0.2275
"128",2022-07-22,0.2234
"129",2022-07-25,0.2189
"130",2022-07-26,0.2194
"131",2022-07-27,0.2317
"132",2022-07-28,0.2361
"133",2022-07-29,0.2311
"134",2022-08-01,0.212
"135",2022-08-02,0.2196
"136",2022-08-03,0.244
"137",2022-08-04,0.2584
"138",2022-08-05,0.2697
"139",2022-08-08,0.2517
"140",2022-08-09,0.2388
"141",2022-08-10,0.2405
"142",2022-08-11,0.2391
"143",2022-08-12,0.2406
"144",2022-08-15,0.2376
"145",2022-08-16,0.2406
"146",2022-08-17,0.2292
"147",2022-08-18,0.222
"148",2022-08-19,0.2241
"149",2022-08-22,0.219
"150",2022-08-23,0.2111
"151",2022-08-24,0.2166
"152",2022-08-25,0.2106
"153",2022-08-26,0.2076
"154",2022-08-29,0.1996
"155",2022-08-30,0.1867
"156",2022-08-31,0.1807
"157",2022-09-01,0.1872
