"","date","HII"
"1",2022-01-19,0.1314
"2",2022-01-20,0.1309
"3",2022-01-21,0.144
"4",2022-01-24,0.1386
"5",2022-01-25,0.1503
"6",2022-01-26,0.1448
"7",2022-01-27,0.1516
"8",2022-01-28,0.1521
"9",2022-01-31,0.1613
"10",2022-02-01,0.1682
"11",2022-02-02,0.1684
"12",2022-02-03,0.1543
"13",2022-02-04,0.1533
"14",2022-02-07,0.1337
"15",2022-02-08,0.1476
"16",2022-02-09,0.1532
"17",2022-02-10,0.1583
"18",2022-02-11,0.1469
"19",2022-02-14,0.1484
"20",2022-02-15,0.1446
"21",2022-02-16,0.1464
"22",2022-02-17,0.1462
"23",2022-02-18,0.1624
"24",2022-02-22,0.1608
"25",2022-02-23,0.1749
"26",2022-02-24,0.1543
"27",2022-02-25,0.1528
"28",2022-02-28,0.1447
"29",2022-03-01,0.15
"30",2022-03-02,0.1475
"31",2022-03-03,0.1481
"32",2022-03-04,0.1532
"33",2022-03-07,0.1609
"34",2022-03-08,0.1567
"35",2022-03-09,0.1713
"36",2022-03-10,0.1553
"37",2022-03-11,0.1627
"38",2022-03-14,0.1648
"39",2022-03-15,0.1773
"40",2022-03-16,0.1769
"41",2022-03-17,0.1824
"42",2022-03-18,0.1864
"43",2022-03-21,0.1795
"44",2022-03-22,0.1577
"45",2022-03-23,0.1683
"46",2022-03-24,0.1717
"47",2022-03-25,0.1828
"48",2022-03-28,0.1728
"49",2022-03-29,0.1783
"50",2022-03-30,0.1751
"51",2022-03-31,0.172
"52",2022-04-01,0.1668
"53",2022-04-04,0.1816
"54",2022-04-05,0.1851
"55",2022-04-06,0.2059
"56",2022-04-07,0.1963
"57",2022-04-08,0.1998
"58",2022-04-11,0.1924
"59",2022-04-12,0.1956
"60",2022-04-13,0.1944
"61",2022-04-14,0.1948
"62",2022-04-18,0.1754
"63",2022-04-19,0.1842
"64",2022-04-20,0.1916
"65",2022-04-21,0.2106
"66",2022-04-22,0.2135
"67",2022-04-25,0.222
"68",2022-04-26,0.2272
"69",2022-04-27,0.2175
"70",2022-04-28,0.2087
"71",2022-04-29,0.2074
"72",2022-05-02,0.1955
"73",2022-05-03,0.2052
"74",2022-05-04,0.2027
"75",2022-05-05,0.2181
"76",2022-05-06,0.2139
"77",2022-05-09,0.2156
"78",2022-05-10,0.1972
"79",2022-05-11,0.198
"80",2022-05-12,0.1967
"81",2022-05-13,0.2064
"82",2022-05-16,0.2042
"83",2022-05-17,0.2092
"84",2022-05-18,0.1926
"85",2022-05-19,0.2008
"86",2022-05-20,0.1941
"87",2022-05-23,0.2027
"88",2022-05-24,0.2028
"89",2022-05-25,0.2069
"90",2022-05-26,0.1997
"91",2022-05-27,0.1792
"92",2022-05-31,0.1669
"93",2022-06-01,0.1788
"94",2022-06-02,0.1821
"95",2022-06-03,0.1974
"96",2022-06-06,0.1855
"97",2022-06-07,0.1869
"98",2022-06-08,0.1677
"99",2022-06-09,0.1655
"100",2022-06-10,0.1608
"101",2022-06-13,0.1594
"102",2022-06-14,0.1549
"103",2022-06-15,0.1578
