"","date","BEN"
"1",2022-01-19,0.265
"2",2022-01-20,0.2601
"3",2022-01-21,0.2577
"4",2022-01-24,0.2555
"5",2022-01-25,0.2549
"6",2022-01-26,0.2543
"7",2022-01-27,0.2571
"8",2022-01-28,0.2561
"9",2022-01-31,0.26
"10",2022-02-01,0.2521
"11",2022-02-02,0.2453
"12",2022-02-03,0.2518
"13",2022-02-04,0.2579
"14",2022-02-07,0.2575
"15",2022-02-08,0.257
"16",2022-02-09,0.2606
"17",2022-02-10,0.259
"18",2022-02-11,0.2524
"19",2022-02-14,0.2446
"20",2022-02-15,0.2454
"21",2022-02-16,0.2443
"22",2022-02-17,0.2477
"23",2022-02-18,0.2492
"24",2022-02-22,0.2534
"25",2022-02-23,0.2461
"26",2022-02-24,0.236
"27",2022-02-25,0.2312
"28",2022-02-28,0.2292
"29",2022-03-01,0.2281
"30",2022-03-02,0.232
"31",2022-03-03,0.2307
"32",2022-03-04,0.2305
"33",2022-03-07,0.227
"34",2022-03-08,0.2188
"35",2022-03-09,0.2187
"36",2022-03-10,0.2238
"37",2022-03-11,0.2167
"38",2022-03-14,0.2205
"39",2022-03-15,0.2207
"40",2022-03-16,0.2192
"41",2022-03-17,0.2148
"42",2022-03-18,0.2189
"43",2022-03-21,0.2171
"44",2022-03-22,0.2158
"45",2022-03-23,0.214
"46",2022-03-24,0.2124
"47",2022-03-25,0.2092
"48",2022-03-28,0.2134
"49",2022-03-29,0.2147
"50",2022-03-30,0.2166
"51",2022-03-31,0.2142
"52",2022-04-01,0.2225
"53",2022-04-04,0.2263
"54",2022-04-05,0.2304
"55",2022-04-06,0.2268
"56",2022-04-07,0.2304
"57",2022-04-08,0.2356
"58",2022-04-11,0.2296
"59",2022-04-12,0.2207
"60",2022-04-13,0.2262
"61",2022-04-14,0.2315
"62",2022-04-18,0.2301
"63",2022-04-19,0.2309
"64",2022-04-20,0.2277
"65",2022-04-21,0.2237
"66",2022-04-22,0.2206
"67",2022-04-25,0.225
"68",2022-04-26,0.2232
"69",2022-04-27,0.2236
"70",2022-04-28,0.227
"71",2022-04-29,0.2248
"72",2022-05-02,0.2303
"73",2022-05-03,0.244
"74",2022-05-04,0.2612
"75",2022-05-05,0.2548
"76",2022-05-06,0.2521
"77",2022-05-09,0.2464
"78",2022-05-10,0.2465
"79",2022-05-11,0.2417
"80",2022-05-12,0.2382
"81",2022-05-13,0.2404
"82",2022-05-16,0.241
"83",2022-05-17,0.2477
"84",2022-05-18,0.2536
"85",2022-05-19,0.2489
"86",2022-05-20,0.2375
"87",2022-05-23,0.2368
"88",2022-05-24,0.2388
"89",2022-05-25,0.2364
"90",2022-05-26,0.2379
"91",2022-05-27,0.2429
"92",2022-05-31,0.2473
"93",2022-06-01,0.2499
"94",2022-06-02,0.2459
"95",2022-06-03,0.2338
"96",2022-06-06,0.2302
"97",2022-06-07,0.2228
"98",2022-06-08,0.2172
"99",2022-06-09,0.2159
"100",2022-06-10,0.2148
"101",2022-06-13,0.2168
"102",2022-06-14,0.2164
"103",2022-06-15,0.2161
"104",2022-06-16,0.2088
"105",2022-06-17,0.2097
"106",2022-06-21,0.214
"107",2022-06-22,0.2204
"108",2022-06-23,0.2287
"109",2022-06-24,0.2281
"110",2022-06-27,0.2197
"111",2022-06-28,0.2197
"112",2022-06-29,0.2177
"113",2022-06-30,0.2253
"114",2022-07-01,0.2302
"115",2022-07-05,0.2282
"116",2022-07-06,0.2245
"117",2022-07-07,0.2248
"118",2022-07-08,0.2238
"119",2022-07-11,0.2216
"120",2022-07-12,0.2275
"121",2022-07-13,0.2245
"122",2022-07-14,0.2147
"123",2022-07-15,0.2174
"124",2022-07-18,0.2182
"125",2022-07-19,0.2184
"126",2022-07-20,0.2308
"127",2022-07-21,0.2407
"128",2022-07-22,0.2361
"129",2022-07-25,0.2386
"130",2022-07-26,0.2344
"131",2022-07-27,0.2335
"132",2022-07-28,0.2353
"133",2022-07-29,0.2414
"134",2022-08-01,0.2374
"135",2022-08-02,0.2334
"136",2022-08-03,0.2327
"137",2022-08-04,0.2358
"138",2022-08-05,0.2352
"139",2022-08-08,0.2312
"140",2022-08-09,0.2352
"141",2022-08-10,0.2407
"142",2022-08-11,0.2416
"143",2022-08-12,0.2415
"144",2022-08-15,0.2476
"145",2022-08-16,0.2445
"146",2022-08-17,0.2367
"147",2022-08-18,0.237
"148",2022-08-19,0.2426
"149",2022-08-22,0.244
"150",2022-08-23,0.243
"151",2022-08-24,0.2466
"152",2022-08-25,0.2455
"153",2022-08-26,0.252
