"","date","NCLH"
"188",2021-05-13,0.3974
"189",2021-05-14,0.3891
"190",2021-05-17,0.3911
"191",2021-05-18,0.3754
"192",2021-05-19,0.3434
"193",2021-05-20,0.3424
"194",2021-05-21,0.3229
"195",2021-05-24,0.3485
"196",2021-05-25,0.3817
"197",2021-05-26,0.4987
"198",2021-05-27,0.5097
"199",2021-05-28,0.4614
"200",2021-06-01,0.4235
"201",2021-06-02,0.425
"202",2021-06-03,0.4119
"203",2021-06-04,0.3721
"204",2021-06-07,0.3335
"205",2021-06-08,0.3696
"206",2021-06-09,0.3343
"207",2021-06-10,0.3043
"208",2021-06-11,0.2963
"209",2021-06-14,0.277
"210",2021-06-15,0.2526
"211",2021-06-16,0.2477
"212",2021-06-17,0.2349
"213",2021-06-18,0.2299
"214",2021-06-21,0.2146
"215",2021-06-22,0.177
"216",2021-06-23,0.1645
"217",2021-06-24,0.166
"218",2021-06-25,0.1579
"219",2021-06-28,0.1363
"220",2021-06-29,0.1279
"221",2021-06-30,0.1167
"222",2021-07-01,0.0941
"223",2021-07-02,0.0964999999999999
"224",2021-07-06,0.0809
"225",2021-07-07,0.0717
"226",2021-07-08,0.0606
"227",2021-07-09,0.0759
"228",2021-07-12,0.0883
"229",2021-07-13,0.0940000000000001
"230",2021-07-14,0.1
"231",2021-07-15,0.0962
"232",2021-07-16,0.1098
"233",2021-07-19,0.1119
"234",2021-07-20,0.1101
"235",2021-07-21,0.104
"236",2021-07-22,0.093
"237",2021-07-23,0.0789
"238",2021-07-26,0.0689
"239",2021-07-27,0.0546
"240",2021-07-28,0.0857
"241",2021-07-29,0.1205
"242",2021-07-30,0.144
"243",2021-08-02,0.1825
"244",2021-08-03,0.2249
"245",2021-08-04,0.2883
"246",2021-08-05,0.3369
"247",2021-08-06,0.3971
"248",2021-08-09,0.4463
"249",2021-08-10,0.4592
"250",2021-08-11,0.4768
"251",2021-08-12,0.4636
"252",2021-08-13,0.4197
"253",2021-08-16,0.4388
"254",2021-08-17,0.4383
"255",2021-08-18,0.4507
"256",2021-08-19,0.4664
"257",2021-08-20,0.4491
"258",2021-08-23,0.4194
"259",2021-08-24,0.3709
"260",2021-08-25,0.3462
"261",2021-08-26,0.3636
"262",2021-08-27,0.3222
"263",2021-08-30,0.2645
"264",2021-08-31,0.237
"265",2021-09-01,0.2331
"266",2021-09-02,0.2287
"267",2021-09-03,0.2293
"268",2021-09-07,0.2285
"269",2021-09-08,0.2182
"270",2021-09-09,0.2135
"271",2021-09-10,0.2076
"272",2021-09-13,0.1808
"273",2021-09-14,0.1751
"274",2021-09-15,0.1736
"275",2021-09-16,0.1861
"276",2021-09-17,0.2081
"277",2021-09-20,0.2253
"278",2021-09-21,0.2452
"279",2021-09-22,0.2416
"280",2021-09-23,0.2492
"281",2021-09-24,0.2522
"282",2021-09-27,0.249
"283",2021-09-28,0.2364
"284",2021-09-29,0.2113
"285",2021-09-30,0.2185
"286",2021-10-01,0.2218
"287",2021-10-04,0.179
"288",2021-10-05,0.1743
"289",2021-10-06,0.1219
"290",2021-10-07,0.1292
"291",2021-10-08,0.1282
"292",2021-10-11,0.1214
"293",2021-10-12,0.1275
"294",2021-10-13,0.1449
"295",2021-10-14,0.1824
"296",2021-10-15,0.2395
"297",2021-10-18,0.2743
"298",2021-10-19,0.2941
