"","date","UHS"
"1",2022-01-19,0.4519
"2",2022-01-20,0.4464
"3",2022-01-21,0.4498
"4",2022-01-24,0.4529
"5",2022-01-25,0.4552
"6",2022-01-26,0.4566
"7",2022-01-27,0.4518
"8",2022-01-28,0.4638
"9",2022-01-31,0.4555
"10",2022-02-01,0.4678
"11",2022-02-02,0.4581
"12",2022-02-03,0.4507
"13",2022-02-04,0.4511
"14",2022-02-07,0.4214
"15",2022-02-08,0.4308
"16",2022-02-09,0.4364
"17",2022-02-10,0.4437
"18",2022-02-11,0.4377
"19",2022-02-14,0.4297
"20",2022-02-15,0.4221
"21",2022-02-16,0.4091
"22",2022-02-17,0.4224
"23",2022-02-18,0.4209
"24",2022-02-22,0.4197
"25",2022-02-23,0.4317
"26",2022-02-24,0.4314
"27",2022-02-25,0.434
"28",2022-02-28,0.4463
"29",2022-03-01,0.4175
"30",2022-03-02,0.4084
"31",2022-03-03,0.4194
"32",2022-03-04,0.4408
"33",2022-03-07,0.4222
"34",2022-03-08,0.4104
"35",2022-03-09,0.41
"36",2022-03-10,0.4075
"37",2022-03-11,0.4159
"38",2022-03-14,0.4256
"39",2022-03-15,0.4269
"40",2022-03-16,0.4355
"41",2022-03-17,0.4438
"42",2022-03-18,0.4576
"43",2022-03-21,0.4496
"44",2022-03-22,0.4117
"45",2022-03-23,0.3949
"46",2022-03-24,0.402
"47",2022-03-25,0.4165
"48",2022-03-28,0.4232
"49",2022-03-29,0.4229
"50",2022-03-30,0.4217
"51",2022-03-31,0.4075
"52",2022-04-01,0.4379
"53",2022-04-04,0.4646
"54",2022-04-05,0.4531
"55",2022-04-06,0.4554
"56",2022-04-07,0.4466
"57",2022-04-08,0.4399
"58",2022-04-11,0.4446
"59",2022-04-12,0.4309
"60",2022-04-13,0.4337
"61",2022-04-14,0.4319
"62",2022-04-18,0.4171
"63",2022-04-19,0.4152
"64",2022-04-20,0.4233
"65",2022-04-21,0.418
"66",2022-04-22,0.4189
"67",2022-04-25,0.4241
"68",2022-04-26,0.4412
"69",2022-04-27,0.4235
"70",2022-04-28,0.4289
"71",2022-04-29,0.4263
"72",2022-05-02,0.4244
"73",2022-05-03,0.4273
"74",2022-05-04,0.412
"75",2022-05-05,0.4221
"76",2022-05-06,0.4276
"77",2022-05-09,0.4224
"78",2022-05-10,0.4049
"79",2022-05-11,0.3959
"80",2022-05-12,0.4065
"81",2022-05-13,0.4083
"82",2022-05-16,0.435
"83",2022-05-17,0.4309
"84",2022-05-18,0.4058
"85",2022-05-19,0.4008
"86",2022-05-20,0.4058
"87",2022-05-23,0.4101
"88",2022-05-24,0.4126
"89",2022-05-25,0.3818
"90",2022-05-26,0.3616
"91",2022-05-27,0.345
"92",2022-05-31,0.3457
"93",2022-06-01,0.336
"94",2022-06-02,0.3322
"95",2022-06-03,0.3446
"96",2022-06-06,0.3552
"97",2022-06-07,0.3799
"98",2022-06-08,0.377
"99",2022-06-09,0.3615
"100",2022-06-10,0.3577
"101",2022-06-13,0.3472
