"","date","FOXA"
"1",2022-01-19,0.1121
"2",2022-01-20,0.1217
"3",2022-01-21,0.1229
"4",2022-01-24,0.1222
"5",2022-01-25,0.1146
"6",2022-01-26,0.1166
"7",2022-01-27,0.1265
"8",2022-01-28,0.1363
"9",2022-01-31,0.1347
"10",2022-02-01,0.1463
"11",2022-02-02,0.1528
"12",2022-02-03,0.1481
"13",2022-02-04,0.1475
"14",2022-02-07,0.1447
"15",2022-02-08,0.1496
"16",2022-02-09,0.1381
"17",2022-02-10,0.1329
"18",2022-02-11,0.133
"19",2022-02-14,0.1368
"20",2022-02-15,0.1412
"21",2022-02-16,0.1533
"22",2022-02-17,0.159
"23",2022-02-18,0.1602
"24",2022-02-22,0.1573
"25",2022-02-23,0.1679
"26",2022-02-24,0.1643
"27",2022-02-25,0.1554
"28",2022-02-28,0.1575
"29",2022-03-01,0.1617
"30",2022-03-02,0.1713
"31",2022-03-03,0.176
"32",2022-03-04,0.1861
"33",2022-03-07,0.1816
"34",2022-03-08,0.1762
"35",2022-03-09,0.1703
"36",2022-03-10,0.1635
"37",2022-03-11,0.1713
"38",2022-03-14,0.1789
"39",2022-03-15,0.1806
"40",2022-03-16,0.1828
"41",2022-03-17,0.1904
"42",2022-03-18,0.2004
"43",2022-03-21,0.1969
"44",2022-03-22,0.1928
"45",2022-03-23,0.1922
"46",2022-03-24,0.1893
"47",2022-03-25,0.1901
"48",2022-03-28,0.1874
"49",2022-03-29,0.1862
"50",2022-03-30,0.1886
"51",2022-03-31,0.1924
"52",2022-04-01,0.1987
"53",2022-04-04,0.2074
"54",2022-04-05,0.2181
"55",2022-04-06,0.2334
"56",2022-04-07,0.2327
"57",2022-04-08,0.2283
"58",2022-04-11,0.2351
"59",2022-04-12,0.2338
"60",2022-04-13,0.2211
"61",2022-04-14,0.2222
"62",2022-04-18,0.2269
"63",2022-04-19,0.2373
"64",2022-04-20,0.237
"65",2022-04-21,0.2471
"66",2022-04-22,0.2473
"67",2022-04-25,0.2545
"68",2022-04-26,0.2635
"69",2022-04-27,0.2596
"70",2022-04-28,0.2654
"71",2022-04-29,0.2619
"72",2022-05-02,0.2656
