"","date","XRAY"
"1",2022-01-19,0.2289
"2",2022-01-20,0.218
"3",2022-01-21,0.2239
"4",2022-01-24,0.2205
"5",2022-01-25,0.2214
"6",2022-01-26,0.2235
"7",2022-01-27,0.2266
"8",2022-01-28,0.2297
"9",2022-01-31,0.2246
"10",2022-02-01,0.2345
"11",2022-02-02,0.2381
"12",2022-02-03,0.2273
"13",2022-02-04,0.2211
"14",2022-02-07,0.2001
"15",2022-02-08,0.1995
"16",2022-02-09,0.213
"17",2022-02-10,0.2037
"18",2022-02-11,0.1905
"19",2022-02-14,0.1892
"20",2022-02-15,0.1869
"21",2022-02-16,0.1808
"22",2022-02-17,0.1863
"23",2022-02-18,0.1958
"24",2022-02-22,0.1923
"25",2022-02-23,0.2072
"26",2022-02-24,0.2082
"27",2022-02-25,0.1888
"28",2022-02-28,0.185
"29",2022-03-01,0.1734
"30",2022-03-02,0.1685
"31",2022-03-03,0.1715
"32",2022-03-04,0.1757
"33",2022-03-07,0.1694
"34",2022-03-08,0.1547
"35",2022-03-09,0.1592
"36",2022-03-10,0.1958
"37",2022-03-11,0.1786
"38",2022-03-14,0.174
"39",2022-03-15,0.1804
"40",2022-03-16,0.1788
"41",2022-03-17,0.1786
"42",2022-03-18,0.181
"43",2022-03-21,0.19
"44",2022-03-22,0.1723
"45",2022-03-23,0.165
"46",2022-03-24,0.1626
"47",2022-03-25,0.1697
"48",2022-03-28,0.171
"49",2022-03-29,0.1806
"50",2022-03-30,0.1744
"51",2022-03-31,0.1644
"52",2022-04-01,0.1649
"53",2022-04-04,0.1834
"54",2022-04-05,0.1876
"55",2022-04-06,0.2017
"56",2022-04-07,0.203
"57",2022-04-08,0.2116
"58",2022-04-11,0.2122
"59",2022-04-12,0.2113
"60",2022-04-13,0.2079
"61",2022-04-14,0.2162
"62",2022-04-18,0.2109
"63",2022-04-19,0.2148
"64",2022-04-20,0.2221
"65",2022-04-21,0.2353
"66",2022-04-22,0.2349
"67",2022-04-25,0.2469
"68",2022-04-26,0.2624
"69",2022-04-27,0.2585
"70",2022-04-28,0.2678
"71",2022-04-29,0.2668
"72",2022-05-02,0.2643
"73",2022-05-03,0.2766
"74",2022-05-04,0.278
"75",2022-05-05,0.304
"76",2022-05-06,0.3065
"77",2022-05-09,0.3018
"78",2022-05-10,0.279
"79",2022-05-11,0.2777
"80",2022-05-12,0.2739
"81",2022-05-13,0.2791
"82",2022-05-16,0.2798
"83",2022-05-17,0.2886
"84",2022-05-18,0.2753
"85",2022-05-19,0.269
"86",2022-05-20,0.2661
"87",2022-05-23,0.2679
"88",2022-05-24,0.2681
"89",2022-05-25,0.2513
"90",2022-05-26,0.2381
"91",2022-05-27,0.2239
"92",2022-05-31,0.221
"93",2022-06-01,0.2165
"94",2022-06-02,0.2181
"95",2022-06-03,0.2257
"96",2022-06-06,0.2244
"97",2022-06-07,0.2242
"98",2022-06-08,0.2061
"99",2022-06-09,0.1892
"100",2022-06-10,0.181
"101",2022-06-13,0.1816
"102",2022-06-14,0.1792
"103",2022-06-15,0.1918
"104",2022-06-16,0.1806
"105",2022-06-17,0.1784
"106",2022-06-21,0.189
"107",2022-06-22,0.1982
"108",2022-06-23,0.197
"109",2022-06-24,0.2071
"110",2022-06-27,0.1997
"111",2022-06-28,0.1826
