"","date","BBWI"
"1",2022-01-19,0.1399
"2",2022-01-20,0.138
"3",2022-01-21,0.1479
"4",2022-01-24,0.1378
"5",2022-01-25,0.1321
"6",2022-01-26,0.1359
"7",2022-01-27,0.1328
"8",2022-01-28,0.1474
"9",2022-01-31,0.1573
"10",2022-02-01,0.1576
"11",2022-02-02,0.1551
"12",2022-02-03,0.1399
"13",2022-02-04,0.129
"14",2022-02-07,0.1122
"15",2022-02-08,0.1206
"16",2022-02-09,0.1235
"17",2022-02-10,0.1255
"18",2022-02-11,0.1203
"19",2022-02-14,0.1169
"20",2022-02-15,0.106
"21",2022-02-16,0.1198
"22",2022-02-17,0.1292
"23",2022-02-18,0.1295
"24",2022-02-22,0.1247
"25",2022-02-23,0.1247
"26",2022-02-24,0.1181
"27",2022-02-25,0.1184
"28",2022-02-28,0.1199
"29",2022-03-01,0.1094
"30",2022-03-02,0.1062
"31",2022-03-03,0.1141
"32",2022-03-04,0.1148
"33",2022-03-07,0.1111
"34",2022-03-08,0.098
"35",2022-03-09,0.1
"36",2022-03-10,0.0977
"37",2022-03-11,0.1002
"38",2022-03-14,0.1023
"39",2022-03-15,0.1074
"40",2022-03-16,0.1136
"41",2022-03-17,0.131
"42",2022-03-18,0.13
"43",2022-03-21,0.1186
"44",2022-03-22,0.0927
"45",2022-03-23,0.0874
"46",2022-03-24,0.0941
"47",2022-03-25,0.1018
"48",2022-03-28,0.1049
"49",2022-03-29,0.0987999999999999
"50",2022-03-30,0.0876
"51",2022-03-31,0.0967
"52",2022-04-01,0.1092
"53",2022-04-04,0.1179
"54",2022-04-05,0.1131
"55",2022-04-06,0.1099
"56",2022-04-07,0.1001
"57",2022-04-08,0.1059
"58",2022-04-11,0.1104
"59",2022-04-12,0.1066
"60",2022-04-13,0.1036
"61",2022-04-14,0.1094
"62",2022-04-18,0.1
"63",2022-04-19,0.1074
"64",2022-04-20,0.1032
"65",2022-04-21,0.1029
"66",2022-04-22,0.1131
"67",2022-04-25,0.1189
"68",2022-04-26,0.1268
"69",2022-04-27,0.1304
"70",2022-04-28,0.1274
"71",2022-04-29,0.1316
"72",2022-05-02,0.1263
"73",2022-05-03,0.1278
"74",2022-05-04,0.1271
"75",2022-05-05,0.1391
"76",2022-05-06,0.1424
"77",2022-05-09,0.1386
"78",2022-05-10,0.1277
"79",2022-05-11,0.1315
"80",2022-05-12,0.138
"81",2022-05-13,0.1571
"82",2022-05-16,0.1672
"83",2022-05-17,0.1638
"84",2022-05-18,0.1425
"85",2022-05-19,0.1432
"86",2022-05-20,0.1447
"87",2022-05-23,0.1549
"88",2022-05-24,0.1591
"89",2022-05-25,0.1455
"90",2022-05-26,0.1402
"91",2022-05-27,0.1458
"92",2022-05-31,0.1487
"93",2022-06-01,0.1604
"94",2022-06-02,0.1605
"95",2022-06-03,0.165
"96",2022-06-06,0.1777
"97",2022-06-07,0.1789
"98",2022-06-08,0.1847
"99",2022-06-09,0.1729
"100",2022-06-10,0.1576
"101",2022-06-13,0.1667
"102",2022-06-14,0.1682
"103",2022-06-15,0.1781
"104",2022-06-16,0.171
"105",2022-06-17,0.1778
"106",2022-06-21,0.1874
"107",2022-06-22,0.1952
"108",2022-06-23,0.1973
"109",2022-06-24,0.1988
"110",2022-06-27,0.177
"111",2022-06-28,0.1886
"112",2022-06-29,0.1912
"113",2022-06-30,0.2006
"114",2022-07-01,0.1718
"115",2022-07-05,0.17
"116",2022-07-06,0.1657
"117",2022-07-07,0.1739
"118",2022-07-08,0.1881
"119",2022-07-11,0.1919
"120",2022-07-12,0.195
"121",2022-07-13,0.201
"122",2022-07-14,0.1979
"123",2022-07-15,0.2125
"124",2022-07-18,0.196
"125",2022-07-19,0.1856
