"","date","ETSY"
"1",2020-08-14,0.1613
"2",2020-08-17,0.13
"3",2020-08-18,0.1258
"4",2020-08-19,0.1244
"5",2020-08-20,0.1107
"6",2020-08-21,0.1337
"7",2020-08-24,0.134
"8",2020-08-25,0.1379
"9",2020-08-26,0.1313
"10",2020-08-27,0.1553
"11",2020-08-28,0.1722
"12",2020-08-31,0.1543
"13",2020-09-01,0.1597
"14",2020-09-02,0.1575
"15",2020-09-03,0.1591
"16",2020-09-04,0.158
"17",2020-09-08,0.1358
"18",2020-09-09,0.1524
"19",2020-09-10,0.1733
"20",2020-09-11,0.1854
"21",2020-09-14,0.2061
"22",2020-09-15,0.2328
"23",2020-09-16,0.2192
"24",2020-09-17,0.2187
"25",2020-09-18,0.2155
"26",2020-09-21,0.1963
"27",2020-09-22,0.2069
"28",2020-09-23,0.2222
"29",2020-09-24,0.2255
"30",2020-09-25,0.2288
"31",2020-09-28,0.2594
"32",2020-09-29,0.2776
"33",2020-09-30,0.2763
"34",2020-10-01,0.2787
"35",2020-10-02,0.2556
"36",2020-10-05,0.2472
"37",2020-10-06,0.244
"38",2020-10-07,0.2396
"39",2020-10-08,0.2456
"40",2020-10-09,0.2732
"41",2020-10-12,0.2759
"42",2020-10-13,0.2995
"43",2020-10-14,0.2924
"44",2020-10-15,0.279
"45",2020-10-16,0.2777
"46",2020-10-19,0.2866
"47",2020-10-20,0.2738
"48",2020-10-21,0.2715
"49",2020-10-22,0.2788
"50",2020-10-23,0.2727
"51",2020-10-26,0.2848
"52",2020-10-27,0.2993
"53",2020-10-28,0.2931
"54",2020-10-29,0.2864
"55",2020-10-30,0.2943
"56",2020-11-02,0.28
"57",2020-11-03,0.2939
"58",2020-11-04,0.3045
"59",2020-11-05,0.2867
"60",2020-11-06,0.2852
"61",2020-11-09,0.301
"62",2020-11-10,0.289
"63",2020-11-11,0.2909
"64",2020-11-12,0.3008
"65",2020-11-13,0.2918
"66",2020-11-16,0.3178
"67",2020-11-17,0.3228
"68",2020-11-18,0.3283
"69",2020-11-19,0.3186
"70",2020-11-20,0.3509
"71",2020-11-23,0.3669
"72",2020-11-24,0.3652
"73",2020-11-25,0.3554
"74",2020-11-27,0.3481
"75",2020-11-30,0.3439
"76",2020-12-01,0.3428
"77",2020-12-02,0.327
"78",2020-12-03,0.3175
"79",2020-12-04,0.3286
"80",2020-12-07,0.311
"81",2020-12-08,0.3269
"82",2020-12-09,0.327
"83",2020-12-10,0.3198
"84",2020-12-11,0.3255
"85",2020-12-14,0.334
"86",2020-12-15,0.3144
"87",2020-12-16,0.3039
"88",2020-12-17,0.3125
"89",2020-12-18,0.2772
"90",2020-12-21,0.2775
"91",2020-12-22,0.2979
"92",2020-12-23,0.2949
"93",2020-12-24,0.2904
"94",2020-12-28,0.3068
"95",2020-12-29,0.3102
"96",2020-12-30,0.3053
"97",2020-12-31,0.3076
"98",2021-01-04,0.2832
"99",2021-01-05,0.2731
"100",2021-01-06,0.2547
"101",2021-01-07,0.2595
"102",2021-01-08,0.2718
"103",2021-01-11,0.2749
"104",2021-01-12,0.2814
"105",2021-01-13,0.2959
"106",2021-01-14,0.3159
"107",2021-01-15,0.2967
"108",2021-01-19,0.2866
"109",2021-01-20,0.2973
"110",2021-01-21,0.3067
"111",2021-01-22,0.3204
"112",2021-01-25,0.3356
"113",2021-01-26,0.3224
"114",2021-01-27,0.3037
"115",2021-01-28,0.2948
"116",2021-01-29,0.2843
"117",2021-02-01,0.2963
"118",2021-02-02,0.3409
"119",2021-02-03,0.3384
"120",2021-02-04,0.342
"121",2021-02-05,0.3516
"122",2021-02-08,0.3311
"123",2021-02-09,0.3303
"124",2021-02-10,0.3282
"125",2021-02-11,0.3135
"126",2021-02-12,0.3171
"127",2021-02-16,0.3357
"128",2021-02-17,0.3309
"129",2021-02-18,0.3332
"130",2021-02-19,0.3554
"131",2021-02-22,0.3719
"132",2021-02-23,0.3742
"133",2021-02-24,0.3623
"134",2021-02-25,0.3586
