"","date","CMA"
"1",2020-08-14,0.2336
"2",2020-08-17,0.2542
"3",2020-08-18,0.2462
"4",2020-08-19,0.2373
"5",2020-08-20,0.2286
"6",2020-08-21,0.2208
"7",2020-08-24,0.2218
"8",2020-08-25,0.2133
"9",2020-08-26,0.209
"10",2020-08-27,0.1959
"11",2020-08-28,0.2117
"12",2020-08-31,0.1749
"13",2020-09-01,0.1682
"14",2020-09-02,0.1381
"15",2020-09-03,0.1576
"16",2020-09-04,0.1321
"17",2020-09-08,0.1311
"18",2020-09-09,0.1279
"19",2020-09-10,0.1298
"20",2020-09-11,0.1278
"21",2020-09-14,0.1533
"22",2020-09-15,0.1787
"23",2020-09-16,0.211
"24",2020-09-17,0.2022
"25",2020-09-18,0.1877
"26",2020-09-21,0.1873
"27",2020-09-22,0.1673
"28",2020-09-23,0.1586
"29",2020-09-24,0.1417
"30",2020-09-25,0.1537
"31",2020-09-28,0.172
"32",2020-09-29,0.1692
"33",2020-09-30,0.1578
"34",2020-10-01,0.1308
"35",2020-10-02,0.1767
"36",2020-10-05,0.15
"37",2020-10-06,0.1796
"38",2020-10-07,0.1506
"39",2020-10-08,0.1202
"40",2020-10-09,0.1011
"41",2020-10-12,0.1365
"42",2020-10-13,0.1357
"43",2020-10-14,0.1471
"44",2020-10-15,0.1299
"45",2020-10-16,0.128
"46",2020-10-19,0.1207
"47",2020-10-20,0.1455
"48",2020-10-21,0.1588
"49",2020-10-22,0.1484
"50",2020-10-23,0.1403
"51",2020-10-26,0.1673
"52",2020-10-27,0.1793
"53",2020-10-28,0.1614
"54",2020-10-29,0.1604
"55",2020-10-30,0.169
"56",2020-11-02,0.1727
"57",2020-11-03,0.1763
"58",2020-11-04,0.1773
"59",2020-11-05,0.1986
"60",2020-11-06,0.186
"61",2020-11-09,0.2116
"62",2020-11-10,0.1964
"63",2020-11-11,0.2155
"64",2020-11-12,0.185
"65",2020-11-13,0.2121
"66",2020-11-16,0.2068
"67",2020-11-17,0.1948
"68",2020-11-18,0.2102
"69",2020-11-19,0.199
"70",2020-11-20,0.2132
"71",2020-11-23,0.2768
"72",2020-11-24,0.2667
"73",2020-11-25,0.2715
"74",2020-11-27,0.2879
