"","date","CZR"
"1",2022-01-19,0.1793
"2",2022-01-20,0.1714
"3",2022-01-21,0.1688
"4",2022-01-24,0.1744
"5",2022-01-25,0.1707
"6",2022-01-26,0.1646
"7",2022-01-27,0.1638
"8",2022-01-28,0.1902
"9",2022-01-31,0.2037
"10",2022-02-01,0.2121
"11",2022-02-02,0.214
"12",2022-02-03,0.1917
"13",2022-02-04,0.1846
"14",2022-02-07,0.1816
"15",2022-02-08,0.189
"16",2022-02-09,0.1848
"17",2022-02-10,0.1747
"18",2022-02-11,0.1762
"19",2022-02-14,0.1548
"20",2022-02-15,0.1649
"21",2022-02-16,0.1875
"22",2022-02-17,0.1977
"23",2022-02-18,0.1975
"24",2022-02-22,0.183
"25",2022-02-23,0.18
"26",2022-02-24,0.1779
"27",2022-02-25,0.1794
"28",2022-02-28,0.19
"29",2022-03-01,0.1847
"30",2022-03-02,0.1776
"31",2022-03-03,0.1876
"32",2022-03-04,0.179
"33",2022-03-07,0.1833
"34",2022-03-08,0.1803
"35",2022-03-09,0.1593
"36",2022-03-10,0.1568
"37",2022-03-11,0.1806
"38",2022-03-14,0.1979
"39",2022-03-15,0.1855
"40",2022-03-16,0.2006
"41",2022-03-17,0.2177
"42",2022-03-18,0.2035
"43",2022-03-21,0.1964
"44",2022-03-22,0.1918
"45",2022-03-23,0.1856
"46",2022-03-24,0.1799
"47",2022-03-25,0.1914
"48",2022-03-28,0.1967
"49",2022-03-29,0.1712
"50",2022-03-30,0.1709
"51",2022-03-31,0.1886
"52",2022-04-01,0.202
"53",2022-04-04,0.2198
"54",2022-04-05,0.2126
"55",2022-04-06,0.2129
"56",2022-04-07,0.2017
"57",2022-04-08,0.2155
"58",2022-04-11,0.2321
"59",2022-04-12,0.216
"60",2022-04-13,0.2068
"61",2022-04-14,0.211
"62",2022-04-18,0.2031
"63",2022-04-19,0.2133
"64",2022-04-20,0.2256
"65",2022-04-21,0.228
"66",2022-04-22,0.2332
"67",2022-04-25,0.2346
"68",2022-04-26,0.2565
"69",2022-04-27,0.2603
"70",2022-04-28,0.2742
"71",2022-04-29,0.2809
"72",2022-05-02,0.2572
"73",2022-05-03,0.2742
"74",2022-05-04,0.2846
"75",2022-05-05,0.2832
"76",2022-05-06,0.278
"77",2022-05-09,0.2806
"78",2022-05-10,0.2825
"79",2022-05-11,0.2701
"80",2022-05-12,0.2751
"81",2022-05-13,0.3071
"82",2022-05-16,0.3022
"83",2022-05-17,0.2976
"84",2022-05-18,0.2847
"85",2022-05-19,0.2806
"86",2022-05-20,0.2888
"87",2022-05-23,0.2827
"88",2022-05-24,0.2913
"89",2022-05-25,0.2639
"90",2022-05-26,0.2441
"91",2022-05-27,0.2529
"92",2022-05-31,0.2635
"93",2022-06-01,0.2833
"94",2022-06-02,0.2851
"95",2022-06-03,0.2793
"96",2022-06-06,0.2675
"97",2022-06-07,0.2635
"98",2022-06-08,0.2516
"99",2022-06-09,0.2378
"100",2022-06-10,0.2357
"101",2022-06-13,0.2382
"102",2022-06-14,0.2228
"103",2022-06-15,0.2233
"104",2022-06-16,0.218
"105",2022-06-17,0.22
"106",2022-06-21,0.2314
"107",2022-06-22,0.2342
"108",2022-06-23,0.2373
"109",2022-06-24,0.2327
"110",2022-06-27,0.2289
"111",2022-06-28,0.2271
"112",2022-06-29,0.2214
"113",2022-06-30,0.2244
"114",2022-07-01,0.2139
"115",2022-07-05,0.2011
"116",2022-07-06,0.1964
"117",2022-07-07,0.212
"118",2022-07-08,0.2399
"119",2022-07-11,0.23
"120",2022-07-12,0.2239
"121",2022-07-13,0.2339
