"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"1","Apple Inc","AAPL",7.00121,"173.75",2.54,"(1.48%)"
"2","Microsoft Corp","MSFT",6.527669,"321.80",6.05,"(1.92%)"
"3","Amazon.com Inc","AMZN",3.211597,"129.46",2.34,"(1.84%)"
"4","Nvidia Corp","NVDA",2.989615,"447.82",12.83,"(2.95%)"
"5","Alphabet Inc Cl A","GOOGL",2.160335,"134.17",3.31,"(2.53%)"
"6","Tesla Inc","TSLA",1.92286,"251.60",1.38,"(0.55%)"
"7","Meta Platforms Inc Class A","META",1.856885,"306.82",6.61,"(2.20%)"
"8","Alphabet Inc Cl C","GOOG",1.851848,"135.17",3.32,"(2.52%)"
"9","Berkshire Hathaway Inc Cl B","BRK.B",1.777839,"348.08",-2.22,"(-0.63%)"
"10","Exxon Mobil Corp","XOM",1.309921,"115.63",-1.95,"(-1.66%)"
"11","Unitedhealth Group Inc","UNH",1.29975,"514.57",10.38,"(2.06%)"
"12","Eli Lilly & Co","LLY",1.191962,"538.29",1.16,"(0.22%)"
"13","Jpmorgan Chase & Co","JPM",1.172851,"143.77",-1.25,"(-0.86%)"
"14","Johnson & Johnson W/d","JNJ",1.043729,"155.15",-0.6,"(-0.39%)"
"15","Visa Inc Class a Shares","V",1.028504,"231.27",1.26,"(0.55%)"
"16","Procter & Gamble Co","PG",0.95687,"145.19",-0.67,"(-0.46%)"
"17","Broadcom Inc","AVGO",0.953871,"834.95",4.37,"(0.53%)"
"18","Mastercard Inc   A","MA",0.916729,"395.85",-0.06,"(-0.02%)"
"19","Home Depot Inc","HD",0.845432,"299.83",-2.33,"(-0.77%)"
"20","Chevron Corp","CVX",0.832595,"166.54",-2.08,"(-1.23%)"
"21","Abbvie Inc","ABBV",0.732179,"148.25",-0.81,"(-0.54%)"
"22","Merck & Co. Inc.","MRK",0.727002,"102.55",-0.4,"(-0.39%)"
"23","Costco Wholesale Corp","COST",0.69671,"571.31",6.35,"(1.12%)"
"24","Pepsico Inc","PEP",0.64911,"169.17",-0.27,"(-0.16%)"
"25","Adobe Inc","ADBE",0.646792,"521.13",11.23,"(2.20%)"
"26","Walmart Inc","WMT",0.635204,"160.10",0.17,"(0.11%)"
"27","Cisco Systems Inc","CSCO",0.609671,"54.40",0.64,"(1.19%)"
"28","Coca Cola Co","KO",0.60632,"55.48",-0.5,"(-0.89%)"
"29","Salesforce Inc","CRM",0.54965,"203.71",0.93,"(0.46%)"
"30","Thermo Fisher Scientific Inc","TMO",0.543634,"495.79",-10.38,"(-2.05%)"
"31","Accenture Plc Cl A","ACN",0.539122,"308.26",1.15,"(0.37%)"
"32","Mcdonald S Corp","MCD",0.534274,"257.75",-5.69,"(-2.16%)"
"33","Bank of America Corp","BAC",0.526777,"26.70",-0.68,"(-2.48%)"
"34","Pfizer Inc","PFE",0.521178,"33.94",0.77,"(2.32%)"
"35","Comcast Corp Class A","CMCSA",0.50786,"44.49",0.15,"(0.34%)"
"36","Linde Plc","LIN",0.505617,"370.21",-2.14,"(-0.57%)"
"37","Abbott Laboratories","ABT",0.467734,"95.73",-1.12,"(-1.16%)"
"38","Netflix Inc","NFLX",0.465655,"380.15",2.55,"(0.68%)"
"39","Oracle Corp","ORCL",0.464048,"106.71",0.79,"(0.75%)"
"40","Advanced Micro Devices","AMD",0.462366,"103.27",0.45,"(0.44%)"
"41","Danaher Corp","DHR",0.453728,"213.74",-34.36,"(-13.85%)"
"42","Wells Fargo & Co","WFC",0.416044,"39.61",-1.25,"(-3.06%)"
"43","Intel Corp","INTC",0.41407,"35.46",-0.09,"(-0.25%)"
"44","Walt Disney Co","DIS",0.412943,"81.67",0.62,"(0.76%)"
"45","Texas Instruments Inc","TXN",0.401801,"159.95",0.94,"(0.59%)"
"46","Amgen Inc","AMGN",0.400244,"266.31",-2.45,"(-0.91%)"
"47","Philip Morris International","PM",0.399894,"91.41",-1.17,"(-1.26%)"
"48","Conocophillips","COP",0.399241,"117.10",-2.7,"(-2.25%)"
"49","Intuit Inc","INTU",0.398192,"517.80",6.86,"(1.34%)"
"50","Caterpillar Inc","CAT",0.387568,"271.72",-1.28,"(-0.47%)"
"51","Verizon Communications Inc","VZ",0.379184,"31.76",-0.65,"(-2.01%)"
"52","Intl Business Machines Corp","IBM",0.355761,"140.80",0.5,"(0.36%)"
"53","Union Pacific Corp","UNP",0.345363,"202.64",-0.99,"(-0.49%)"
"54","Qualcomm Inc","QCOM",0.344874,"111.10",0.05,"(0.05%)"
"55","Honeywell International Inc","HON",0.341361,"182.63",-2.11,"(-1.14%)"
"56","Lowe S Cos Inc","LOW",0.338925,"205.74",-2.1,"(-1.01%)"
"57","Bristol Myers Squibb Co","BMY",0.337436,"57.85",-0.19,"(-0.33%)"
"58","General Electric Co","GE",0.334843,"108.79",-1.76,"(-1.59%)"
"59","S&p Global Inc","SPGI",0.330884,"366.72",1.31,"(0.36%)"
"60","Nike Inc  Cl B","NKE",0.325995,"94.56",-1.06,"(-1.11%)"
"61","Applied Materials Inc","AMAT",0.323551,"139.51",1.06,"(0.77%)"
"62","Nextera Energy Inc","NEE",0.322649,"52.15",-5.14,"(-8.97%)"
"63","Servicenow Inc","NOW",0.317309,"555.23",-3.73,"(-0.67%)"
"64","United Parcel Service Cl B","UPS",0.31374,"155.08",-0.79,"(-0.51%)"
"65","Booking Holdings Inc","BKNG",0.306234,"3,093.76",9.81,"(0.32%)"
"66","Boeing Co","BA",0.302678,"187.83",-3.85,"(-2.01%)"
"67","At&t Inc","T",0.298602,"14.67",-0.35,"(-2.33%)"
"68","Goldman Sachs Group Inc","GS",0.29686,"318.50",-5.07,"(-1.57%)"
"69","Rtx Corp","RTX",0.291521,"71.34",-0.63,"(-0.88%)"
"70","Starbucks Corp","SBUX",0.290931,"91.12",-0.15,"(-0.16%)"
"71","Medtronic Plc","MDT",0.290243,"77.77",-0.59,"(-0.75%)"
"72","Morgan Stanley","MS",0.289977,"80.41",-1.26,"(-1.54%)"
"73","Prologis Inc","PLD",0.288429,"109.50",-2.71,"(-2.42%)"
"74","Deere & Co","DE",0.286363,"373.84",-3.54,"(-0.94%)"
"75","Intuitive Surgical Inc","ISRG",0.285658,"294.98",2.69,"(0.92%)"
"76","Elevance Health Inc","ELV",0.285537,"440.19",4.77,"(1.10%)"
"77","Tjx Companies Inc","TJX",0.284259,"88.68",-0.2,"(-0.23%)"
"78","Automatic Data Processing","ADP",0.275838,"239.37",-1.21,"(-0.50%)"
"79","Mondelez International Inc A","MDLZ",0.262749,"68.51",-0.89,"(-1.28%)"
"80","Marsh & Mclennan Cos","MMC",0.261603,"188.77",-1.53,"(-0.80%)"
"81","Gilead Sciences Inc","GILD",0.259863,"74.10",-0.84,"(-1.12%)"
"82","Stryker Corp","SYK",0.256993,"273.84",0.57,"(0.21%)"
"83","Lockheed Martin Corp","LMT",0.255077,"407.82",-1.14,"(-0.28%)"
"84","Blackrock Inc","BLK",0.25247,"643.04",-3.45,"(-0.53%)"
"85","Cvs Health Corp","CVS",0.249569,"69.69",-0.13,"(-0.19%)"
"86","Vertex Pharmaceuticals Inc","VRTX",0.249318,"347.83",0.09,"(0.03%)"
"87","Regeneron Pharmaceuticals","REGN",0.244425,"818.00",-4.96,"(-0.60%)"
"88","Analog Devices Inc","ADI",0.244322,"175.43",0.34,"(0.19%)"
"89","American Express Co","AXP",0.241559,"149.48",0.29,"(0.19%)"
"90","Chubb Ltd","CB",0.237958,"206.40",-1.78,"(-0.86%)"
"91","Eaton Corp Plc","ETN",0.236567,"210.24",-3.04,"(-1.43%)"
"92","The Cigna Group","CI",0.235635,"287.54",1.47,"(0.51%)"
"93","Lam Research Corp","LRCX",0.232492,"630.88",4.11,"(0.66%)"
"94","Schlumberger Ltd","SLB",0.230546,"57.94",-0.36,"(-0.62%)"
"95","Schwab (Charles) Corp","SCHW",0.227187,"53.55",-1.35,"(-2.46%)"
"96","Progressive Corp","PGR",0.226942,"138.97",-0.33,"(-0.24%)"
"97","Zoetis Inc","ZTS",0.222881,"172.73",-1.25,"(-0.72%)"
"98","Citigroup Inc","C",0.220421,"40.50",-0.63,"(-1.53%)"
"99","Boston Scientific Corp","BSX",0.21515,"52.81",0.01,"(0.02%)"
"100","American Tower Corp","AMT",0.21321,"161.71",-2.74,"(-1.67%)"
"101","Blackstone Inc","BX",0.211623,"107.16",0.02,"(0.02%)"
"102","Becton Dickinson and Co","BDX",0.208714,"257.76",-0.77,"(-0.30%)"
"103","Altria Group Inc","MO",0.20767,"41.58",-0.47,"(-1.12%)"
"104","Micron Technology Inc","MU",0.207038,"67.96",-0.07,"(-0.10%)"
"105","Eog Resources Inc","EOG",0.205399,"123.66",-3.1,"(-2.45%)"
"106","T Mobile Us Inc","TMUS",0.201755,"139.26",-0.79,"(-0.56%)"
"107","Cme Group Inc","CME",0.20056,"200.15",-0.07,"(-0.03%)"
"108","Palo Alto Networks Inc","PANW",0.199553,"236.77",2.29,"(0.98%)"
"109","Southern Co","SO",0.196189,"62.71",-2.01,"(-3.11%)"
"110","Synopsys Inc","SNPS",0.19433,"463.97",5,"(1.09%)"
"111","Fiserv Inc","FI",0.191633,"112.85",-0.11,"(-0.10%)"
"112","Duke Energy Corp","DUK",0.189261,"85.44",-2.82,"(-3.20%)"
"113","Equinix Inc","EQIX",0.189135,"712.68",-14.25,"(-1.96%)"
"114","Activision Blizzard Inc","ATVI",0.185974,"93.94",0.31,"(0.33%)"
"115","Aon Plc Class A","AON",0.183059,"321.36",-2.86,"(-0.88%)"
"116","Paypal Holdings Inc","PYPL",0.178642,"58.59",0.13,"(0.22%)"
"117","Cadence Design Sys Inc","CDNS",0.177233,"236.49",2.19,"(0.93%)"
"118","Illinois Tool Works","ITW",0.176384,"230.08",-0.23,"(-0.10%)"
"119","Intercontinental Exchange In","ICE",0.175212,"109.22",-0.8,"(-0.73%)"
"120","Air Products & Chemicals Inc","APD",0.175046,"279.08",-4.32,"(-1.52%)"
"121","Kla Corp","KLAC",0.174498,"460.63",1.95,"(0.43%)"
"122","Northrop Grumman Corp","NOC",0.174247,"442.22",2.03,"(0.46%)"
"123","Csx Corp","CSX",0.171694,"30.54",-0.21,"(-0.68%)"
