"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"1","Apple Inc","AAPL",7.200886,"177.49",2.58,"(1.48%)"
"2","Microsoft Corp","MSFT",6.646956,"327.26",7.9,"(2.47%)"
"3","Amazon.com Inc","AMZN",3.203809,"127.96",2,"(1.59%)"
"4","Nvidia Corp","NVDA",3.092108,"457.62",10.74,"(2.40%)"
"5","Alphabet Inc Cl A","GOOGL",2.244922,"137.58",2.51,"(1.86%)"
"6","Tesla Inc","TSLA",2.011928,"260.53",0.48,"(0.18%)"
"7","Alphabet Inc Cl C","GOOG",1.922916,"138.73",2.74,"(2.01%)"
"8","Meta Platforms Inc Class A","META",1.89797,"315.43",10.64,"(3.49%)"
"9","Berkshire Hathaway Inc Cl B","BRK.B",1.763092,"346.34",1.28,"(0.37%)"
"10","Unitedhealth Group Inc","UNH",1.339779,"524.81",8.58,"(1.66%)"
"11","Exxon Mobil Corp","XOM",1.222442,"107.17",-1.82,"(-1.67%)"
"12","Eli Lilly & Co","LLY",1.209743,"565.22",23.74,"(4.38%)"
"13","Jpmorgan Chase & Co","JPM",1.163529,"145.10",2.2,"(1.54%)"
"14","Johnson & Johnson W/d","JNJ",1.060172,"157.64",0.5,"(0.32%)"
"15","Visa Inc Class a Shares","V",1.051085,"235.04",1.56,"(0.67%)"
"16","Broadcom Inc","AVGO",0.952577,"845.26",21.4,"(2.60%)"
"17","Procter & Gamble Co","PG",0.94974,"144.09",0.29,"(0.20%)"
"18","Mastercard Inc   A","MA",0.918933,"397.97",3.77,"(0.96%)"
"19","Home Depot Inc","HD",0.82168,"292.82",1.12,"(0.38%)"
"20","Chevron Corp","CVX",0.81476,"162.23",-1.67,"(-1.02%)"
"21","Merck & Co. Inc.","MRK",0.736544,"103.88",0.28,"(0.27%)"
"22","Abbvie Inc","ABBV",0.729173,"148.24",0.79,"(0.54%)"
"23","Costco Wholesale Corp","COST",0.707107,"557.53",-11.99,"(-2.11%)"
"24","Adobe Inc","ADBE",0.659516,"526.68",10.24,"(1.98%)"
"25","Walmart Inc","WMT",0.636107,"156.41",-2.67,"(-1.68%)"
"26","Pepsico Inc","PEP",0.617482,"160.29",0.19,"(0.12%)"
"27","Cisco Systems Inc","CSCO",0.605918,"53.45",0.38,"(0.72%)"
"28","Coca Cola Co","KO",0.571168,"53.14",0.76,"(1.45%)"
"29","Salesforce Inc","CRM",0.551266,"207.36",5.35,"(2.65%)"
"30","Accenture Plc Cl A","ACN",0.547274,"312.19",2.53,"(0.82%)"
"31","Thermo Fisher Scientific Inc","TMO",0.538518,"498.55",0.53,"(0.11%)"
"32","Pfizer Inc","PFE",0.52945,"33.13",-0.34,"(-1.02%)"
"33","Mcdonald S Corp","MCD",0.515004,"248.22",-4.01,"(-1.59%)"
"34","Linde Plc","LIN",0.505634,"373.54",3.68,"(0.99%)"
"35","Bank of America Corp","BAC",0.504774,"26.07",0.01,"(0.04%)"
"36","Comcast Corp Class A","CMCSA",0.496076,"43.47",0.45,"(1.05%)"
"37","Oracle Corp","ORCL",0.477903,"109.96",1.61,"(1.49%)"
"38","Abbott Laboratories","ABT",0.467742,"96.88",0.68,"(0.71%)"
"39","Advanced Micro Devices","AMD",0.465906,"107.24",4.33,"(4.21%)"
"40","Netflix Inc","NFLX",0.462599,"381.51",8.92,"(2.39%)"
"41","Intel Corp","INTC",0.420854,"36.19",0.3,"(0.84%)"
"42","Walt Disney Co","DIS",0.414508,"82.94",2.13,"(2.64%)"
"43","Intuit Inc","INTU",0.405114,"533.30",17,"(3.29%)"
"44","Wells Fargo & Co","WFC",0.402867,"39.69",0.39,"(0.99%)"
"45","Philip Morris International","PM",0.399987,"92.17",0.19,"(0.21%)"
"46","Danaher Corp","DHR",0.399289,"217.23",0.36,"(0.17%)"
"47","Amgen Inc","AMGN",0.397437,"267.47",2.39,"(0.90%)"
"48","Texas Instruments Inc","TXN",0.394593,"157.03",1.92,"(1.24%)"
"49","Conocophillips","COP",0.380534,"115.33",1.91,"(1.68%)"
"50","Caterpillar Inc","CAT",0.372759,"266.04",5.24,"(2.01%)"
"51","Verizon Communications Inc","VZ",0.366967,"30.85",-0.97,"(-3.05%)"
"52","Intl Business Machines Corp","IBM",0.361291,"142.03",0.51,"(0.36%)"
"53","Qualcomm Inc","QCOM",0.34327,"110.88",1.08,"(0.98%)"
"54","Union Pacific Corp","UNP",0.342599,"202.46",1.82,"(0.91%)"
"55","Honeywell International Inc","HON",0.334883,"184.66",4.64,"(2.58%)"
"56","General Electric Co","GE",0.331527,"111.47",2.75,"(2.53%)"
"57","Bristol Myers Squibb Co","BMY",0.330236,"56.66",0.24,"(0.43%)"
"58","S&p Global Inc","SPGI",0.329372,"364.06",2.78,"(0.77%)"
"59","Nike Inc  Cl B","NKE",0.328785,"97.11",1.32,"(1.38%)"
"60","Lowe S Cos Inc","LOW",0.328024,"199.54",-0.26,"(-0.13%)"
"61","Applied Materials Inc","AMAT",0.327694,"140.29",1.01,"(0.73%)"
"62","Servicenow Inc","NOW",0.312731,"560.72",13.55,"(2.48%)"
"63","United Parcel Service Cl B","UPS",0.310815,"154.27",0.89,"(0.58%)"
"64","Booking Holdings Inc","BKNG",0.301849,"3,049.44",30.68,"(1.02%)"
"65","Starbucks Corp","SBUX",0.296428,"92.85",0.48,"(0.52%)"
"66","Boeing Co","BA",0.296162,"187.38",1.09,"(0.59%)"
"67","Elevance Health Inc","ELV",0.29305,"449.96",6.09,"(1.37%)"
"68","At&t Inc","T",0.291261,"14.45",-0.38,"(-2.56%)"
"69","Deere & Co","DE",0.287012,"378.54",2.85,"(0.76%)"
"70","Goldman Sachs Group Inc","GS",0.286795,"312.48",1.98,"(0.64%)"
"71","Intuitive Surgical Inc","ISRG",0.285419,"295.68",5.59,"(1.93%)"
"72","Medtronic Plc","MDT",0.283966,"76.12",-0.03,"(-0.04%)"
"73","Morgan Stanley","MS",0.282933,"80.33",1.18,"(1.49%)"
"74","Rtx Corp","RTX",0.282932,"69.77",0.39,"(0.56%)"
"75","Tjx Companies Inc","TJX",0.282802,"88.56",0.73,"(0.83%)"
"76","Prologis Inc","PLD",0.282151,"108.91",-0.12,"(-0.11%)"
"77","Automatic Data Processing","ADP",0.28091,"246.38",3.02,"(1.24%)"
"78","Nextera Energy Inc","NEE",0.280379,"50.24",0.79,"(1.60%)"
"79","Marsh & Mclennan Cos","MMC",0.265608,"193.35",1.43,"(0.75%)"
"80","Gilead Sciences Inc","GILD",0.260782,"74.74",0.04,"(0.05%)"
"81","Vertex Pharmaceuticals Inc","VRTX",0.25635,"360.62",5.48,"(1.54%)"
"82","Blackrock Inc","BLK",0.251769,"648.26",7.96,"(1.24%)"
"83","Cvs Health Corp","CVS",0.251008,"69.90",0.15,"(0.22%)"
"84","Stryker Corp","SYK",0.250718,"265.85",1.04,"(0.39%)"
"85","Lockheed Martin Corp","LMT",0.24952,"400.73",3.38,"(0.85%)"
"86","Regeneron Pharmaceuticals","REGN",0.248553,"836.57",5.45,"(0.66%)"
"87","Mondelez International Inc A","MDLZ",0.248021,"63.36",-1.71,"(-2.63%)"
"88","Chubb Ltd","CB",0.242539,"209.55",-1.21,"(-0.57%)"
"89","Analog Devices Inc","ADI",0.241775,"173.97",1.87,"(1.09%)"
"90","American Express Co","AXP",0.239767,"149.32",2.23,"(1.52%)"
