"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"77","Medtronic Plc","MDT","0.27%","72.70",0.35,"(0.48%)"
"78","Intuitive Surgical Inc.","ISRG","0.27%","266.91",-6.54,"(-2.39%)"
"79","Prologis, Inc.","PLD","0.26%","102.43",-0.15,"(-0.15%)"
"80","Marsh & Mclennan Companies, Inc.","MMC","0.26%","187.67",-3.33,"(-1.74%)"
"81","Vertex Pharmaceuticals Inc","VRTX","0.26%","361.86",-2.94,"(-0.81%)"
"82","Morgan Stanley","MS","0.26%","73.13",0.21,"(0.29%)"
"83","Progressive Corporation","PGR","0.26%","154.84",-2.96,"(-1.88%)"
"84","The Cigna Group","CI","0.26%","306.78",-3.39,"(-1.09%)"
"85","Stryker Corporation","SYK","0.25%","265.69",-2.73,"(-1.02%)"
"86","Cvs Health Corporation","CVS","0.25%","69.05",-1.56,"(-2.21%)"
"87","Blackrock, Inc.","BLK","0.24%","614.83",-7.68,"(-1.23%)"
"88","Mondelez International, Inc. Class A","MDLZ","0.24%","64.10",-0.1,"(-0.16%)"
"89","American Express Company","AXP","0.24%","141.57",-8.05,"(-5.38%)"
"90","Chubb Limited","CB","0.24%","207.99",-2.56,"(-1.22%)"
"91","Regeneron Pharmaceuticals Inc","REGN","0.24%","808.47",-0.09,"(-0.01%)"
"92","Schlumberger Limited","SLB","0.24%","58.21",-1.76,"(-2.93%)"
"93","Analog Devices, Inc.","ADI","0.24%","166.52",-2.2,"(-1.30%)"
"94","Lam Research Corp","LRCX","0.22%","600.35",-1.6,"(-0.27%)"
"95","Eaton Corporation, Plcs","ETN","0.22%","193.99",-5.92,"(-2.96%)"
"96","Eog Resources, Inc.","EOG","0.22%","133.23",-3,"(-2.20%)"
"97","Palo Alto Networks, Inc.","PANW","0.22%","243.10",-10.03,"(-3.96%)"
"98","Zoetis Inc.","ZTS","0.22%","167.09",-0.95,"(-0.57%)"
"99","The Charles Schwab Corporation","SCHW","0.22%","50.87",-1.03,"(-1.98%)"
"100","Citigroup Inc.","C","0.22%","39.68",-0.38,"(-0.95%)"
"101","Cme Group Inc.","CME","0.21%","212.81",-1.31,"(-0.61%)"
"102","Altria Group, Inc.","MO","0.21%","42.71",0.1,"(0.23%)"
"103","Becton, Dickinson and Co.","BDX","0.21%","258.64",1.16,"(0.45%)"
"104","American Tower Corporation","AMT","0.21%","160.09",0.66,"(0.41%)"
"105","Boston Scientific Corp.","BSX","0.21%","50.05",-0.5,"(-0.99%)"
"106","Micron Technology, Inc.","MU","0.21%","67.22",-0.31,"(-0.46%)"
"107","Synopsys Inc","SNPS","0.20%","467.64",-14.73,"(-3.05%)"
"108","The Southern Company","SO","0.20%","65.73",-0.71,"(-1.07%)"
"109","T-Mobile Us, Inc.","TMUS","0.20%","136.99",-0.85,"(-0.62%)"
"110","Northrop Grumman Corp.","NOC","0.19%","485.70",-4.24,"(-0.87%)"
"111","Fiserv, Inc.","FI","0.19%","110.50",-1.47,"(-1.31%)"
"112","Duke Energy Corporation","DUK","0.19%","87.03",-0.75,"(-0.85%)"
"113","Blackstone Inc.","BX","0.19%","94.42",0.2,"(0.21%)"
"114","Cadence Design Systems","CDNS","0.19%","238.64",-6.42,"(-2.62%)"
"115","Equinix, Inc. Reit","EQIX","0.18%","705.62",1.81,"(0.26%)"
"116","Humana Inc.","HUM","0.18%","521.15",-1.57,"(-0.30%)"
"117","Aon Plc Class A","AON","0.18%","314.12",-4.96,"(-1.55%)"
"118","Kla Corporation","KLAC","0.18%","462.44",-2.61,"(-0.56%)"
"119","Intercontinental Exchange  Inc.","ICE","0.17%","108.02",-1.55,"(-1.41%)"
"120","Air Products & Chemicals, Inc.","APD","0.17%","278.57",-2.04,"(-0.73%)"
"121","Illinois Tool Works Inc.","ITW","0.17%","223.56",-1.34,"(-0.60%)"
"122","Csx Corporation","CSX","0.17%","30.76",0.22,"(0.72%)"
"123","Mckesson Corporation","MCK","0.17%","452.81",-0.46,"(-0.10%)"
"124","Marathon Petroleum Corporation","MPC","0.17%","150.86",-1.98,"(-1.30%)"
"125","Paypal Holdings, Inc.","PYPL","0.17%","53.39",-1.42,"(-2.59%)"
"126","Colgate-Palmolive Company","CL","0.17%","73.27",0.08,"(0.11%)"
"127","Pioneer Natural Resource Co.","PXD","0.17%","250.93",-4.4,"(-1.72%)"
"128","Waste Management, Inc.","WM","0.16%","156.58",-0.49,"(-0.31%)"
"129","The Sherwin-Williams Company","SHW","0.16%","237.70",-1.19,"(-0.50%)"
"130","Fedex Corporation","FDX","0.16%","240.62",-2.67,"(-1.10%)"
"131","O'reilly Automotive, Inc.","ORLY","0.15%","907.06",8.67,"(0.97%)"
"132","General Dynamics Corporation","GD","0.15%","234.94",-3.01,"(-1.26%)"
"133","Emerson Electric Co.","EMR","0.15%","91.47",-1.67,"(-1.79%)"
"134","Roper Technologies, Inc.","ROP","0.14%","482.12",-5.41,"(-1.11%)"
"135","Phillips 66","PSX","0.14%","113.54",-1.65,"(-1.43%)"
"136","Airbnb, Inc. Class A","ABNB","0.14%","116.49",-3.48,"(-2.90%)"
"137","U.S. Bancorp","USB","0.14%","30.93",-1.82,"(-5.56%)"
