"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"320","Teledyne Technologies Incorporated","TDY","0.05%","388.38",-5.23,"(-1.33%)"
"321","Firstenergy Corp.","FE","0.05%","35.28",-0.38,"(-1.07%)"
"322","Genuine Parts Company","GPC","0.05%","128.63",-1.49,"(-1.15%)"
"323","Invitation Homes Inc.","INVH","0.05%","31.19",-0.37,"(-1.17%)"
"324","Raymond James Financial, Inc.","RJF","0.05%","95.56",-1.29,"(-1.33%)"
"325","Nvr, Inc.","NVR","0.05%","5,488.10",-75.45,"(-1.36%)"
"326","Wabtec Inc.","WAB","0.05%","99.70",-0.38,"(-0.38%)"
"327","Fleetcor Technologies, Inc.","FLT","0.05%","239.00",-2.97,"(-1.23%)"
"328","Laboratory Corporation of America Holdings","LH","0.05%","199.86",0.43,"(0.22%)"
"329","Marathon Oil Corporation","MRO","0.05%","28.49",-0.7,"(-2.40%)"
"330","Ppl Corporation","PPL","0.05%","23.76",-0.06,"(-0.25%)"
"331","Iron Mountain Inc.","IRM","0.05%","59.22",-0.53,"(-0.89%)"
"332","Nasdaq, Inc.","NDAQ","0.05%","50.60",-0.69,"(-1.35%)"
"333","Centerpoint Energy, Inc.","CNP","0.05%","27.14",-0.33,"(-1.20%)"
"334","Everest Group, Ltd.","EG","0.05%","396.02",-5.83,"(-1.45%)"
"335","Darden Restaurants, Inc.","DRI","0.05%","140.67",-1.59,"(-1.12%)"
"336","Cboe Global Markets, Inc.","CBOE","0.05%","161.97",-0.76,"(-0.47%)"
"337","Howmet Aerospace Inc.","HWM","0.05%","43.44",-0.27,"(-0.62%)"
"338","Expeditors International of Washington Inc.","EXPD","0.05%","115.20",0.42,"(0.37%)"
"339","Fifth Third Bancorp","FITB","0.05%","23.29",-1.63,"(-6.54%)"
"340","Albemarle Corporation","ALB","0.05%","138.68",-5.88,"(-4.07%)"
"341","International Flavors & Fragrances Inc.","IFF","0.05%","65.64",-0.76,"(-1.14%)"
"342","Ptc, Inc","PTC","0.05%","137.75",-3.57,"(-2.53%)"
"343","Ventas, Inc.","VTR","0.05%","41.83",0,"(0.00%)"
"344","Factset Research Systems","FDS","0.05%","430.12",-6.75,"(-1.55%)"
"345","Jacobs Solutions Inc.","J","0.05%","132.51",-0.31,"(-0.23%)"
"346","Hologic Inc","HOLX","0.05%","67.81",-0.01,"(-0.01%)"
"347","Cf Industries Holding, Inc.","CF","0.05%","82.98",-2.7,"(-3.15%)"
"348","Baxter International Inc.","BAX","0.05%","32.69",0.08,"(0.25%)"
"349","Atmos Energy Corporation","ATO","0.05%","108.78",-1.32,"(-1.20%)"
"350","Akamai Technologies Inc","AKAM","0.05%","104.02",-2.97,"(-2.78%)"
"351","First Solar, Inc.","FSLR","0.05%","150.77",-1.3,"(-0.85%)"
"352","Brown & Brown, Inc.","BRO","0.04%","67.17",-1.1,"(-1.61%)"
"353","Garmin Ltd","GRMN","0.04%","103.28",-1.05,"(-1.01%)"
"354","The Cooper Companies, Inc.","COO","0.04%","324.47",0.67,"(0.21%)"
"355","Cincinnati Financial Corp","CINF","0.04%","98.63",-2.29,"(-2.27%)"
"356","Netapp, Inc","NTAP","0.04%","74.29",-0.75,"(-1.00%)"
"357","Enphase Energy, Inc.","ENPH","0.04%","98.89",-17.01,"(-14.68%)"
"358","Tyler Technologies, Inc.","TYL","0.04%","367.71",-9.29,"(-2.46%)"
"359","Eqt Corp","EQT","0.04%","42.35",-0.74,"(-1.72%)"
"360","Cms Energy Corporation","CMS","0.04%","52.91",-0.6,"(-1.12%)"
"361","Bunge Limited","BG","0.04%","101.60",-2.05,"(-1.98%)"
"362","Regions Financial Corp.","RF","0.04%","14.44",-2.04,"(-12.38%)"
"363","Principal Financial Group, Inc.","PFG","0.04%","68.07",-1.44,"(-2.07%)"
"364","Steel Dynamics Inc","STLD","0.04%","98.95",-0.25,"(-0.25%)"
"365","Veralto Corporation","VLTO","0.04%","69.93",-0.36,"(-0.51%)"
"366","Pultegroup, Inc.","PHM","0.04%","69.65",-0.48,"(-0.68%)"
"367","Clorox Company","CLX","0.04%","122.80",-1.19,"(-0.96%)"
"368","Textron, Inc.","TXT","0.04%","75.90",-1.44,"(-1.86%)"
"369","Hubbell Incorporated","HUBB","0.04%","279.87",-5.13,"(-1.80%)"
"370","Mid-America Apartment Communities, Inc.","MAA","0.04%","128.63",-2.27,"(-1.73%)"
"371","Mccormick & Company, Incorporated Non-Vtg Cs","MKC","0.04%","59.76",-0.28,"(-0.47%)"
"372","Walgreens Boots Alliance, Inc","WBA","0.04%","21.26",0.3,"(1.43%)"
"373","Las Vegas Sands Corp.","LVS","0.04%","45.32",-0.56,"(-1.22%)"
"374","Skyworks Solutions Inc","SWKS","0.04%","92.19",-1.35,"(-1.44%)"
"375","Axon Enterprise, Inc.","AXON","0.04%","210.86",-1.45,"(-0.68%)"
"376","Waters Corp","WAT","0.04%","253.64",1.31,"(0.52%)"
"377","Alexandria Real Estate Equities, Inc.","ARE","0.04%","95.06",0.34,"(0.36%)"
"378","Idex Corporation","IEX","0.04%","192.73",-2.87,"(-1.47%)"
"379","Omnicom Group Inc.","OMC","0.04%","73.94",-0.28,"(-0.38%)"
"380","Jb Hunt Transport Services Inc","JBHT","0.04%","176.27",-2.54,"(-1.42%)"
"381","Southwest Airlines Co.","LUV","0.04%","24.20",-0.17,"(-0.70%)"
"382","Huntington Bancshares Inc","HBAN","0.04%","9.64",-0.39,"(-3.89%)"
"383","Teradyne, Inc.","TER","0.04%","91.74",-1,"(-1.08%)"
"384","Avery Dennison Corp.","AVY","0.04%","173.87",-3.06,"(-1.73%)"
"385","Ball Corporation","BALL","0.04%","44.14",-1.02,"(-2.26%)"
"386","Western Digital Corp.","WDC","0.04%","42.86",-0.2,"(-0.46%)"
"387","Essex Property Trust, Inc","ESS","0.04%","211.67",-2.63,"(-1.23%)"
"388","Quest Diagnostics Inc.","DGX","0.04%","123.73",0.9,"(0.73%)"
"389","Northern Trust Corp","NTRS","0.04%","64.28",-1.22,"(-1.86%)"
"390","Best Buy Company, Inc.","BBY","0.04%","68.68",-0.82,"(-1.18%)"
"391","Packaging Corp of America","PKG","0.04%","144.48",-5.07,"(-3.39%)"
"392","Snap-on Incorporated","SNA","0.04%","252.90",0.19,"(0.08%)"
"393","Tyson Foods, Inc.","TSN","0.04%","46.29",-0.3,"(-0.64%)"
"394","Apa Corporation","APA","0.04%","42.16",-1.14,"(-2.63%)"
"395","Epam Systems, Inc.","EPAM","0.04%","223.33",-7.4,"(-3.21%)"
"396","Expedia Group, Inc.","EXPE","0.04%","93.65",-2.01,"(-2.10%)"
"397","Kellanova","K","0.04%","50.12",0.23,"(0.46%)"
"398","W.R. Berkley Corporation","WRB","0.04%","63.28",-0.96,"(-1.49%)"
"399","Lkq Corporation","LKQ","0.04%","48.52",-0.28,"(-0.57%)"
"400","Seagate Technology Holdings Plcs","STX","0.04%","66.69",-0.18,"(-0.27%)"
"401","Paycom Software, Inc.","PAYC","0.04%","259.09",-6.41,"(-2.41%)"
"402","Conagra Brands, Inc.","CAG","0.04%","26.99",-0.16,"(-0.59%)"
"403","Leidos Holdings, Inc.","LDOS","0.04%","92.71",-0.7,"(-0.75%)"
"404","Pool Corporation","POOL","0.04%","322.17",-3.03,"(-0.93%)"
"405","Amcor Plcs","AMCR","0.04%","8.51",-0.11,"(-1.28%)"
"406","Revvity, Inc.","RVTY","0.04%","101.67",0.24,"(0.24%)"
"407","Lamb Weston Holdings, Inc.","LW","0.03%","87.50",0.01,"(0.01%)"
"408","Alliant Energy Corporation","LNT","0.03%","48.82",-0.63,"(-1.27%)"
"409","Trimble Inc.","TRMB","0.03%","48.79",-0.74,"(-1.49%)"
"410","Stanley Black & Decker, Inc.","SWK","0.03%","77.92",-0.94,"(-1.19%)"
"411","The Mosaic Company","MOS","0.03%","35.41",-1.03,"(-2.83%)"
"412","Domino's Pizza Inc.","DPZ","0.03%","347.69",3.38,"(0.98%)"
"413","Synchrony Financial","SYF","0.03%","28.37",-0.39,"(-1.36%)"
"414","International Paper Co.","IP","0.03%","33.33",-0.93,"(-2.71%)"
"415","Loews Corporation","L","0.03%","62.95",-1.13,"(-1.76%)"
"416","United Airlines Holdings, Inc.","UAL","0.03%","35.09",-0.94,"(-2.61%)"
"417","Citizens Financial Group, Inc.","CFG","0.03%","23.76",-1.12,"(-4.50%)"
"418","Nordson Corp","NDSN","0.03%","215.32",-0.88,"(-0.41%)"
"419","The J.M. Smucker Company","SJM","0.03%","112.73",-1.09,"(-0.96%)"
"420","Celanese Corporation","CE","0.03%","115.22",-1.43,"(-1.23%)"
"421","Carnival Corporation","CCL","0.03%","11.03",-0.36,"(-3.16%)"
"422","Live Nation Entertainment Inc.","LYV","0.03%","79.95",-0.55,"(-0.68%)"
"423","Host Hotels & Resorts, Inc.","HST","0.03%","15.49",-0.26,"(-1.65%)"
"424","Masco Corporation","MAS","0.03%","49.88",-0.24,"(-0.48%)"
"425","Viatris Inc.","VTRS","0.03%","9.30",-0.01,"(-0.11%)"
"426","Evergy, Inc.","EVRG","0.03%","48.37",-0.15,"(-0.31%)"
"427","The Interpublic Group of Companies, Inc.","IPG","0.03%","27.69",-0.85,"(-2.98%)"
"428","Molson Coors Beverage Company Class B","TAP","0.03%","58.67",0.33,"(0.57%)"
"429","Ceridian Hcm Holding","CDAY","0.03%","69.73",-1.57,"(-2.20%)"
"430","Udr, Inc.","UDR","0.03%","34.70",-0.49,"(-1.39%)"
"431","Zebra Technologies Corporation","ZBRA","0.03%","204.55",-1.44,"(-0.70%)"
"432","Henry (Jack) & Associates","JKHY","0.03%","143.12",-2.49,"(-1.71%)"
"433","Incyte Genomics Inc","INCY","0.03%","55.13",-0.51,"(-0.92%)"
"434","Nisource Inc.","NI","0.03%","25.22",-0.41,"(-1.60%)"
"435","Pentair Plc","PNR","0.03%","62.21",-0.83,"(-1.32%)"
"436","Kimco Realty Corp.","KIM","0.03%","16.70",-0.18,"(-1.07%)"
"437","Match Group, Inc","MTCH","0.03%","35.52",-0.68,"(-1.88%)"
"438","Insulet Corporation","PODD","0.03%","144.73",-0.51,"(-0.35%)"
"439","Mgm Resorts International","MGM","0.03%","35.25",-0.74,"(-2.06%)"
"440","Brown-Forman Corporation Class B","BF.B","0.03%","55.31",-0.44,"(-0.79%)"
"441","Camden Property Trust","CPT","0.03%","92.85",-1.19,"(-1.27%)"
"442","Carmax Inc.","KMX","0.03%","62.84",-0.58,"(-0.91%)"
"443","Bio-Techne Corp.","TECH","0.03%","64.07",0.57,"(0.90%)"
"444","Globe Life Inc.","GL","0.03%","110.25",-3.34,"(-2.94%)"
"445","Keycorp","KEY","0.03%","9.89",-0.67,"(-6.34%)"
"446","Gen Digital Inc.","GEN","0.03%","17.16",-0.23,"(-1.32%)"
"447","Regency Centers Corporation","REG","0.03%","59.15",-0.04,"(-0.07%)"
"448","C.H. Robinson Worldwide, Inc.","CHRW","0.03%","85.33",2.02,"(2.42%)"
"449","Charles River Laboratories International, Inc.","CRL","0.03%","185.41",-1.99,"(-1.06%)"
"450","Nrg Energy, Inc.","NRG","0.03%","40.53",-0.23,"(-0.56%)"
"451","Aes Corporation","AES","0.03%","13.83",-0.01,"(-0.07%)"
"452","Rollins, Inc.","ROL","0.03%","33.05",0.13,"(0.39%)"
"453","Hormel Foods Corporation","HRL","0.03%","31.42",-0.4,"(-1.26%)"
"454","Healthpeak Properties, Inc.","PEAK","0.03%","16.62",-0.06,"(-0.36%)"
"455","Borgwarner Inc.","BWA","0.03%","38.61",0.5,"(1.31%)"
"456","Henry Schein Inc","HSIC","0.03%","68.31",-0.44,"(-0.64%)"
"457","Westrock Company","WRK","0.02%","34.32",-1.02,"(-2.89%)"
"458","Qorvo, Inc.","QRVO","0.02%","90.00",-0.98,"(-1.08%)"
"459","Caesars Entertainment, Inc.","CZR","0.02%","41.34",-0.57,"(-1.36%)"
"460","Marketaxess Holdings Inc.","MKTX","0.02%","235.38",0.55,"(0.23%)"
"461","F5, Inc.","FFIV","0.02%","148.36",-0.15,"(-0.10%)"
"462","Huntington Ingalls Industries, Inc.","HII","0.02%","219.09",-2.24,"(-1.01%)"
"463","Teleflex Incorporated","TFX","0.02%","187.56",1.54,"(0.83%)"
"464","Allegion Public Limited Company","ALLE","0.02%","97.00",-1.56,"(-1.58%)"
"465","Eastman Chemical Company","EMN","0.02%","71.29",-0.24,"(-0.34%)"
"466","Wynn Resorts Ltd","WYNN","0.02%","87.60",-0.62,"(-0.70%)"
"467","Pinnacle West Capital Corporation","PNW","0.02%","74.23",-1.07,"(-1.42%)"
"468","Fmc Corporation","FMC","0.02%","66.95",0.36,"(0.54%)"
"469","A.O. Smith Corporation","AOS","0.02%","66.66",-0.35,"(-0.52%)"
"470","News Corporation Class A","NWSA","0.02%","21.21",-0.41,"(-1.90%)"
"471","Juniper Networks Inc","JNPR","0.02%","25.32",0.25,"(1.00%)"
"472","Etsy, Inc.","ETSY","0.02%","64.90",-0.52,"(-0.79%)"
"473","Robert Half Inc.","RHI","0.02%","73.66",-0.81,"(-1.09%)"
"474","Universal Health Services, Inc. Class B","UHS","0.02%","124.68",-2.98,"(-2.33%)"
"475","Assurant, Inc.","AIZ","0.02%","145.98",-3.09,"(-2.07%)"
"476","Campbell Soup Company","CPB","0.02%","39.72",-0.06,"(-0.15%)"
"477","Fox Corporation Class A","FOXA","0.02%","30.62",-0.23,"(-0.75%)"
"478","Catalent, Inc.","CTLT","0.02%","42.16",-0.98,"(-2.27%)"
"479","Boston Properties, Inc.","BXP","0.02%","53.90",-0.65,"(-1.19%)"
"480","American Airlines Group Inc.","AAL","0.02%","11.08",-0.37,"(-3.23%)"
"481","Hasbro, Inc.","HAS","0.02%","56.06",-0.56,"(-0.99%)"
"482","Whirlpool Corp.","WHR","0.02%","129.00",-0.15,"(-0.12%)"
"483","Bath & Body Works, Inc.","BBWI","0.02%","31.10",0.39,"(1.27%)"
"484","Dentsply Sirona Inc.","XRAY","0.02%","31.85",0.35,"(1.11%)"
"485","Bio-Rad Laboratories, Inc.Class A","BIO","0.02%","310.79",-5.2,"(-1.65%)"
"486","Tapestry, Inc.","TPR","0.02%","28.12",-0.3,"(-1.06%)"
"487","Franklin Resources, Inc.","BEN","0.02%","22.56",-0.07,"(-0.31%)"
"488","Federal Realty Investment Trust","FRT","0.02%","87.29",-0.34,"(-0.39%)"
"489","Solaredge Technologies, Inc.","SEDG","0.02%","82.90",-31.08,"(-27.27%)"
"490","V.F. Corporation","VFC","0.02%","18.02",-0.54,"(-2.91%)"
"491","Generac Holdings Inc","GNRC","0.02%","88.38",-5.58,"(-5.94%)"
"492","Invesco Ltd","IVZ","0.02%","12.70",-0.1,"(-0.78%)"
"493","Norwegian Cruise Line Holdings Ltd.s","NCLH","0.02%","13.58",-0.38,"(-2.72%)"
"494","Paramount Global Class B","PARA","0.02%","11.50",-0.27,"(-2.29%)"
"495","Comerica Incorporated","CMA","0.02%","37.95",-3.54,"(-8.53%)"
"496","Zions Bancorporation N.a.","ZION","0.01%","29.96",-2.28,"(-7.07%)"
"497","Ralph Lauren Corporation","RL","0.01%","115.79",-1.26,"(-1.08%)"
"498","Davita Inc.","DVA","0.01%","77.52",-4.1,"(-5.02%)"
"499","Sealed Air Corp.","SEE","0.01%","29.05",0.02,"(0.07%)"
"500","Mohawk Industries, Inc.","MHK","0.01%","79.71",0.58,"(0.73%)"
"501","Alaska Air Group, Inc.","ALK","0.01%","32.02",-0.14,"(-0.44%)"
"502","Fox Corporation Class B","FOX","0.01%","28.30",-0.21,"(-0.74%)"
"503","News Corporation Class B","NWS","0.01%","21.96",-0.4,"(-1.79%)"
