"","Company","Symbol","Weight","Price","Chg","Pct_chg"
"1","Apple Inc","AAPL",7.141359,"174.91",1.25,"(0.72%)"
"2","Microsoft Corp","MSFT",6.631037,"319.36",0.41,"(0.13%)"
"3","Amazon.com Inc","AMZN",3.226619,"125.96",-1.04,"(-0.82%)"
"4","Nvidia Corp","NVDA",3.043901,"446.88",6.47,"(1.47%)"
"5","Alphabet Inc Cl A","GOOGL",2.24521,"135.07",-0.17,"(-0.13%)"
"6","Tesla Inc","TSLA",2.018233,"260.05",-1.11,"(-0.43%)"
"7","Alphabet Inc Cl C","GOOG",1.924701,"135.99",-0.28,"(-0.21%)"
"8","Meta Platforms Inc Class A","META",1.900741,"304.79",-0.79,"(-0.26%)"
"9","Berkshire Hathaway Inc Cl B","BRK.B",1.75411,"345.06",1.37,"(0.40%)"
"10","Unitedhealth Group Inc","UNH",1.323729,"516.23",5.61,"(1.10%)"
"11","Exxon Mobil Corp","XOM",1.249181,"108.99",-2.51,"(-2.25%)"
"12","Eli Lilly & Co","LLY",1.186017,"541.48",10.02,"(1.89%)"
"13","Jpmorgan Chase & Co","JPM",1.157334,"142.90",-0.45,"(-0.31%)"
"14","Johnson & Johnson W/d","JNJ",1.048057,"157.14",1.62,"(1.04%)"
"15","Visa Inc Class a Shares","V",1.039735,"233.48",2.26,"(0.98%)"
"16","Procter & Gamble Co","PG",0.962983,"143.80",-2.17,"(-1.49%)"
"17","Broadcom Inc","AVGO",0.951437,"823.86",0.05,"(0.01%)"
"18","Mastercard Inc   A","MA",0.915549,"394.20",0.44,"(0.11%)"
"19","Home Depot Inc","HD",0.822697,"291.70",-0.69,"(-0.24%)"
"20","Chevron Corp","CVX",0.809572,"163.90",0.86,"(0.53%)"
"21","Abbvie Inc","ABBV",0.729535,"147.45",-0.24,"(-0.16%)"
"22","Merck & Co. Inc.","MRK",0.725557,"103.60",1.43,"(1.40%)"
"23","Costco Wholesale Corp","COST",0.709129,"569.52",-2.28,"(-0.40%)"
"24","Adobe Inc","ADBE",0.661299,"516.44",-1.98,"(-0.38%)"
"25","Pepsico Inc","PEP",0.650724,"160.10",-8.81,"(-5.22%)"
"26","Walmart Inc","WMT",0.643056,"159.08",-1.92,"(-1.19%)"
"27","Cisco Systems Inc","CSCO",0.609568,"53.07",-0.38,"(-0.71%)"
"28","Coca Cola Co","KO",0.599495,"52.38",-2.66,"(-4.83%)"
"29","Salesforce Inc","CRM",0.550263,"202.01",0.14,"(0.07%)"
"30","Accenture Plc Cl A","ACN",0.546181,"309.66",0.27,"(0.09%)"
"31","Thermo Fisher Scientific Inc","TMO",0.542689,"498.02",-4.43,"(-0.88%)"
"32","Pfizer Inc","PFE",0.526324,"33.47",0.16,"(0.48%)"
"33","Mcdonald S Corp","MCD",0.521722,"252.23",-3.58,"(-1.40%)"
"34","Linde Plc","LIN",0.517012,"369.86",-8.75,"(-2.31%)"
"35","Bank of America Corp","BAC",0.501882,"26.06",0.12,"(0.46%)"
"36","Comcast Corp Class A","CMCSA",0.500699,"43.02",-0.45,"(-1.04%)"
"37","Oracle Corp","ORCL",0.471769,"108.35",1.27,"(1.19%)"
"38","Advanced Micro Devices","AMD",0.470624,"102.91",-1.16,"(-1.11%)"
"39","Netflix Inc","NFLX",0.467418,"372.59",-4.31,"(-1.14%)"
"40","Abbott Laboratories","ABT",0.464542,"96.20",0.55,"(0.58%)"
"41","Intel Corp","INTC",0.420849,"35.89",-0.04,"(-0.11%)"
"42","Walt Disney Co","DIS",0.406406,"80.81",1.49,"(1.88%)"
"43","Intuit Inc","INTU",0.404853,"516.30",-1.16,"(-0.22%)"
"44","Texas Instruments Inc","TXN",0.401417,"155.11",-2.86,"(-1.81%)"
"45","Wells Fargo & Co","WFC",0.399033,"39.30",0.33,"(0.85%)"
"46","Amgen Inc","AMGN",0.397526,"265.08",-0.36,"(-0.14%)"
